,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,19,24,24,2.0,1.3,5.2,200,0.0,330.0
1,7.26a,19,24,24,2.0,1.3,5.2,200,0.0,330.0
2,7.25,19,24,24,2.0,1.3,5.2,200,0.0,330.0
3,7.24,19,24,24,2.0,1.3,5.2,200,0.0,330.0
4,7.23b,19,24,24,2.0,1.3,5.2,200,0.0,330.0
5,7.23,19,24,24,2.0,1.3,5.2,200,0.0,330.0
6,7.22d,19,24,24,2.0,1.3,5.2,200,0.0,330.0
7,7.22,19,24,24,2.0,1.3,5.2,200,0.0,330.0
8,7.21,19,24,24,2.0,1.0,5.2,200,0.0,330.0
9,7.20,19,24,24,2.0,1.0,4.5,200,0.0,335.0
10,7.19,19,24,24,1.5,1.0,4.5,200,1.5,335.0
11,7.16,19,24,24,1.5,1.0,4.5,200,1.5,335.0
12,7.15,19,24,24,1.5,1.0,4.5,200,1.5,335.0
13,7.14,19,24,24,1.5,1.0,4.5,200,1.5,335.0
14,7.13b,19,24,24,1.5,1.0,4.5,200,1.5,335.0
15,7.08,19,24,24,1.5,1.0,4.5,200,1.5,335.0
16,7.07,19,24,24,1.5,1.0,4.5,200,1.5,335.0
17,7.06e,19,24,24,1.5,1.0,4.5,200,0.0,335.0
18,7.06d,19,24,24,1.5,1.0,4.5,200,0.0,335.0
19,7.06c,19,24,24,1.5,1.0,4.5,200,0.0,335.0
20,7.06,19,24,24,1.5,1.0,4.5,200,0.0,335.0
21,7.05,19,24,24,1.2,1.0,4.5,200,0.25,335.0
22,7.03,19,24,24,1.2,1.0,4.5,200,0.25,330.0
23,7.02,19,24,24,1.2,1.0,4.5,200,0.25,330.0
24,7.00,19,24,24,1.2,1.0,4.5,200,0.25,330.0
25,6.88,19,24,24,1.2,1.0,4.5,200,0.25,330.0
26,6.87,19,24,24,1.2,1.0,4.0,200,0.25,330.0
27,6.86,19,24,24,1.2,1.0,4.0,200,0.25,330.0
28,6.85,19,24,24,1.2,1.0,4.0,200,0.25,330.0
29,6.84,19,24,24,1.2,1.0,4.0,200,0.25,320.0
30,6.83,19,24,24,1.2,1.0,4.0,200,0.25,320.0
31,6.82,19,24,24,1.2,1.0,4.0,200,0.25,320.0
32,6.81,19,24,24,1.2,1.0,4.0,200,0.25,320.0
33,6.79,19,24,24,1.2,1.0,4.0,200,0.25,320.0
34,6.78,19,24,24,1.2,1.0,4.0,200,0.25,320.0
35,6.77,19,24,24,1.2,1.0,4.0,200,0.25,320.0
36,6.76,19,24,24,1.2,1.0,4.0,200,0.25,320.0
37,6.75,19,24,24,1.2,1.0,4.0,200,0.25,320.0
38,6.74,19,24,24,1.2,1.0,4.0,200,0.25,315.0
39,6.73,19,24,24,1.2,1.0,4.0,200,0.25,315.0
40,6.71,19,24,24,1.2,1.0,4.0,200,0.25,315.0
41,6.67,19,24,24,1.45,1.0,4.0,200,0.25,315.0
42,6.66,19,24,24,1.45,1.0,4.0,200,0.25,315.0
43,6.65,19,24,24,1.45,1.0,4.0,200,0.25,315.0
44,6.63,19,24,24,1.45,1.0,4.0,200,0.25,315.0
45,6.60,19,24,24,1.45,1.0,4.0,200,0.25,315.0
46,6.58,19,24,24,1.45,1.0,4.0,200,0.25,315.0
47,6.36,19,24,24,1.45,1.0,4.0,200,0.25,315.0
48,6.34,19,24,24,1.45,1.0,4.0,200,0.25,315.0
49,6.28,19,24,24,1.45,1.0,4.0,200,0.25,315.0
50,6.26,19,24,24,1.45,1.0,4.0,200,0.25,315.0
51,6.24,19,24,24,1.45,1.0,4.0,200,0.25,315.0
52,6.19b,19,24,24,1.45,1.0,4.0,200,0.25,315.0
53,6.19,19,24,24,1.45,1.0,4.0,200,0.25,315.0
54,6.13,19,24,24,1.45,1.0,4.0,200,0.25,315.0
55,6.10,19,24,24,1.45,1.0,3.75,200,0.25,315.0
56,6.09b,19,24,24,1.45,1.0,3.75,200,0.25,295.0
57,6.00,19,24,24,1.45,1.0,3.75,200,0.25,295.0
58,5.80,19,24,24,1.45,1.0,3.75,200,0.25,295.0
59,5.79,19,24,24,1.45,1.0,3.75,200,0.25,295.0
60,5.78,19,24,24,1.45,1.0,3.75,200,0.25,295.0
61,5.72,19,24,24,1.2,1.2,3.75,200,0.25,295.0
62,5.65,19,24,24,1.2,1.2,3.75,200,0.25,295.0
63,5.62,19,24,24,1.2,1.2,3.75,200,0.25,295.0
