,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,23,25,2.0,2.5,3.1,200,0.0,290.0
1,7.26b,21,23,25,2.0,2.5,3.1,200,0.0,290.0
2,7.25,21,23,25,2.0,2.5,3.1,200,0.0,290.0
3,7.24,21,23,25,2.0,2.5,3.1,200,0.0,290.0
4,7.23,21,23,25,2.0,2.5,3.1,200,0.0,290.0
5,7.22,21,23,25,2.0,2.5,3.1,200,0.0,290.0
6,7.21,21,23,25,2.0,2.5,3.1,200,0.0,290.0
7,7.20d,21,23,25,2.0,2.5,2.7,200,0.0,290.0
8,7.20,21,23,25,2.0,2.5,2.7,200,0.0,290.0
9,7.15,21,23,25,1.8,2.5,2.4,200,1.5,290.0
10,7.14,21,23,25,1.8,2.5,2.4,200,1.5,290.0
11,7.13b,21,23,25,1.8,2.5,2.4,200,1.5,290.0
12,7.12,21,23,25,1.8,2.5,2.4,200,1.5,290.0
13,7.10,21,23,25,1.8,2.5,2.4,200,1.5,290.0
14,7.07,21,23,25,1.8,2.5,2.4,200,1.5,290.0
15,7.06,21,23,25,1.8,2.5,2.4,200,0.0,290.0
16,7.03,21,23,25,1.5,2.5,2.4,200,0.25,290.0
17,7.02,21,23,25,1.5,2.5,2.4,200,0.25,290.0
18,7.00,21,23,25,1.5,2.5,2.4,200,0.25,290.0
19,6.87,21,23,25,1.5,2.5,2.4,200,0.25,290.0
20,6.86,21,23,25,1.5,2.5,2.4,200,0.25,290.0
21,6.84,21,23,25,1.5,2.5,2.4,200,0.25,290.0
22,6.83,21,23,25,1.5,2.5,2.4,200,0.25,290.0
23,6.79,21,23,25,1.5,2.5,2.4,200,0.25,290.0
24,6.76,21,23,25,1.5,2.5,2.4,200,0.25,290.0
25,6.75,21,23,25,1.5,2.5,2.4,200,0.25,290.0
26,6.74,21,23,25,1.5,2.5,2.4,200,0.25,300.0
27,6.73,21,23,25,1.5,2.5,2.4,200,0.25,300.0
28,6.72d,21,23,25,1.5,2.5,2.4,200,0.25,300.0
29,6.72c,21,23,25,1.5,2.5,2.4,200,0.25,300.0
30,6.72b,21,23,25,1.5,2.5,2.4,200,0.25,300.0
31,6.72,21,23,25,1.5,2.5,2.4,200,0.25,300.0
