,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,19,19,3.0,1.8,1.8,200,0.0,290.0
1,7.26b,22,19,19,3.0,1.8,1.8,200,0.0,290.0
2,7.25,22,19,19,3.0,1.8,1.8,200,0.0,290.0
3,7.23,22,19,19,3.0,1.8,1.8,200,0.0,290.0
4,7.22e,22,19,19,3.0,1.8,1.8,200,0.0,290.0
5,7.22c,22,19,19,3.0,1.8,1.8,200,0.0,290.0
6,7.21d,22,19,19,3.2,1.8,1.8,200,0.0,290.0
7,7.21c,22,19,19,3.2,1.8,1.8,200,0.0,290.0
8,7.21,22,19,19,3.2,1.8,1.8,200,0.0,290.0
9,7.20e,22,19,19,2.8,1.8,1.8,200,0.0,290.0
10,7.20d,22,19,19,2.8,1.8,1.8,200,0.0,290.0
11,7.20c,22,19,19,2.8,1.8,1.8,200,0.0,285.0
12,7.20b,22,19,19,2.9,2.1,1.8,200,0.0,285.0
13,7.20,22,19,19,2.9,2.1,1.8,200,0.0,285.0
14,7.18,22,19,19,2.9,2.1,1.8,200,1.5,285.0
15,7.17,22,19,19,2.9,2.1,1.8,200,1.5,285.0
16,7.16,22,19,19,2.9,2.1,1.8,200,1.5,285.0
17,7.14,22,19,19,2.9,2.1,1.8,200,1.5,285.0
18,7.13b,22,19,19,2.9,2.1,1.8,200,1.5,285.0
19,7.12,22,19,19,2.9,2.1,1.8,200,1.5,290.0
20,7.07d,22,19,19,2.9,2.1,1.8,200,1.5,295.0
21,7.07,22,19,19,2.9,2.1,1.8,200,1.5,295.0
22,7.06e,22,19,19,2.9,2.1,1.8,200,0.0,295.0
23,7.06,22,19,19,2.9,2.1,1.8,200,0.0,295.0
24,7.02,22,19,19,2.6,2.1,1.8,200,0.25,295.0
25,7.00,22,19,19,2.6,2.1,1.8,200,0.25,295.0
26,6.88e,22,19,19,2.6,2.1,1.8,200,0.25,295.0
27,6.88b,22,19,19,2.6,2.1,1.8,200,0.25,300.0
28,6.88,22,19,19,2.6,2.1,1.8,200,0.25,300.0
29,6.87,22,19,19,2.6,2.1,1.8,200,0.25,300.0
30,6.86,22,19,19,2.6,2.1,1.8,200,0.25,300.0
31,6.85,22,19,19,2.6,2.1,1.8,200,0.25,300.0
32,6.84,22,19,19,2.6,2.1,1.8,200,0.25,300.0
33,6.81,22,19,19,2.6,2.1,1.8,200,0.25,300.0
34,6.80,22,19,19,2.6,2.1,1.8,200,0.25,300.0
35,6.79,22,19,19,2.6,2.1,1.8,200,0.25,300.0
36,6.78,22,19,19,2.6,2.1,1.8,200,0.25,300.0
37,6.73,22,19,19,2.6,2.1,1.8,200,0.25,300.0
38,6.72d,22,19,19,2.6,2.1,1.8,200,0.25,300.0
39,6.72c,22,19,19,2.6,2.1,1.8,200,0.25,300.0
40,6.72,22,19,19,2.6,2.1,1.8,200,0.25,300.0
41,6.71,22,19,19,2.6,2.1,1.8,200,0.25,300.0
42,6.70,22,19,19,2.6,2.1,1.8,200,0.25,300.0
43,6.69,22,19,19,2.3,2.1,1.8,200,0.25,300.0
44,6.68,22,19,19,2.3,2.1,1.8,200,0.25,300.0
45,6.63,22,19,19,2.3,2.1,1.8,200,0.25,300.0
46,6.60,22,19,19,2.3,2.1,1.8,200,0.25,300.0
47,6.55,22,19,19,2.3,2.1,1.8,200,0.25,300.0
48,6.52b,22,19,19,2.3,2.1,1.8,200,0.25,300.0
49,6.52,22,19,19,2.3,2.1,1.8,200,0.25,300.0
50,6.51,22,19,19,2.3,2.1,1.8,200,0.25,300.0
51,6.50,22,19,19,2.3,2.1,1.8,200,0.25,300.0
52,6.41,22,19,19,2.3,2.1,1.8,200,0.25,300.0
53,6.35,22,19,19,2.3,2.1,1.8,200,0.25,300.0
54,6.20,22,19,19,2.3,2.1,1.8,200,0.25,300.0
55,6.17,22,19,19,2.3,2.1,1.8,200,0.25,300.0
56,6.12,22,19,19,2.3,2.1,1.8,200,0.25,300.0
57,6.11,22,19,19,2.3,2.1,1.8,200,0.25,300.0
58,6.10,22,19,19,2.3,2.1,1.8,200,0.25,300.0
59,6.09b,22,19,19,2.3,2.1,1.8,200,0.25,300.0
60,6.09,22,19,19,2.3,2.1,1.8,200,0.25,300.0
61,6.06,22,19,19,2.3,2.1,1.8,200,0.25,300.0
62,6.05,22,19,19,2.3,2.1,1.8,200,0.25,300.0
63,6.04,22,19,19,2.3,2.1,1.8,200,0.25,300.0
64,6.03,22,19,19,2.3,2.1,1.8,200,0.25,300.0
65,6.00,22,19,19,2.3,2.1,1.8,200,0.25,300.0
66,5.84,22,19,19,2.3,2.1,1.8,200,0.25,300.0
67,5.80,22,19,19,2.3,2.1,1.8,200,0.25,300.0
68,5.79,22,19,19,2.3,2.1,1.8,200,0.25,300.0
69,5.78,22,19,19,2.3,2.1,1.8,200,0.25,300.0
70,5.77,22,19,19,2.3,2.1,1.8,200,0.25,300.0
71,5.76,22,19,19,2.3,2.1,1.8,200,0.25,300.0
