,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,19,20,18,2.7,3.5,2.2,200,0.25,305.0
1,7.23c,19,20,18,2.7,3.5,2.2,200,0.25,305.0
2,7.23,19,20,18,2.5,3.5,2.2,200,0.25,305.0
3,7.22,19,20,18,2.5,3.5,2.2,200,0.25,305.0
4,7.21c,19,20,18,2.3,3.3,2.2,200,0.25,305.0
5,7.21b,19,20,18,2.3,3.3,2.2,200,0.25,305.0
6,7.21,19,20,18,2.3,3.3,2.0,200,0.25,305.0
7,7.20e,19,20,18,2.3,2.9,2.0,200,0.25,310.0
8,7.20,19,20,18,2.3,2.9,2.0,200,0.25,310.0
9,7.16,19,20,18,2.3,2.9,2.0,200,1.75,310.0
10,7.15,19,20,18,2.3,2.9,2.0,200,1.75,310.0
11,7.14,19,20,18,2.3,2.9,2.0,200,1.75,310.0
12,7.10,19,20,18,2.3,2.9,2.0,200,1.75,310.0
13,7.08,19,20,18,2.3,2.9,2.0,200,1.75,310.0
14,7.07c,19,20,18,2.3,2.9,2.0,200,1.75,310.0
15,7.07,19,20,18,2.3,2.9,2.0,200,1.75,310.0
16,7.06,19,20,18,2.3,2.9,2.0,200,0.25,315.0
17,7.03,19,20,18,2.0,2.9,2.0,200,0.5,315.0
18,7.02,19,20,18,2.0,2.9,2.0,200,0.5,315.0
19,7.00,19,20,18,2.0,2.9,2.0,200,0.5,315.0
20,6.88b,19,20,18,2.0,2.9,2.0,200,0.5,315.0
21,6.88,19,20,18,2.0,2.9,2.0,200,0.5,310.0
22,6.87,19,20,18,2.0,2.9,2.0,200,0.5,305.0
23,6.86,19,20,18,2.0,2.9,2.0,200,0.5,305.0
24,6.83,19,20,18,2.0,2.9,2.0,200,0.5,305.0
25,6.82,19,20,18,2.0,2.9,2.0,200,0.5,305.0
26,6.81,19,20,18,2.0,2.9,2.0,200,0.5,305.0
27,6.78,19,20,18,2.0,2.9,2.0,200,0.5,305.0
28,6.75,19,20,18,2.0,2.9,2.0,200,0.5,305.0
29,6.74,19,20,18,2.0,2.9,2.0,200,0.5,305.0
30,6.73,19,20,18,2.0,2.9,2.0,200,0.5,305.0
31,6.60,19,20,18,2.0,2.4,2.0,200,0.5,300.0
32,6.42,19,20,18,2.0,2.4,2.0,200,0.5,300.0
33,6.40,19,20,18,2.0,2.4,2.0,200,0.5,300.0
34,6.39,19,20,18,2.0,2.4,2.0,200,0.5,295.0
35,6.21,19,20,18,2.0,2.4,2.0,200,0.5,295.0
36,6.20,19,20,18,2.0,2.4,2.0,200,0.5,295.0
37,6.10,19,20,18,2.0,2.4,2.0,200,0.5,295.0
38,6.09b,19,20,18,2.0,2.4,2.0,200,0.5,295.0
39,6.09,19,20,18,2.0,2.4,2.0,200,0.5,295.0
40,6.07,19,20,18,2.0,2.4,2.0,200,0.5,295.0
41,6.06,19,20,18,2.0,2.2,2.0,200,0.5,295.0
42,6.05,19,20,18,2.0,2.2,2.0,200,0.5,295.0
43,6.03,19,20,18,2.0,2.2,2.0,200,0.5,295.0
44,6.02,19,20,18,2.0,2.2,2.0,200,0.5,295.0
45,6.00,19,20,18,2.0,2.2,2.0,200,0.5,295.0
