,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,21,16,1.9,1.7,1.7,200,1.75,300.0
1,7.26b,21,21,16,1.9,1.7,1.7,200,1.75,300.0
2,7.25,21,21,16,1.9,1.7,1.7,200,1.75,300.0
3,7.24,21,21,16,1.9,1.7,1.7,200,1.75,300.0
4,7.23,21,21,16,1.9,1.7,1.7,200,1.75,300.0
5,7.22f,21,21,16,1.9,1.7,1.7,200,1.75,300.0
6,7.22b,21,21,16,1.9,1.7,1.7,200,1.75,300.0
7,7.22,21,21,16,1.9,1.7,1.7,200,1.75,300.0
8,7.21b,21,21,16,1.9,1.7,1.7,200,1.75,300.0
9,7.21,21,21,16,1.9,1.7,1.7,200,1.75,300.0
10,7.20e,21,21,16,1.9,1.5,1.7,200,1.75,300.0
11,7.20d,21,21,16,1.9,1.5,1.7,200,1.75,300.0
12,7.20c,21,21,16,1.9,1.5,1.7,200,1.75,295.0
13,7.20b,21,21,16,1.9,1.5,1.7,200,1.75,295.0
14,7.20,21,21,16,1.9,1.5,1.7,200,1.75,295.0
15,7.18,21,21,16,1.9,1.5,1.7,200,3.25,295.0
16,7.16,21,21,16,1.9,1.5,1.7,200,3.25,295.0
17,7.15,21,21,16,1.9,1.5,1.7,200,3.25,295.0
18,7.14,21,21,16,1.9,1.5,1.7,200,3.25,295.0
19,7.12,21,21,16,1.9,1.5,1.7,200,2.75,295.0
20,7.10,21,21,16,1.9,1.5,1.7,200,1.5,295.0
21,7.07,21,21,16,1.9,1.5,1.7,200,1.5,295.0
22,7.06,21,21,16,1.9,1.5,1.7,200,0.0,300.0
23,7.02,21,21,16,1.6,1.5,1.9,200,0.25,300.0
24,7.01,21,21,16,1.6,1.5,1.9,200,0.25,305.0
25,7.00,21,21,16,1.6,1.5,1.9,200,0.25,305.0
26,6.88,21,21,16,1.6,1.5,1.9,200,0.25,305.0
27,6.87,21,21,16,1.6,1.5,1.9,200,0.25,305.0
28,6.84,21,21,16,1.6,1.5,1.9,200,0.25,305.0
29,6.83b,21,21,16,1.6,1.5,1.9,200,0.25,305.0
30,6.83,21,21,16,1.6,1.5,1.9,200,0.25,305.0
31,6.82,21,21,16,1.6,1.5,1.9,200,0.25,305.0
32,6.80,21,21,16,1.6,1.5,1.9,200,0.25,305.0
33,6.79c,21,21,16,1.6,1.5,1.9,200,0.25,305.0
34,6.79,21,21,16,1.6,1.5,1.9,200,0.25,305.0
35,6.78,21,21,16,1.6,1.5,1.9,200,0.25,305.0
36,6.77,21,21,16,1.6,1.5,1.9,200,0.25,305.0
37,6.75,21,21,16,1.6,1.5,1.9,200,0.25,305.0
38,6.73,21,21,16,1.6,1.5,1.9,200,0.25,305.0
39,6.72d,21,21,16,1.6,1.5,1.9,200,0.25,305.0
40,6.72c,21,21,16,1.6,1.5,1.9,200,0.25,305.0
41,6.72b,21,21,16,1.6,1.5,1.9,200,0.25,305.0
42,6.72,21,21,16,1.6,1.5,1.9,200,0.25,305.0
43,6.71,21,21,16,1.6,2.0,1.9,200,0.25,305.0
44,6.70b,21,21,16,1.6,2.0,1.9,200,0.25,305.0
45,6.70,21,21,16,1.6,2.0,1.9,200,0.25,305.0
46,6.69,21,21,16,1.6,2.0,1.9,200,0.25,305.0
47,6.67,21,21,16,1.6,2.0,1.9,200,0.25,305.0
48,6.66b,21,21,16,1.6,2.0,1.9,200,0.25,305.0
49,6.66,21,21,16,1.6,2.0,1.9,200,0.25,305.0
50,6.65,21,21,16,1.6,2.0,1.9,200,0.25,305.0
