,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,21,22,23,2.0,1.5,3.7,200,0.0,285.0
1,7.25,21,22,23,2.0,1.5,3.7,200,0.0,285.0
2,7.21d,21,22,23,2.0,1.5,3.7,200,0.0,285.0
3,7.21c,21,22,23,2.0,1.5,3.7,200,0.0,285.0
4,7.21b,21,22,23,2.0,1.5,3.7,200,0.0,285.0
5,7.21,21,22,23,2.0,1.5,3.7,200,0.0,285.0
6,7.20e,21,22,23,2.0,1.5,3.2,200,0.0,285.0
7,7.20c,21,22,23,2.0,1.5,3.2,200,0.0,285.0
8,7.20b,21,22,23,2.0,1.5,2.6,200,0.0,285.0
9,7.20,21,22,23,2.0,1.5,2.6,200,0.0,285.0
10,7.19c,21,22,23,1.8,1.5,2.6,200,1.5,285.0
11,7.15,21,22,23,1.8,1.5,2.6,200,1.5,285.0
12,7.14,21,22,23,1.8,1.5,2.6,200,1.5,285.0
13,7.13b,21,22,23,1.8,1.5,2.6,200,1.5,285.0
14,7.07d,21,22,23,1.8,1.5,2.6,200,1.5,285.0
15,7.07c,21,22,23,1.8,1.5,2.6,200,1.5,285.0
16,7.07,21,22,23,1.8,1.8,2.6,200,1.5,285.0
17,7.06,21,22,23,1.8,1.8,2.6,200,0.0,285.0
18,7.02,21,22,23,1.5,1.8,2.6,200,0.25,285.0
19,7.00,21,22,23,1.5,1.8,2.6,200,0.25,285.0
20,6.88,21,22,23,1.5,1.8,2.6,200,0.25,285.0
21,6.87c,21,22,23,1.5,1.8,2.6,200,0.25,285.0
22,6.87,21,22,23,1.5,1.8,2.6,200,0.25,285.0
23,6.86,21,22,23,1.5,1.8,2.6,200,0.25,285.0
24,6.85,21,22,23,1.5,1.8,2.6,200,0.25,285.0
25,6.84,21,22,23,1.5,1.8,2.6,200,0.25,285.0
26,6.83,21,22,23,1.5,1.8,2.6,200,0.25,290.0
27,6.82,21,22,23,1.5,1.8,2.6,200,0.25,290.0
28,6.80,21,22,23,1.5,1.8,2.6,200,0.25,290.0
29,6.78,21,22,23,1.5,1.8,2.6,200,0.25,295.0
30,6.75,21,22,23,1.5,1.8,2.6,200,0.25,295.0
31,6.73,21,22,23,1.5,1.8,2.6,200,0.25,295.0
32,6.72d,21,22,23,1.5,1.8,2.6,200,0.25,295.0
33,6.70,21,22,23,1.5,1.8,2.6,200,0.25,295.0
34,6.69,21,22,23,1.5,1.8,2.2,200,0.25,295.0
35,6.67,21,22,23,1.5,1.8,2.2,200,0.25,295.0
36,6.64,21,22,23,1.5,1.8,2.2,200,0.25,295.0
37,6.60,21,22,23,1.5,1.8,2.2,200,0.25,295.0
38,6.59,21,22,23,1.5,1.8,2.2,200,0.25,295.0
39,6.58b,21,22,23,1.5,1.8,2.2,200,0.25,295.0
40,6.58,21,22,23,1.5,1.8,2.2,200,0.25,295.0
