,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,19,14,25,2.5,1.3,3.3,200,0.0,310.0
1,7.25,19,14,25,2.5,1.3,3.3,200,0.0,310.0
2,7.24,19,14,25,2.5,1.3,3.3,200,0.0,310.0
3,7.23e,19,14,25,2.5,1.3,3.3,200,0.0,310.0
4,7.23c,19,14,25,2.5,1.3,3.3,200,0.0,310.0
5,7.23b,19,14,25,2.5,1.3,3.3,200,0.0,310.0
6,7.23,19,14,25,2.5,1.3,3.3,200,0.0,310.0
7,7.22d,19,14,25,2.5,1.3,3.3,200,0.0,310.0
8,7.22,19,14,25,2.5,1.3,3.3,200,0.0,310.0
9,7.21c,19,14,25,2.5,1.3,3.3,200,0.0,310.0
10,7.21,19,14,25,2.5,1.3,3.3,200,0.0,310.0
11,7.20,19,14,25,2.5,1.3,2.9,200,0.0,315.0
12,7.16,19,14,25,2.3,1.3,2.9,200,1.5,270.0
13,7.15,19,14,25,2.3,1.3,2.9,200,1.5,270.0
14,7.14,19,14,25,2.3,1.3,2.9,200,1.5,270.0
15,7.13b,19,14,25,2.3,1.3,2.9,200,1.5,270.0
16,7.07,19,14,25,2.3,1.3,2.9,200,1.5,270.0
17,7.06,19,14,25,2.3,1.3,2.9,200,0.0,270.0
18,7.05,19,14,25,2.0,1.3,2.9,200,0.25,270.0
19,7.03,19,14,25,2.0,1.3,2.9,200,0.25,270.0
20,7.02,19,14,25,2.0,1.3,2.9,200,0.25,270.0
21,7.00,19,14,25,2.0,1.3,2.9,200,0.25,270.0
22,6.85,19,14,25,2.0,1.3,2.9,200,0.25,270.0
23,6.84,19,14,25,2.0,1.3,2.9,200,0.25,270.0
24,6.83,19,14,25,2.0,1.3,2.9,200,0.25,270.0
25,6.82,19,14,25,2.0,1.3,2.9,200,0.25,270.0
26,6.75,19,14,25,2.0,1.3,2.9,200,0.25,270.0
27,6.74,19,14,25,2.0,1.3,2.9,200,0.25,270.0
28,6.73b,19,14,25,2.0,1.3,2.9,200,0.25,270.0
29,6.72b,19,14,25,2.0,1.3,2.9,200,0.25,270.0
30,6.72,19,14,25,2.0,1.3,2.9,200,0.25,270.0
31,6.70b,19,14,25,2.0,1.3,2.9,200,0.25,270.0
32,6.69,19,14,25,2.0,1.3,2.9,200,0.25,270.0
33,6.68b,19,14,25,2.0,1.3,2.9,200,0.25,270.0
34,6.68,19,14,25,2.0,1.3,2.9,200,0.25,270.0
35,6.64,19,14,25,2.0,1.3,2.9,200,0.25,270.0
36,6.60,19,14,25,2.0,1.3,2.9,200,0.25,270.0
37,6.50,19,14,25,2.0,1.3,2.9,200,0.25,270.0
38,6.46,19,14,25,2.0,1.3,2.9,200,0.25,270.0
39,6.41,19,14,25,2.0,1.3,2.9,200,0.25,270.0
40,6.37,19,14,25,2.0,1.3,2.9,200,0.25,270.0
41,6.32,19,14,25,2.0,1.3,2.9,200,0.25,270.0
42,6.27b,19,14,25,2.0,1.3,2.9,200,0.25,270.0
43,6.26,19,14,25,2.0,1.3,2.9,200,0.25,270.0
44,6.19,19,14,25,2.0,1.3,2.9,200,0.25,280.0
45,6.17,19,14,25,2.0,1.3,2.9,200,0.25,280.0
46,6.09b,19,14,25,2.0,1.3,2.9,200,0.25,280.0
47,6.05,19,14,25,2.0,1.3,2.9,200,0.25,280.0
48,6.03,19,14,25,2.0,1.3,2.9,200,0.25,280.0
49,6.00,19,14,25,2.0,1.3,2.9,200,0.25,280.0
50,5.80,19,14,25,2.0,1.3,2.9,200,0.25,280.0
51,5.78,19,14,25,2.0,1.3,2.9,200,0.25,280.0
52,5.72,19,14,25,2.0,1.3,2.9,200,0.25,280.0
53,5.68,19,14,25,2.0,1.3,2.9,200,0.25,280.0
54,5.59,19,14,25,2.0,1.3,2.9,200,0.25,280.0
55,5.58,19,14,25,2.0,1.3,2.9,200,0.25,280.0
56,5.55,19,14,25,2.0,1.75,2.9,200,0.25,280.0
57,5.54,19,14,25,2.0,1.75,2.9,200,0.25,280.0
58,5.51,19,14,25,2.0,1.75,2.9,200,0.25,280.0
59,5.50,19,14,25,2.0,1.75,2.9,200,0.25,280.0
60,5.40,19,14,25,2.0,1.75,2.9,200,0.25,280.0
61,5.31,19,14,25,2.0,1.75,2.9,200,0.25,280.0
62,5.10,19,14,25,2.0,1.75,2.9,200,0.25,280.0
63,4.0beta10,19,14,25,2.0,1.75,2.9,200,0.25,280.0
64,4.0beta9,19,14,25,2.0,1.75,2.9,200,0.25,280.0
65,4.0beta7,19,14,25,2.0,1.75,2.9,200,0.25,280.0
66,4.0beta6,19,14,25,2.0,1.75,2.9,200,0.25,280.0
67,4.0beta5,19,14,25,2.0,1.75,2.9,200,0.25,280.0
68,4.0beta3,19,14,25,2.0,1.75,2.9,200,0.25,280.0
69,4.0beta2,19,14,25,2.0,1.75,2.9,200,0.25,280.0
