,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,25,15,18,3.5,1.5,1.7,200,0.0,300.0
1,7.25,25,15,18,3.5,1.5,1.7,200,0.0,300.0
2,7.24,25,15,18,3.5,1.5,1.7,200,0.0,300.0
3,7.23e,25,15,18,3.5,1.5,1.7,200,0.0,300.0
4,7.23c,25,15,18,3.5,1.5,1.7,200,0.0,300.0
5,7.23,25,15,18,3.5,1.5,1.7,200,0.0,300.0
6,7.22,25,15,18,3.5,1.5,1.7,200,0.0,300.0
7,7.21c,25,15,18,3.5,1.5,1.7,200,0.0,300.0
8,7.21,25,15,18,3.8,1.5,1.7,200,0.0,300.0
9,7.20,25,15,18,3.3,1.5,1.7,200,0.0,300.0
10,7.18,25,15,18,3.3,1.5,1.7,200,1.5,300.0
11,7.13b,25,15,18,3.3,1.5,1.7,200,1.5,300.0
12,7.07,25,15,18,3.3,1.5,1.7,200,1.5,305.0
13,7.06,25,15,18,3.3,1.5,1.7,200,0.0,305.0
14,7.02,25,15,18,3.0,1.5,1.7,200,0.25,305.0
15,7.00,25,15,18,3.0,1.5,1.7,200,0.25,305.0
16,6.87,25,15,18,3.0,1.5,1.7,200,0.25,305.0
17,6.86,25,15,18,3.0,1.5,1.7,200,0.25,305.0
18,6.85,25,15,18,3.0,1.5,1.7,200,0.25,305.0
19,6.84,25,15,18,3.0,1.5,1.7,200,0.25,305.0
20,6.83b,25,15,18,3.0,1.5,1.7,200,0.25,305.0
21,6.83,25,15,18,3.0,1.5,1.7,200,0.25,305.0
22,6.82,25,15,18,3.0,1.5,1.7,200,0.25,310.0
23,6.81,25,15,18,3.0,1.5,1.7,200,0.25,310.0
24,6.80,25,15,18,3.0,1.5,1.7,200,0.25,310.0
25,6.79,25,15,18,3.0,1.5,1.7,200,0.25,310.0
26,6.78,25,15,18,3.0,1.5,1.7,200,0.25,310.0
27,6.76,25,15,18,3.0,1.5,1.7,200,0.25,310.0
28,6.75,25,15,18,3.0,1.5,1.7,200,0.25,310.0
29,6.72d,25,15,18,3.0,1.5,1.7,200,0.25,310.0
30,6.72c,25,15,18,3.0,1.5,1.7,200,0.25,310.0
31,6.72,25,15,18,3.0,1.5,1.7,200,0.25,310.0
32,6.71,25,15,18,3.0,1.5,1.7,200,0.25,310.0
33,6.67,25,15,18,3.0,1.5,1.7,200,0.25,310.0
34,6.64,25,15,18,3.0,1.5,1.7,200,0.25,310.0
35,6.55,25,15,18,3.0,1.5,1.7,200,0.25,310.0
36,6.51,25,15,18,3.0,1.5,1.7,200,0.25,310.0
37,6.50,25,15,18,3.0,1.5,1.7,200,0.25,310.0
38,6.48b,25,15,18,3.0,1.5,1.7,200,0.25,310.0
39,6.39,25,15,18,3.0,1.5,1.7,200,0.25,300.0
40,6.35,25,15,18,3.0,1.5,1.7,200,0.25,300.0
41,6.32,25,15,18,3.0,1.5,1.7,200,0.25,300.0
42,6.31,25,15,18,3.0,1.5,1.7,200,0.25,300.0
43,6.20,25,15,18,3.0,1.5,1.7,200,0.25,300.0
44,6.17,25,15,18,3.0,1.5,1.7,200,0.25,300.0
45,6.00,25,15,18,3.0,1.5,1.7,200,0.25,300.0
46,5.80,25,15,18,3.0,1.5,1.7,200,0.25,300.0
47,5.78,25,15,18,3.0,1.5,1.7,200,0.25,300.0
48,5.77,25,15,18,3.0,1.5,1.7,200,0.25,300.0
49,5.76,25,15,18,3.0,1.5,1.7,200,0.25,300.0
50,5.75,25,15,18,3.0,1.5,1.7,200,0.25,300.0
51,5.74,25,15,18,3.0,1.5,1.7,200,0.25,300.0
