,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,23,16,23,3.2,1.6,2.7,200,0.0,290.0
1,7.24b,23,16,23,3.2,1.6,2.7,200,0.0,290.0
2,7.23,23,16,23,3.2,1.6,2.7,200,0.0,290.0
3,7.22c,23,16,23,3.2,1.3,2.7,200,0.0,290.0
4,7.22,23,16,23,3.2,1.3,2.7,200,0.0,290.0
5,7.21b,23,16,23,2.8,1.3,2.4,200,0.0,290.0
6,7.21,23,16,23,2.8,1.3,2.4,200,0.0,290.0
7,7.20d,23,16,23,2.4,1.3,2.4,200,0.0,290.0
8,7.20c,23,16,23,2.4,1.3,2.4,200,0.0,285.0
9,7.20,23,16,23,2.1,1.3,2.4,200,0.0,285.0
10,7.19,23,16,23,2.1,1.3,2.4,200,1.5,285.0
11,7.18,23,16,23,2.1,1.3,2.4,200,1.5,285.0
12,7.14,23,16,23,2.1,1.3,2.4,200,1.5,285.0
13,7.13b,23,16,23,2.1,1.3,2.4,200,1.5,285.0
14,7.12,23,16,23,2.1,1.3,2.4,200,1.5,290.0
15,7.07,23,16,23,2.1,1.3,2.4,200,1.5,290.0
16,7.06,23,16,23,2.1,1.3,2.4,200,0.0,290.0
17,7.02,23,16,23,1.8,1.3,2.4,200,0.25,290.0
18,7.00,23,16,23,1.8,1.3,2.4,200,0.25,290.0
19,6.88e,23,16,23,1.8,1.3,2.4,200,0.25,290.0
20,6.88c,23,16,23,1.8,1.3,2.4,200,0.25,290.0
21,6.88b,23,16,23,1.8,1.3,2.4,200,0.25,290.0
22,6.87,23,16,23,2.1,1.3,2.4,200,0.25,290.0
23,6.86,23,16,23,2.1,1.3,2.4,200,0.25,290.0
24,6.85,23,16,23,2.1,1.3,2.4,200,0.25,290.0
25,6.84,23,16,23,2.1,1.3,2.4,200,0.25,290.0
26,6.82,23,16,23,2.1,1.3,2.4,200,0.25,290.0
27,6.80,23,16,23,2.1,1.3,2.4,200,0.25,290.0
28,6.79c,23,16,23,2.1,1.3,2.4,200,0.25,290.0
29,6.79,23,16,23,2.1,1.3,2.4,200,0.25,290.0
30,6.78,23,16,23,2.1,1.3,2.4,200,0.25,290.0
31,6.75,23,16,23,2.1,1.3,1.8,200,0.25,290.0
32,6.74,23,16,23,2.4,1.3,1.8,200,0.25,290.0
33,6.73c,23,16,23,2.4,1.3,1.8,200,0.25,290.0
34,6.73,23,16,23,2.4,1.3,1.8,200,0.25,290.0
