,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,23,23,18,3.9,2.1,1.7,200,0.0,315.0
1,7.25,23,23,18,3.9,2.1,1.7,200,0.0,315.0
2,7.24,23,23,18,3.9,2.1,1.7,200,0.0,310.0
3,7.23e,23,23,18,3.9,2.1,1.7,200,0.0,310.0
4,7.23c,23,23,18,3.9,2.1,1.7,200,0.0,310.0
5,7.23,23,23,18,3.9,2.1,1.7,200,0.0,310.0
6,7.22f,23,23,18,3.9,2.1,1.7,200,0.0,305.0
7,7.22c,23,23,18,3.9,2.1,1.7,200,0.0,305.0
8,7.22,23,23,18,3.9,2.1,1.7,200,0.0,300.0
9,7.21,23,23,18,3.9,2.1,1.7,200,0.0,300.0
10,7.20d,23,23,18,3.4,2.1,1.7,200,0.0,300.0
11,7.20c,23,23,18,3.4,2.1,1.7,200,0.0,295.0
12,7.20,23,23,18,3.0,2.1,1.7,200,0.0,295.0
13,7.16,23,23,18,3.0,2.1,1.7,200,1.5,295.0
14,7.14,23,23,18,3.0,2.1,1.7,200,1.5,295.0
15,7.13b,23,23,18,3.0,2.1,1.7,200,1.5,295.0
16,7.12,23,23,18,3.0,2.1,1.7,200,1.5,300.0
17,7.08,23,23,18,3.0,2.1,1.7,200,1.5,300.0
18,7.07c,23,23,18,3.0,2.1,1.7,200,1.5,300.0
19,7.07,23,23,18,2.6,2.1,1.7,200,1.5,300.0
20,7.06,23,23,18,2.6,2.1,1.7,200,0.0,300.0
21,7.03,23,23,18,2.3,2.1,1.7,200,0.25,300.0
22,7.02,23,23,18,2.3,2.1,1.7,200,0.25,300.0
23,7.01,23,23,18,2.3,2.1,1.7,200,0.25,300.0
24,7.00,23,23,18,2.3,2.1,1.7,200,0.25,300.0
25,6.87,23,23,18,2.3,2.1,1.7,200,0.25,300.0
26,6.86c,23,23,18,2.3,2.1,1.7,200,0.25,300.0
27,6.86,23,23,18,2.3,2.1,1.7,200,0.25,300.0
28,6.85,23,23,18,2.3,2.1,1.7,200,0.25,305.0
29,6.84,23,23,18,2.3,2.1,1.7,200,0.25,305.0
30,6.83,23,23,18,2.3,2.1,1.7,200,0.25,305.0
31,6.82,23,23,18,2.3,2.1,1.7,200,0.25,305.0
32,6.81b,23,23,18,2.3,2.1,1.7,200,0.25,305.0
33,6.81,23,23,18,2.3,2.1,1.7,200,0.25,305.0
34,6.80,23,23,18,2.3,2.1,1.7,200,0.25,305.0
35,6.79,23,23,18,2.3,2.1,1.7,200,0.25,305.0
36,6.78,23,23,18,2.3,2.1,1.7,200,0.25,305.0
37,6.75,23,23,18,2.3,2.1,1.7,200,0.25,305.0
38,6.73,23,23,18,2.3,2.1,1.7,200,0.25,305.0
39,6.72d,23,23,18,2.3,2.1,1.7,200,0.25,305.0
40,6.72c,23,23,18,2.3,2.1,1.7,200,0.25,305.0
41,6.72,23,23,18,2.3,2.1,1.7,200,0.25,305.0
42,6.71,23,23,18,2.3,2.1,1.7,200,0.25,305.0
43,6.70b,23,23,18,2.3,2.1,1.7,200,0.25,305.0
44,6.70,23,23,18,2.3,2.1,1.7,200,0.25,305.0
