,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,10,27,2.8,0.8,2.8,200,0.0,300.0
1,7.26b,22,10,27,2.8,0.8,2.8,200,0.0,300.0
2,7.25,22,10,27,2.8,0.8,2.8,200,0.0,300.0
3,7.24,22,10,27,2.8,0.8,2.8,200,0.0,300.0
4,7.23c,22,10,27,2.8,0.8,2.8,200,0.0,300.0
5,7.23a,22,10,27,2.8,0.8,2.8,200,0.0,300.0
6,7.23,22,10,27,2.8,0.8,2.8,200,0.0,300.0
7,7.22g,22,10,27,2.8,0.8,2.8,200,0.0,300.0
8,7.22c,22,10,27,2.8,0.8,2.8,200,0.0,300.0
9,7.22,22,10,27,2.8,0.8,2.8,200,0.0,300.0
10,7.21,22,10,27,2.8,0.8,2.8,200,0.0,300.0
11,7.20e,22,10,27,2.4,0.8,2.8,200,0.0,300.0
12,7.20d,22,10,27,2.4,0.8,2.8,200,0.0,300.0
13,7.20c,22,10,27,2.4,0.8,2.8,200,0.0,295.0
14,7.20,22,10,27,2.4,0.8,2.8,200,0.0,295.0
15,7.19d,22,10,27,2.4,0.8,2.8,200,1.5,305.0
16,7.16,22,10,27,2.4,0.8,2.8,200,1.5,305.0
17,7.14,22,10,27,2.4,0.8,2.8,200,1.5,305.0
18,7.13b,22,10,27,2.4,0.8,2.8,200,1.5,305.0
19,7.12,22,10,27,2.4,0.8,2.8,200,1.5,310.0
20,7.10,22,10,27,2.4,0.8,2.8,200,1.5,310.0
21,7.07,22,10,27,2.4,0.8,2.8,200,1.5,310.0
22,7.06f,22,10,27,2.4,0.8,2.8,200,0.0,310.0
23,7.06d,22,10,27,2.4,0.8,2.8,200,0.0,310.0
24,7.06,22,10,27,2.4,0.8,2.8,200,0.0,310.0
25,7.03,22,10,27,2.1,0.8,2.8,200,0.25,310.0
26,7.02,22,10,27,2.1,0.8,2.8,200,0.25,310.0
27,7.00,22,10,27,2.1,0.8,2.8,200,0.25,310.0
28,6.88,22,10,27,2.1,0.8,2.8,200,0.25,310.0
29,6.87,22,10,27,2.1,0.8,2.5,200,0.25,310.0
30,6.86c,22,10,27,2.1,0.8,2.5,200,0.25,310.0
31,6.86,22,10,27,2.1,0.8,2.5,200,0.25,310.0
32,6.85,22,10,27,2.1,0.8,2.5,200,0.25,310.0
33,6.84c,22,10,27,2.1,0.8,2.5,200,0.25,310.0
34,6.84b,22,10,27,2.1,0.8,2.5,200,0.25,310.0
35,6.84,22,10,27,2.1,0.8,2.5,200,0.25,310.0
36,6.83,22,10,27,2.1,0.8,2.5,200,0.25,310.0
37,6.82,22,10,27,2.1,0.8,2.5,200,0.25,310.0
38,6.81b,22,10,27,2.1,0.8,2.5,200,0.25,310.0
39,6.81,22,10,27,2.1,0.8,2.0,200,0.25,310.0
40,6.80,22,10,27,2.1,0.8,2.0,200,0.25,310.0
41,6.79,22,10,27,2.1,0.8,2.0,200,0.25,310.0
42,6.78,22,10,27,2.1,0.8,2.0,200,0.25,310.0
43,6.77,22,10,27,2.1,0.8,2.0,200,0.25,310.0
44,6.75,22,10,27,2.1,0.8,2.0,200,0.25,310.0
45,6.73,22,10,27,2.1,0.8,2.0,200,0.25,310.0
46,6.72d,22,10,27,2.1,0.8,2.0,200,0.25,310.0
47,6.72c,22,10,27,2.1,0.8,2.0,200,0.25,310.0
48,6.72,22,10,27,2.1,0.8,2.0,200,0.25,310.0
49,6.71,22,10,27,2.1,0.8,2.0,200,0.25,310.0
50,6.70,22,10,27,2.1,0.8,2.0,200,0.25,310.0
51,6.68,22,10,27,2.1,0.8,2.0,200,0.25,310.0
52,6.67,22,10,27,2.1,0.8,2.0,200,0.25,310.0
53,6.66,22,10,27,2.1,0.8,2.0,200,0.25,310.0
54,6.64,22,10,27,2.1,0.8,2.0,200,0.25,310.0
55,6.63,22,10,27,2.1,0.8,2.8,200,0.25,310.0
56,6.60,22,10,27,2.1,0.8,2.8,200,0.25,310.0
57,6.58,22,10,27,2.1,0.8,2.8,200,0.25,310.0
58,6.52b,22,10,27,2.1,0.8,2.8,200,0.25,310.0
59,6.52,22,10,27,2.1,0.8,2.8,200,0.25,310.0
60,6.50,22,10,27,2.1,0.8,2.8,200,0.25,310.0
61,6.45,22,10,27,2.1,0.8,2.8,200,0.25,310.0
62,6.44b,22,10,27,2.1,0.8,2.8,200,0.25,310.0
63,6.44,22,10,27,2.6,0.8,2.8,200,0.25,310.0
