,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,19,26,19,2.1,3.2,1.8,200,0.0,275.0
1,7.24,19,26,19,2.1,3.2,1.8,200,0.0,275.0
2,7.23c,19,26,19,2.1,3.2,1.8,200,0.0,275.0
3,7.23,19,26,19,2.1,3.2,1.8,200,0.0,275.0
4,7.22g,19,26,19,2.1,3.2,1.8,200,0.0,275.0
5,7.22,19,26,19,2.1,3.2,1.8,200,0.0,275.0
6,7.21d,19,26,19,2.1,3.2,1.8,200,0.0,275.0
7,7.21,19,26,19,2.1,3.2,1.8,200,0.0,275.0
8,7.20e,19,26,19,1.9,2.8,1.8,200,0.0,275.0
9,7.20c,19,26,19,1.9,2.8,1.8,200,0.0,275.0
10,7.20b,19,26,19,1.9,2.8,1.8,200,0.0,275.0
11,7.20,19,26,19,1.9,2.8,1.8,200,0.0,275.0
12,7.15,19,26,19,1.9,2.8,1.8,200,1.5,275.0
13,7.14,19,26,19,1.9,2.8,1.8,200,1.5,275.0
14,7.10,19,26,19,1.9,2.8,1.8,200,1.5,275.0
15,7.07,19,26,19,1.9,2.8,1.8,200,1.5,275.0
16,7.06f,19,26,19,1.9,2.8,1.8,200,0.0,285.0
17,7.06e,19,26,19,1.9,2.8,1.8,200,0.0,285.0
18,7.06c,19,26,19,2.15,2.8,1.8,200,0.0,285.0
19,7.06,19,26,19,2.15,2.6,1.8,200,0.0,285.0
20,7.03,19,26,19,1.85,2.6,1.8,200,0.25,285.0
21,7.02,19,26,19,1.85,2.6,1.8,200,0.25,285.0
22,7.00,19,26,19,1.85,2.6,1.8,200,0.25,285.0
23,6.88,19,26,19,1.85,2.6,1.8,200,0.25,285.0
24,6.86,19,26,19,1.85,2.6,1.8,200,0.25,285.0
25,6.85,19,26,19,1.85,2.6,1.8,200,0.25,285.0
26,6.84,19,26,19,1.85,2.6,1.8,200,0.25,285.0
27,6.82,19,26,19,1.85,2.6,1.8,200,0.25,285.0
28,6.80,19,26,19,1.85,2.6,1.8,200,0.25,285.0
29,6.79c,19,26,19,1.85,2.6,1.8,200,0.75,285.0
30,6.79,19,26,19,1.85,2.6,1.8,200,0.75,290.0
31,6.78,19,26,19,1.85,2.6,1.8,200,0.75,290.0
32,6.76,19,26,19,1.85,2.6,1.8,200,0.75,290.0
33,6.75,19,26,19,1.85,2.6,1.8,200,0.75,290.0
34,6.72,19,26,19,1.85,2.6,1.8,200,0.75,290.0
35,6.69,19,26,19,1.85,2.6,1.8,200,0.75,290.0
36,6.68,19,26,19,1.85,2.6,1.8,200,0.75,290.0
37,6.67,19,26,19,1.85,2.6,1.8,200,0.75,290.0
38,6.58,19,26,19,1.85,2.6,1.8,200,0.75,290.0
39,6.44,19,26,19,1.85,2.6,1.8,200,0.75,290.0
40,6.42,19,26,19,1.85,2.6,1.8,200,0.75,290.0
41,6.35,19,26,19,1.85,2.6,1.8,200,0.75,290.0
42,6.25,19,26,19,1.85,2.6,1.8,200,0.75,290.0
43,6.20,19,26,19,1.85,2.6,1.8,200,0.75,295.0
44,6.17,19,26,19,1.85,2.6,1.8,200,0.75,295.0
45,6.15,19,26,19,1.85,2.6,1.8,200,0.75,300.0
46,6.10,19,26,19,1.85,2.6,1.8,200,0.75,300.0
47,6.09,19,26,19,1.85,2.6,1.8,200,0.75,300.0
48,6.07,19,26,19,1.85,2.6,1.8,200,0.75,300.0
49,6.06,19,26,19,1.85,2.6,1.8,200,0.75,300.0
50,6.03b,19,26,19,1.85,2.6,1.8,200,0.75,300.0
51,6.02,19,26,19,1.85,2.6,1.8,200,0.75,300.0
52,6.00,19,26,19,1.85,2.6,1.8,200,0.75,300.0
53,5.80,19,26,19,1.85,2.6,1.8,200,0.75,300.0
54,5.72,19,26,19,1.85,2.6,1.8,200,0.75,300.0
55,5.65,19,26,19,1.85,2.6,1.8,200,0.75,300.0
56,5.62,19,26,19,1.85,2.6,1.8,200,0.75,300.0
57,5.61,19,26,19,1.85,2.6,1.8,200,0.75,300.0
58,5.60,19,26,19,1.85,2.6,1.8,200,0.75,300.0
59,5.58,19,26,19,1.85,2.6,1.8,200,0.75,300.0
60,5.55,19,26,19,1.75,2.5,1.8,200,0.75,300.0
61,5.51,19,26,19,1.75,2.5,1.8,200,0.75,300.0
62,5.50,19,26,19,1.75,2.5,1.8,200,0.75,300.0
63,5.40,19,26,19,1.75,2.5,1.8,200,0.75,300.0
64,5.36,19,26,19,1.75,2.5,1.8,200,0.75,300.0
65,5.34,19,26,19,1.75,2.5,1.8,200,0.75,300.0
66,5.32,19,26,19,1.75,2.5,1.8,200,0.75,300.0
67,5.31,19,26,19,1.75,2.5,1.8,200,0.75,300.0
68,5.10,19,26,19,1.75,2.5,1.8,200,0.75,300.0
69,4.0beta10,19,26,19,1.75,2.5,1.8,200,0.75,300.0
70,4.0beta6,19,26,19,1.75,2.5,1.8,200,0.75,300.0
71,4.0beta5,19,26,19,1.75,2.5,1.8,200,0.75,300.0
72,4.0beta2,19,26,19,1.75,2.5,1.8,200,0.75,300.0
73,3.2j,19,26,19,1.75,2.5,1.8,200,0.75,300.0
74,3.00a,19,26,19,2.25,2.5,1.8,200,0.75,300.0
75,2.60,19,26,19,2.25,2.5,1.8,200,0.75,300.0
76,0.98,19,26,19,3.0,1.75,1.8,200,0.75,300.0
77,0.90,19,26,19,3.0,1.75,1.8,200,0.75,300.0
78,0.60,19,26,19,3.0,1.75,1.8,200,0.75,300.0
