,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,22,18,18,3.0,1.7,1.6,200,0.0,315.0
1,7.26b,22,18,18,3.2,1.7,1.6,200,0.0,315.0
2,7.26a,22,18,18,3.2,1.7,1.6,200,0.0,315.0
3,7.25c,22,18,18,3.2,1.7,1.6,200,0.0,315.0
4,7.25,22,18,18,3.2,1.7,1.6,200,0.0,315.0
5,7.23,22,18,18,3.2,1.7,1.6,200,0.0,315.0
6,7.22f,22,18,18,3.2,1.7,1.6,200,0.0,315.0
7,7.22e,22,18,18,3.2,1.7,1.6,200,0.0,315.0
8,7.21,22,18,18,3.2,1.7,1.6,200,0.0,315.0
9,7.20d,22,18,18,2.8,1.7,1.6,200,0.0,300.0
10,7.20,22,18,18,2.8,1.7,1.6,200,0.0,295.0
11,7.19c,22,18,18,2.8,1.7,1.6,200,1.5,295.0
12,7.19b,22,18,18,2.8,1.7,1.6,200,1.5,295.0
13,7.18,22,18,18,2.8,1.7,1.6,200,1.5,295.0
14,7.17,22,18,18,2.8,1.7,1.6,200,1.5,295.0
15,7.16,22,18,18,2.8,1.7,1.6,200,1.5,295.0
16,7.14,22,18,18,2.8,1.7,1.6,200,1.5,295.0
17,7.13b,22,18,18,2.8,1.7,1.6,200,1.5,295.0
18,7.10,22,18,18,2.8,1.7,1.6,200,1.5,300.0
19,7.07,22,18,18,2.8,1.7,1.6,200,1.5,300.0
20,7.06f,22,18,18,3.2,1.7,1.6,200,0.0,300.0
21,7.06,22,18,18,3.2,1.7,1.6,200,0.0,300.0
22,7.02,22,18,18,2.9,1.7,1.6,200,0.25,300.0
23,7.00,22,18,18,2.9,1.7,1.6,200,0.25,300.0
24,6.88,22,18,18,2.9,1.7,1.6,200,0.25,300.0
25,6.87,22,18,18,2.9,1.7,1.6,200,0.25,300.0
26,6.86,22,18,18,2.9,1.7,1.6,200,0.25,300.0
27,6.85,22,18,18,2.9,1.7,1.6,200,0.25,300.0
28,6.84,22,18,18,2.9,1.7,1.6,200,0.25,300.0
29,6.82,22,18,18,2.9,1.7,1.6,200,0.25,300.0
30,6.81,22,18,18,2.9,1.7,1.6,200,0.25,300.0
31,6.80,22,18,18,2.9,1.7,1.6,200,0.25,300.0
32,6.79,22,18,18,2.9,1.7,1.6,200,0.25,300.0
33,6.78,22,18,18,2.9,1.7,1.6,200,0.25,300.0
34,6.75,22,18,18,2.9,1.7,1.6,200,0.25,300.0
35,6.73,22,18,18,2.9,1.7,1.6,200,0.25,300.0
36,6.72d,22,18,18,2.9,1.7,1.6,200,0.25,300.0
37,6.72c,22,18,18,2.9,1.7,1.6,200,0.25,300.0
38,6.72,22,18,18,2.9,1.7,1.6,200,0.25,300.0
39,6.69,22,18,18,2.9,1.7,1.6,200,0.25,300.0
40,6.68,22,18,18,2.9,1.7,1.6,200,0.25,300.0
41,6.67,22,18,18,2.9,1.7,1.6,200,0.25,300.0
42,6.64,22,18,18,2.9,1.7,1.6,200,0.25,300.0
43,6.46b,22,18,18,2.9,1.7,1.6,200,0.25,300.0
44,6.35,22,18,18,2.9,1.7,1.6,200,0.25,300.0
45,6.20,22,18,18,2.9,1.7,1.6,200,0.25,300.0
46,6.16,22,18,18,2.9,1.7,1.6,200,0.25,300.0
47,6.12b,22,18,18,2.9,1.7,1.6,200,0.25,300.0
48,6.12,22,18,18,2.9,1.7,1.6,200,0.25,300.0
49,6.10,22,18,18,2.9,1.7,1.6,200,0.25,300.0
50,6.05,22,18,18,2.9,1.7,1.6,200,0.25,300.0
51,6.00,22,18,18,2.9,1.7,1.6,200,0.25,300.0
52,5.72,22,18,18,2.9,1.7,1.6,200,0.25,300.0
53,5.59,22,18,18,2.9,1.7,1.6,200,0.25,300.0
54,5.58,22,18,18,2.9,1.7,1.6,200,0.25,300.0
55,5.50,22,18,18,3.0,1.5,1.5,200,0.25,300.0
56,5.40,22,18,18,3.0,1.5,1.5,200,0.25,300.0
57,5.31,22,18,18,3.0,1.5,1.5,200,0.25,300.0
58,5.10,22,18,18,3.0,1.5,1.5,200,0.25,300.0
59,4.1beta01,22,18,18,3.0,1.5,1.5,200,0.25,300.0
60,4.0beta6,22,18,18,3.0,1.5,1.5,200,0.25,300.0
61,4.0beta5,22,18,18,3.0,1.5,1.5,200,0.25,300.0
62,4.0beta2,22,18,18,3.0,1.5,1.5,200,0.25,300.0
63,3.2j,22,18,18,3.0,1.5,1.5,200,0.25,300.0
64,3.2a,22,18,18,3.0,1.5,1.5,200,0.25,300.0
65,2.60,22,18,18,3.0,1.5,1.5,200,0.25,300.0
66,0.60,22,18,18,3.0,1.5,1.5,200,0.25,300.0
