7.26b,"['Level 10 left talent: +10% spell damage amplification reduced to +8%.', 'Level 10 right talent: +175  Chilling Touch attack range reduced to +140.', 'Level 15 left talent: +15 health regen reduced to +12.', 'Level 15 right talent: -2.5s  Ice Vortex cooldown reduced to -2s.', 'Level 20 left talent: +80  Chilling Touch damage reduced to +65.', 'Level 20 right talent: +8%  Ice Vortex movement speed slow and magic resistance reduction reduced to +6%.', 'Level 25 left talent: +5%  Ice Blast shatter threshold reduced to +4%.', 'Level 25 right talent: 625 AoE  Cold Feet reduced to 500 AoE.', 'Talents:']"
7.24,"['Level 10 Right Talent changed: +90 gold per minute -> +175  Chilling Touch attack range.', 'Increased  Ice Blast kill threshold from 10%/11%/12% to 12%/13%/14%.', 'Talents:']"
7.23,"["" Ice Blast's impact damage now pierces spell immunity. [?]"", "" Aghanim's Scepter\nNo longer increases  Ice Blast duration from 10/11/12 to 17.\nNow removes  Chilling Touch's cooldown."", 'No longer increases  Ice Blast duration from 10/11/12 to 17.', ""Now removes  Chilling Touch's cooldown.""]"
7.22f,"['Level 15 left talent: +20 health regen reduced to +15.', 'Reduced  Cold Feet break distance from 740 to 715.', 'Increased  Ice Blast mana cost from 150 to 175.', 'Talents:']"
7.22e,"['Level 25 right talent: 700 AoE  Cold Feet reduced to 625 AoE.', 'Reduced movement speed from 290 to 285.', 'Talents:']"
7.22,"['Reduced  Ice Vortex mana cost from 50/70/90/110 to 40/60/80/100.', "" Ice Blast's initial tracer projectile is no longer visible on enemy minimaps when flying through an area where the enemy has vision and True Sight over.""]"
7.21c,"['Increased  intelligence gain from 3 to 3.4.', 'Increased  Ice Blast duration from 9/10/11 to 10/11/12.']"
7.21,"['Level 25 left talent: +4%  Ice Blast shatter threshold increased to +5%.', 'Level 25 right talent: 900 AoE  Cold Feet reduced to 700 AoE.', 'Increased  intelligence gain from 2.6 to 3.', 'Reduced movement speed from 295 to 290.', 'Reduced  Ice Vortex mana cost from 65/80/95/110 to 50/70/90/110.', 'Increased  Chilling Touch damage from 50/85/120/155 to 50/90/130/170.', 'Talents:']"
7.20,"['Attack range bonus: 60/120/180/240', 'Damage: 50/85/120/155 (magical)', 'Movement speed slow: 100%', 'Slow duration: 0.5', 'Mana cost: 30/50/70/90', 'Cooldown: 15/11/7/3', 'Increased  strength gain from 1.7 to 1.9.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', "" Ice Vortex no longer increases Ancient Apparition's movement speed. [?]"", 'Reworked  Chilling Touch']"
7.19,['Reduced  Ice Vortex mana cost from 80/90/100/110 to 65/80/95/110.']
7.18,['Increased  Ice Blast duration from 8/9/10 to 9/10/11.']
