7.26b,"['Level 10 left talent: +35 attack speed reduced to +30.', 'Level 10 right talent: 8% cooldown reduction reduced to 6%.', 'Level 15 left talent: +400  Flux cast range reduced to +325.', 'Level 15 right talent: +300 health reduced to +250.', 'Level 20 left talent: +125 attack range reduced to +100.', 'Level 20 right talent: -2s  Spark Wraith cooldown reduced to -1.5s.', 'Level 25 left talent: +300  Spark Wraith reduced to +250.', 'Level 25 right talent: 30% lifesteal reduced to 25%.', 'Talents:']"
7.25,['Increased base movement speed from 280 to 285.']
7.23,"['Level 25 left talent: +350  Spark Wraith damage reduced to +300.', 'Increased  Tempest Double duration from 16/20/24 to 18/22/26.', 'Talents:']"
7.22,"['Increased turn rate from 0.6 to 0.7.', ""Added  Aghanim's Scepter upgrade for Arc Warden: Grants Arc Warden the  Rune Forge ability:""]"
7.21d,"['Increased  agility gain from 2.1 to 2.4.', 'Increased  Tempest Double duration from 16/18/20 to 16/20/24.']"
7.21,"['Level 10 left talent: +25 attack speed increased to +30.', 'Increased  agility gain from 1.8 to 2.1.', 'Increased  Spark Wraith damage from 100/160/220/280 to 100/170/240/310.', 'Increased  Tempest Double duration from 14/16/18 to 16/18/20.', 'Talents:']"
7.20,"['Level 15 right talent: +350 health reduced to +300.', 'Reduced base health regeneration from 1.75 to 0.25.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Tempest Double gold and experience bounty from 180 on each level to 180/240/300.', 'Talents:']"
7.16,"['Increased base attack damage from 29-39 to 31-41.', 'Increased base health regeneration from 1.5 to 1.75.', 'Reduced  Magnetic Field mana cost from 80/90/100/110 to 50/70/90/110.']"
7.15,['Increased base  strength from 24 to 25.']
7.14,"['Level 15 left talent changed: +3s  Flux duration -> +400  Flux cast range.', 'Reduced  Magnetic Field cooldown from 35/30/25/20 to 20 on each level.', 'Talents:']"
7.12,"['Reduced  Flux cooldown from 18 to 16.', 'Increased  Magnetic Field radius from 275 to 300.']"
7.10,"['Level 10 right talent changed: +5 armor -> 8% cooldown reduction.', 'Level 15 left talent: +2s  Flux duration increased to +3s.', 'Level 20 left talent: +100 attack range increased to +125.', 'Level 20 right talent changed: 10% cooldown reduction -> -1.5s  Spark Wraith cooldown.', 'Talents:']"
7.07,"['Level 10: +25 attack speed or +20  Flux damage per second', 'Level 15: +200 health or +30 attack damage', 'Level 20: +100 attack range or 10% cooldown reduction', 'Level 25: +250  Spark Wraith damage or 30% lifesteal', 'Reduced movement speed from 285 to 280.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,['Increased turn rate from 0.4 to 0.6.']
