7.26b,"['Level 10 left talent: +25 attack damage reduced to +20.', 'Level 10 right talent: +25 movement speed reduced to +15.', 'Level 15 left talent: +350 health reduced to +275.', 'Level 15 right talent: +65  Shuriken Toss damage reduced to +50.', 'Level 20 left talent: +65  Jinada gold steal reduced to +50.', 'Level 20 right talent: +60 attack speed reduced to +50.', 'Level 25 left talent: +300  Track gold reduced to +250.', 'Level 25 right talent: 50% evasion reduced to 40%.', ' Track now grants unreliable gold, instead of reliable gold.', 'Talents:']"
7.26a,['Reduced  Track self gold bonus from 150/250/350 to 130/225/320.']
7.25a,"['Level 15 right talent: +75  Shuriken Toss damage reduced to +65.', 'Level 20 left talent: +90  Jinada gold steal reduced to to +65.', 'Talents:']"
7.25,"['Reduced  Shuriken Toss mana cost from 135 on each level to 120/125/130/135.', ""Reworked  Aghanim's Scepter upgrade.""]"
7.24,['Increased base armor from 3 to 4.']
7.23e,"['Level 10 left talent changed: +20% experience gain -> +25 attack damage.', 'Talents:']"
7.23c,"['Level 10 left talent: +25% experience gain reduced to +20%.', 'Talents:']"
7.23,['Increased  Track movement speed bonus from 16%/18%/20% to 16%/20%/24%.']
7.22f,['Reduced  Shuriken Toss mana cost from 150 to 135.']
7.22e,['Increased base attack damage from 24-38 to 27-41.']
7.22d,"['Increased base health regeneration from 0.5 to 1.25.', 'Reduced  Shuriken Toss cooldown from 9 to 8.']"
7.22,"['Level 20 right talent: +75  Shuriken Toss damage increased to +125.', 'Reduced  Jinada damage from 80/110/140/170 to 70/100/130/160.', "" Aghanim's Scepter now also increases  Shuriken Toss' cast range from 400 to 800."", 'Talents:']"
7.21c,['Reduced  agility gain from 3.1 to 2.5']
7.21,"['Increased  agility gain from 2.7 to 3.1.', 'Reduced  Shuriken Toss cooldown from 10 to 9.', 'Increased  Jinada gold steal from 12/18/24/30 to 12/20/28/36.', 'Increased  Track critical strike damage from 140%/160%/180% to 140%/170%/200%.']"
7.20c,"['Reduced  agility gain from 3 to 2.7.', 'Reduced  Track cast range from 1200 to 1000.']"
7.20,"['Attack damage bonus: 80/110/140/170', 'Gold stolen: 12/18/24/30', 'Cooldown: 12/9/6/3', ""Bounty Hunter's weapons glow whenever Jinada is ready."", 'Increased base  strength and gain from 18 + 2.1 to 20 + 2.5.', 'Reduced base health regeneration from 2 to 0.5.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reworked  Jinada']"
