7.26b,"['Level 10 left talent: +200 cast range reduced to +150.', 'Level 10 right talent: +200 health reduced to +150.', 'Level 15 left talent: +20  Holy Persuasion creep attack damage reduced to +16.', 'Level 15 right talent: -40s  Divine Favor cooldown reduced to -32s.', 'Level 20 left talent: +1000  Holy Persuasion minimum creep health reduced to +800.', 'Level 20 right talent: -30s  Hand of God cooldown reduced to -24s.', 'Level 25 left talent: +350  Hand of God heal reduced to +280.', 'Level 25 right talent: +5  Holy Persuasion max units reduced to +4.', 'Talents:']"
7.26a,['Reduced  Divine Favor health regeneration bonus from 2/3/4/5 to 1.25/2.5/3.75/5.']
7.24,"['Level 20 right talent changed: +180 gold per minute -> -30s  Hand of God cooldown.', 'Talents:']"
7.23,"['Level 10 right talent changed: +30% experience gain -> +200 health.', 'Reduced creep minimum health from 1000 on each level to 700/800/900/1000.', 'Increased mana cost from 70/90/110/130 to 90/110/130/150.', ' Holy Persuasion\nReduced creep minimum health from 1000 on each level to 700/800/900/1000.\nIncreased mana cost from 70/90/110/130 to 90/110/130/150.', 'Increased  Hand of God mana cost from 200/300/400 to 250/350/450.', 'Talents:']"
7.22g,"['Level 15 right talent: -30s  Divine Favor cooldown increased to -40s.', 'Reduced  Holy Persuasion creep max level from 4/5/6/6 to 3/4/5/6.', ' Divine Favor\nReduced heal amplification from 8%/12%/16%/20% to 6%/10%/14%/18%.\nIncreased cooldown from 120/100/80/60 to 140/120/100/80.', 'Reduced heal amplification from 8%/12%/16%/20% to 6%/10%/14%/18%.', 'Increased cooldown from 120/100/80/60 to 140/120/100/80.', 'Talents:']"
7.22f,"['Reduced movement speed from 305 to 300.', 'Increased  Divine Favor cooldown from 90/80/70/60 to 120/100/80/60.']"
7.22e,['Reduced base attack damage from 29-39 to 25-35.']
7.22d,"['Increased  Divine Favor cooldown from 60 on each level to 90/80/70/60.', 'Reduced  Hand of God heal from 300/450/600 to 250/425/600.']"
7.22c,"['Level 10 right talent: +35% experience gain reduced to +30%.', 'Level 15 left talent changed: +10  Divine Favor attack damage -> +20  Holy Persuasion creep attack damage.', 'Level 15 right talent changed: +7 armor -> -30s  Divine Favor cooldown.', 'Increased  Penitence mana cost from 70 on each level to 70/80/90/100.', ' Holy Persuasion\nCan no longer be cast on allies to teleport them to Chen.\nNow grants the converted creep a permanent 8/16/24/32 attack damage bonus.', 'Can no longer be cast on allies to teleport them to Chen.', 'Now grants the converted creep a permanent 8/16/24/32 attack damage bonus.', ' Divine Favor\nCan now be globally cast on allies to teleport them to Chen, with a 6-second delay, 130 mana cost, and 60-second cooldown. The teleport cancels when the target takes player-based damage.\nNo longer grants 4/8/12/16 (8/16/24/32 to own creeps) attack damage.\nIncreased health regen bonus from 1/2/3/4 to 2/3/4/5.', 'Can now be globally cast on allies to teleport them to Chen, with a 6-second delay, 130 mana cost, and 60-second cooldown. The teleport cancels when the target takes player-based damage.', 'No longer grants 4/8/12/16 (8/16/24/32 to own creeps) attack damage.', 'Increased health regen bonus from 1/2/3/4 to 2/3/4/5.', 'Talents:']"
7.22,"['Can no longer be cast on siege creeps.', 'Now grants the converted creep 10/15/20/25 movement speed.', ' Holy Persuasion\nCan no longer be cast on siege creeps.\nNow grants the converted creep 10/15/20/25 movement speed.', 'Reworked  Divine Favor']"
