7.26c,"['Level 10 left talent changed: +100  Ion Shell radius -> +60  Vacuum radius.', 'Level 15 left talent changed: +60  Vacuum radius -> +100  Ion Shell radius.', 'Level 20 left talent: +65  Ion Shell damage per second reduced to +60.', 'Talents:']"
7.26b,"['Level 10 left talent: +125  Ion Shell radius reduced to +100.', 'Level 10 right talent: 12% evasion reduced to 10%.', 'Level 15 left talent: +75  Vacuum radius reduced to +60.', 'Level 15 right talent: +12 health regen reduced to +10.', 'Level 20 left talent: +80  Ion Shell damage per second reduced to +65.', 'Level 20 right talent: +10 armor reduced to +8.', 'Level 25 right talent: Reduced parallel  Wall of Replica distance from 600 to 480.', 'Talents:']"
7.25,"['Level 10 left talent changed: +90 attack damage -> +125  Ion Shell radius.', 'Changed movement speed bonus from 70% to a flat 250.', 'Increased cooldown from 16/14/12/10 to 19/16/13/10.', ' Surge\nChanged movement speed bonus from 70% to a flat 250.\nIncreased cooldown from 16/14/12/10 to 19/16/13/10.', 'Talents:']"
7.24,"['Increased movement speed bonus from 25%/40%/55%/70% to 70% on each level.', 'Reduced duration from 6 on each level to 3/4/5/6.', ' Surge\nIncreased movement speed bonus from 25%/40%/55%/70% to 70% on each level.\nReduced duration from 6 on each level to 3/4/5/6.']"
7.23,"[' Vacuum now affects invulnerable units as well. [?]', "" Aghanim's Scepter\nNo longer increases damage dealt by  Wall of Replica illusions from 70%/85%/100% to 100%/120%/140%.\nNow reduces  Vacuum's cooldown from 60/50/40/30 to 12 on each level.\nNow multiplies  Wall of Replica's length by 2."", 'No longer increases damage dealt by  Wall of Replica illusions from 70%/85%/100% to 100%/120%/140%.', ""Now reduces  Vacuum's cooldown from 60/50/40/30 to 12 on each level."", ""Now multiplies  Wall of Replica's length by 2.""]"
7.22f,['Increased  Vacuum damage from 25/50/100/200 to 50/100/150/200.']
7.22e,['Reduced  Ion Shell damage from 30/50/70/90 to 24/46/68/90.']
7.22d,"['Reduced base  strength from 21 to 20.', 'Reduced movement speed from 300 to 295.']"
7.22c,"['Level 20 left talent: +100  Ion Shell damage per second reduced to +80.', 'Reduced  Surge movement speed bonus reduced from 30%/45%/60%/75% to 25%/40%/55%/70%.', 'Talents:']"
7.22,"['Level 20 left talent changed: 400 AoE  Surge [?] -> +100  Ion Shell damage per second.', 'Level 20 right talent changed: 15% cooldown reduction -> +10 armor.', 'Level 25 left talent changed: +150  Ion Shell damage per second -> 400 AoE  Surge. [?]', 'Reduced base  strength from 24 to 21.', 'Talents:']"
7.21b,"['Increased  agility gain from 1.2 to 1.8.', 'Reduced base armor from 5 to 3.']"
7.21,['Increased  intelligence gain from 2.7 to 3.1.']
7.20e,['Reduced  Surge movement speed bonus from 36%/54%/72%/90% to 30%/45%/60%/75%.']
7.20d,['Increased movement speed from 295 to 300.']
7.20,"['Increased  strength gain from 2.9 to 3.1.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Surge\nNow grants 36%/54%/72%/90% movement speed, instead of setting it to a minimum of 550. [?]\nNow removes the movement speed limit for the unit while active.\nNow grants phased movement to the target.\nRescaled duration from 3/4.5/6/7.5 to 6 on each level.\nIncreased cooldown from 13/12/11/10 to 16/14/12/10.', 'Now grants 36%/54%/72%/90% movement speed, instead of setting it to a minimum of 550. [?]', 'Now removes the movement speed limit for the unit while active.', 'Now grants phased movement to the target.', 'Rescaled duration from 3/4.5/6/7.5 to 6 on each level.', 'Increased cooldown from 13/12/11/10 to 16/14/12/10.', ' Wall of Replica\nNow uses Vector Targeting.\nThe slow no longer pierces spell immunity.\nThe slow is now constantly applied to enemy heroes when within range, instead of only upon creating illusions.\nRescaled slow duration from 0.5/0.75/1 to 0.75 on each level.\nReduced movement speed slow from 75% on each level to 50%/60%/70%.\nIncreased cast range from 500/900/1300 to 1300 on each level.\nReduced cast time from 0.4 to 0.2.', 'Now uses Vector Targeting.', 'The slow no longer pierces spell immunity.', 'The slow is now constantly applied to enemy heroes when within range, instead of only upon creating illusions.', 'Rescaled slow duration from 0.5/0.75/1 to 0.75 on each level.', 'Reduced movement speed slow from 75% on each level to 50%/60%/70%.', 'Increased cast range from 500/900/1300 to 1300 on each level.', 'Reduced cast time from 0.4 to 0.2.']"
7.15,"['Reduced base  intelligence from 23 to 21.', 'Increased base attack damage from 31-37 to 33-39.']"
7.14,"['Illusions now automatically attack their heroes upon creation. [?]', 'Reduced illusion damage taken from 300% to 200%.', 'Increased illusion damage dealt from 60%/75%/90% to 70%/85%/100%.', ' Wall of Replica\nIllusions now automatically attack their heroes upon creation. [?]\nReduced illusion damage taken from 300% to 200%.\nIncreased illusion damage dealt from 60%/75%/90% to 70%/85%/100%.']"
7.13b,['Increased base  strength and gain from 22 + 2.6 to 24 + 2.9.']
7.12,"['Increased radius from 250/350/450/550 to 400/450/500/550.', 'Rescaled pull duration from 0.5 on each level to 0.3/0.4/0.5/0.6.', 'Rescaled cast range from 500 on each level to 450/500/550/600.', 'Rescaled damage from 40/80/120/160 to 25/50/100/200.', 'Increased cooldown from 32 on each level to 60/50/40/30.', ' Vacuum\nIncreased radius from 250/350/450/550 to 400/450/500/550.\nRescaled pull duration from 0.5 on each level to 0.3/0.4/0.5/0.6.\nRescaled cast range from 500 on each level to 450/500/550/600.\nRescaled damage from 40/80/120/160 to 25/50/100/200.\nIncreased cooldown from 32 on each level to 60/50/40/30.', ' Wall of Replica\nReduced illusion damage taken from 400% to 300%.\nIncreased wall length from 1000 to 1300.', 'Reduced illusion damage taken from 400% to 300%.', 'Increased wall length from 1000 to 1300.']"
7.10,"['Level 20 left talent: 300 AoE  Surge increased to 400 AoE.', 'Talents:']"
7.07,"['Level 10: +100 cast range or 12% evasion', 'Level 15: +14 health regen or +120 attack damage', 'Level 20: +75  Vacuum radius or 10% cooldown reduction', 'Level 25: +80  Ion Shell damage per second or +25  strength', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,['Increased  Surge cooldown from 12/11/10/9 to 13/12/11/10.']
7.06d,"['Reduced base  intelligence from 25 to 23.', 'Reduced  Wall of Replica slow duration from 0.6/0.8/1 to 0.5/0.75/1.']"
7.06,"['Increased  strength gain from 2.3 to 2.6.', 'Reduced base health regeneration from 0.25 to 0.', 'Reduced  Wall of Replica slow duration from 1 on each level to 0.6/0.8/1.']"
7.03,['Increased  Vacuum cooldown from 28 to 32.']
7.02,"['Level 15 right talent: +90 attack damage increased to +120.', 'Level 20 left talent changed: +25  intelligence -> +75  Vacuum radius.', 'Level 20 right talent changed: +12  strength -> 10% cooldown reduction.', 'Level 25 right talent changed: 12% cooldown reduction -> +25  strength.', 'Level 25 left talent: +70  Ion Shell damage per second increased to +80.', 'Reduced movement speed from 300 to 295.', 'Increased  Ion Shell mana cost from 70/90/110/130 to 100/110/120/130.', 'Talents:']"
7.00,"['Level 10: +100 cast range or 12% evasion', 'Level 15: +14 health regen or +90 attack damage', 'Level 20: +25  intelligence or +12  strength', 'Level 25: +70  Ion Shell damage per second or 12% cooldown reduction', 'No longer deals 150 damage to enemy heroes upon creating illusions of them.', 'Now slows the movement speed of enemy heroes it creates illusions of by 75% for 1 second.', ' Wall of Replica\nNo longer deals 150 damage to enemy heroes upon creating illusions of them.\nNow slows the movement speed of enemy heroes it creates illusions of by 75% for 1 second.', 'Added talents:']"
6.87,['Increased attack range from 128 to 150.']
