7.26c,"['Level 10 right talent changed: +175 health -> +20% magic resistance.', 'Talents:']"
7.26b,"['Level 10 left talent: +40  Thunder Strike damage per strike reduced to +30.', 'Level 10 right talent: +225 health reduced to +175.', 'Level 15 left talent: -4s  Kinetic Field cooldown reduced to -3s.', 'Level 15 right talent: +150 cast range reduced to +125.', 'Level 20 left talent: +4  Thunder Strike strikes reduced to +3.', 'Level 25 left talent: +4s  Kinetic Field duration reduced to +3s.', 'Level 25 right talent: -10s  Glimpse cooldown reduced to -8s.', 'Talents:']"
7.24,"['Level 20 right talent changed: +180 gold per minute ->  Kinetic Field provides True Sight.', 'Increased  Thunder Strike mana cost from 130 one each level to 130/140/150/160.', "" Aghanim's Scepter no longer increases  Static Storm duration from 5 to 7."", 'Talents:']"
7.23,"['Level 10 right talent: +200 health increased to +225.', ' Thunder Strike now slows the movement speed of all enemies within the area by 100% and attack speed by 100 for 0.1 seconds on each strike.', 'Talents:']"
7.22g,"['Increased radius from 450 to 500.', 'Increased max damage per second from 200/250/300 to 200/275/350.', ' Static Storm\nIncreased radius from 450 to 500.\nIncreased max damage per second from 200/250/300 to 200/275/350.']"
7.22d,['Increased attack range from 600 to 625.']
7.22,"['Level 15 left talent: -3s  Kinetic Field cooldown increased to -4s.', 'Talents:']"
7.21,"['Increased  intelligence gain from 2.5 to 2.9.', 'Reduced movement speed from 300 to 295.', 'Increased base armor from -1 to 0.']"
7.20,"['Increased  strength gain from 2.2 to 2.4.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Thunder Strike damage per strike from 40/60/80/100 to 45/70/95/120.']"
7.17,['Increased  Thunder Strike cooldown from 15/13/11/9 to 18/15/12/9.']
7.16,['Increased  Thunder Strike cooldown from 12/11/10/9 to 15/13/11/9.']
7.15,"['Reduced base  intelligence from 22 to 20.', 'Increased base attack damage from 27-31 to 29-33.']"
7.13b,['Increased base  strength from 19 to 21.']
7.12,"['Increased  Kinetic Field cooldown from 13/12/11/10 to 19/16/13/10.', "" Static Storm's debuff no longer lingers for 0.5 seconds after leaving the area.""]"
7.07,"['Level 10: +60 gold per minute or +100 cast range', 'Level 15: +40  Thunder Strike damage per strike or -3s  Kinetic Field cooldown', 'Level 20: +10% spell damage amplification or +400 health', 'Level 25: +30% magic resistance or +4  Thunder Strike strikes', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06,"['Level 15 left talent changed: -30s respawn time -> +40  Thunder Strike damage per strike.', 'Increased  strength gain from 1.9 to 2.2.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.02,"['Level 15 right talent changed: +200 health -> -3s  Kinetic Field cooldown.', 'Level 20 right talent changed: 15% cooldown reduction -> +400 health.', 'Talents:']"
7.00,"['Level 10: +60 gold per minute or +100 cast range', 'Level 15: -30s respawn time or +200 health', 'Level 20: +10% spell damage amplification or 15% cooldown reduction', 'Level 25: +30% magic resistance or +4  Thunder Strike strikes', 'Added talents:']"
6.88,[' Static Storm silence no longer lingers for 0.5 seconds after the duration is over. [?]']
6.87,['Increased  Kinetic Field radius from 325 to 340.']
6.85,"[""Now only reveals the target's model, instead of providing full shared vision."", 'Reduced cooldown from 16 on each level to 12/11/10/9.', "" Thunder Strike\nNow only reveals the target's model, instead of providing full shared vision.\nReduced cooldown from 16 on each level to 12/11/10/9.""]"
6.84,"[' Kinetic Field and  Static Storm no longer ignore ancient creeps, Roshan and creep-heroes.', 'Increased  Kinetic Field duration from 2.5/3/3.5/4 to 2.6/3.2/3.8/4.4']"
6.83,"['Rescaled mana cost from 160/130/100/70 to 100 on each level.', 'Reduced cooldown from 65/50/35/20 to 60/46/32/18.', ' Glimpse\nRescaled mana cost from 160/130/100/70 to 100 on each level.\nReduced cooldown from 65/50/35/20 to 60/46/32/18.', 'Reduced  Kinetic Field cooldown from 14/13/12/11 to 13/12/11/10.', 'Rescaled  Static Storm cooldown from 85 on each level to 90/80/70.']"
6.81,['Reduced  Kinetic Field cooldown from 14 to 14/13/12/11.']
6.79,"['Reduced  Glimpse cooldown from 60/50/40/30 to 65/50/35/20.', 'Increased  Kinetic Field radius from 300 to 325.', ' Static Storm\nIncreased radius from 375 to 450.\nIncreased maximum damage per second from 170/220/270 to 200/250/300.', 'Increased radius from 375 to 450.', 'Increased maximum damage per second from 170/220/270 to 200/250/300.', ""Added  Aghanim's Scepter upgrade for Disruptor: Increases  Static Storm duration from 5 to 7, increases maximum damage per second from 200/250/300 to 280/350/420 and causes it to mute items.""]"
6.78,"['Increased number of strikes from 3 to 4. [?]', 'Reduced damage per strike from 50/75/100/125 to 40/60/80/100.', 'Increased damage radius from 200 to 240.', ' Thunder Strike\nIncreased number of strikes from 3 to 4. [?]\nReduced damage per strike from 50/75/100/125 to 40/60/80/100.\nIncreased damage radius from 200 to 240.']"
6.75,"[' Force Staff can no longer push units through  Kinetic Field.', 'Increased  Static Storm maximum damage per second from 170/210/250 to 170/220/270.']"
6.74,"[""Added to Captain's Mode.""]"
6.71,['Increased  Static Storm cooldown from 75 to 85.']
6.70,['Increased  Thunder Strike mana cost form 100/110/120/130 to 130 on each level.']
6.69,['Increased  Static Storm cooldown from 60 to 75.']
6.68,['Created.']
