7.26c,"['Level 10 right talent: +2.5 mana regeneration reduced to +2.', 'Level 15 left talent: +325 health increased to +350.', 'Talents:']"
7.26b,"['Level 10 left talent: +30%  Breathe Fire attack damage reduction reduced to +24%.', 'Level 10 right talent: +3 mana regeneration reduced to +2.5.', 'Level 15 left talent: +400 health reduced to +325.', 'Level 15 right talent: +30 attack damage reduced to +25.', 'Level 20 left talent: +25  strength reduced to +20.', 'Level 20 right talent: 20% cooldown reduction reduced to 15%.', 'Level 25 left talent: +2s  Dragon Tail stun duration reduced to +1.6s.', 'Level 25 right talent: 2x  Dragon Blood health regen/armor reduced to 1.8x.', 'Talents:']"
7.26a,"['Reduced  strength gain from 3.6 to 3.4.', ""Reduced  Aghanim's Scepter level 4  Elder Dragon Form attack range from 450 to 350.""]"
7.25,['Increased base movement speed from 305 to 310.']
7.24,"['Increased base movement speed from 295 to 305.', 'Reduced  Elder Dragon Form movement speed bonus from 30 to 25.']"
7.23,"['Level 20 right talent changed: +210 gold per minute -> 20% cooldown reduction.', "" Aghanim's Scepter now also grants unobstructed movement to level 4  Elder Dragon Form."", 'Talents:']"
7.22f,"['Level 20 right talent: +180 gold per minute increased to +210.', ""Increased  Elder Dragon Form  Aghanim's Scepter magic resistance bonus from 30% to 40%."", 'Talents:']"
7.22c,"['Level 10 left talent: +25%  Breathe Fire attack damage reduction increased to to +30%.', 'Level 15 left talent: +350 health increased to +400.', 'Increased base  intelligence from 15 to 18.', 'Talents:']"
7.22,"[""Added  Aghanim's Scepter upgrade for Dragon Knight: Adds a 4th level to  Elder Dragon Form. Transforms into a black dragon, which has 50% more Corrosive Breath damage, Splash damage, and Frost Breath slow, 450 more attack range, and 30% magic resistance.""]"
7.21d,"['Level 10 left talent: +20%  Breathe Fire attack damage reduction increased to to +25%.', 'Level 15 left talent: +300 health increased to +350.', 'Level 20 right talent: +150 gold per minute increased to +180.', 'Level 25 left talent: +1.75s  Dragon Tail stun duration increased to +2s.', 'Increased  Elder Dragon Form Frost Breath movement/attack speed slow from 30%/30 to 40%/40.', 'Talents:']"
7.21,"['Level 20 left talent changed: 2x  Dragon Blood health regen/armor -> +25  strength.', 'Level 25 right talent changed: +40  strength -> 2x  Dragon Blood health regen/armor.', 'Increased  strength gain from 3.1 to 3.6.', 'Increased movement speed from 285 to 295.', 'Increased  Dragon Blood health regen bonus from 4/7/10/13 to 4/8/12/16.', 'Fixed  Elder Dragon Form frost attack speed slow still being 20 since 7.06, instead of 30.', 'Talents:']"
7.20d,['Increased movement speed from 280 to 285.']
7.20,"['Level 10 right talent: +2 mana regen increased to +3.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Dragon Blood health regen bonus from 4/6/8/10 to 4/7/10/13.', ' Elder Dragon Form\nPoison and frost breath no longer pierce spell immunity.\nNo longer applies the 50% of the splash damage on missed attacks.\nNow deals 75% damage in 300 radius, instead of 100% in 150 radius, 50% in 225 radius and 25% in 300 radius.', 'Poison and frost breath no longer pierce spell immunity.', 'No longer applies the 50% of the splash damage on missed attacks.', 'Now deals 75% damage in 300 radius, instead of 100% in 150 radius, 50% in 225 radius and 25% in 300 radius.', 'Talents:']"
7.18,"['Level 15 right talent: +35 attack damage reduced to +30.', 'Talents:']"
7.16,"['Reduced movement speed from 285 to 280.', 'Increased  Elder Dragon Form movement speed bonus from 25 to 30.']"
7.13b,"['Reduced base armor from 1 to 0.', 'Reduced movement speed from 290 to 285.']"
7.10,"['Level 10 left talent changed: +30 attack speed -> +20%  Breathe Fire attack damage reduction.', 'Reduced  agility gain from 2.2 to 2.', 'Talents:']"
7.07b,"['Level 15 right talent changed: +40% experience gain -> +35 attack damage.', 'Talents:']"
7.07,"['Level 10: +30 attack speed or +10  strength', 'Level 15: +40 attack damage or +40% experience gain', 'Level 20: +300 health or +120 gold per minute', 'Level 25: 2x  Dragon Blood health regen/armor or +75 movement speed', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Rescaled  Dragon Blood health regeneration bonus from 3/6/9/12 to 4/6/8/10.', ' Breathe Fire\nNow reduces total attack damage, instead of just base attack damage and damage gained from primary attributes.\nReduced attack damage reduction from 35% to 25%.\nIncreased cast time from 0 to 0.2.\n[U] Increased cast range from 500 to 600.\nIncreased travel distance from 650 to 750.', 'Now reduces total attack damage, instead of just base attack damage and damage gained from primary attributes.', 'Reduced attack damage reduction from 35% to 25%.', 'Increased cast time from 0 to 0.2.', '[U] Increased cast range from 500 to 600.', 'Increased travel distance from 650 to 750.', 'Reworked talents:']"
7.06,"['Increased  strength gain from 2.8 to 3.1.', 'Reduced base health regeneration from 0.25 to 0.', 'Increased  Elder Dragon Form Frost Breath attack speed slow from 20 to 30.  [?]']"
7.05,"['Level 10 right talent: +9  strength increased to +10.', 'Level 10 left talent: +25 attack speed increased to +30.', 'Level 15 right talent: +35% experience gain increased to +40%.', 'Talents:']"
7.03,"['Level 10 right talent: +7  strength increased to +9.', 'Level 10 left talent: +20 attack speed increased to +25.', 'Level 25 right talent: +60 movement speed increased to +75.', 'Talents:']"
7.02,"['Level 10 right talent: +6  strength increased to +7.', 'Level 15 right talent: +25% experience gain increased to +35%.', 'Level 25 right talent: +50 movement speed increased to +60.', 'Talents:']"
7.00,"['Level 10: +20 attack speed or +6  strength', 'Level 15: +40 attack damage or +25% experience gain', 'Level 20: +300 health or +120 gold per minute', 'Level 25: 2x  Dragon Blood health regen/armor or +50 movement speed', ' Elder Dragon Form Corrosive Breath now affects the splashed targets.', ' Dragon Tail now uses a projectile traveling at 1600 speed while in dragon form, instead of being instant.', 'Added talents:']"
