7.26c,"['Level 15 left changed: +80  Malefice damage per instance -> +0.25s  Malefice stun duration per instance.', 'Talents:']"
7.26b,"['Level 10 left: +15% magic resistance reduced to +12%.', 'Level 10 right: +200  Eidolons attack range reduced to +150.', 'Level 15 left: +100  Malefice damage per instance reduced to +80.', 'Level 15 right: 15% cooldown reduction reduced to 12%.', 'Level 20 left: +60  Eidolons attack damage reduced to +50.', 'Level 20 right: +500 health reduced to +400.', 'Level 25 left: +7  Eidolons summoned reduced to +6.', 'Level 25 right: +5  Malefice instances reduced to +4.', 'Talents:']"
7.25,"['Level 15 left talent: +40  Malefice damage per instance increased to +100.', 'Increased base  intelligence from 16 to 19.', 'Increased  Black Hole damage per second from 50/100/150 to 100/150/200.', 'Talents:']"
7.24,"['Level 15 Left Talent changed: +150 gold per minute -> +40  Malefice damage per instance.', 'Increased  Malefice damage per tick from 30/50/70/90 to 30/55/80/105.', 'Talents:']"
7.23,"['Level 10 right talent changed\xa0: +25 movement speed -> +200  Eidolons attack range.', 'Changed damage type from pure to magical.', 'Increased max health as damage per second from 3.5%/4%/4.5%/5% to 4.75%/5.5%/6.25%/7%.', ' Midnight Pulse\nChanged damage type from pure to magical.\nIncreased max health as damage per second from 3.5%/4%/4.5%/5% to 4.75%/5.5%/6.25%/7%.', 'Talents:']"
7.22f,['Reduced base  Intelligence from 18 to 16.']
7.22e,['Reduced  Midnight Pulse max health as damage per second from 3.75%/4.25%/4.75%/5.25% to 3.5%/4%/4.5%/5%.']
7.22d,"['Level 20 left talent: +70  Eidolons attack damage reduced to +60.', 'Level 25 left talent: +8  Eidolons summoned reduced to +7.', 'Increased  Black Hole mana cost from 275/325/375 to 300/400/500.', 'Talents:']"
7.22c,['Reduced  intelligence gain from 3.9 to 3.6.']
7.21,"['Increased  intelligence gain from 3.4 to 3.9.', 'Rescaled  Midnight Pulse mana cost from 75/95/115/135 to 50/80/110/140.']"
7.20,"['Increased  strength gain from 2.3 to 2.5.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced movement speed from 300 to 290.']"
7.18,"['Level 15 left talent: +120 gold per minute increased to +150.', 'Level 20 right talent: +400 health increased to +500.', 'Level 25 right talent: +4  Malefice instances increased to +5.', 'Increased max health as damage per second from 3%/3.75%/4%/4.25% to 3.75%/4.25%/4.75%/5.25%.', 'Reduced duration from 11 on each level to 9/10/11/12.', 'Increased cooldown from 35 on each level to 50/45/40/35.', 'Reduced mana cost from 95/110/125/140 to 75/95/115/135.', ' Midnight Pulse\nIncreased max health as damage per second from 3%/3.75%/4%/4.25% to 3.75%/4.25%/4.75%/5.25%.\nReduced duration from 11 on each level to 9/10/11/12.\nIncreased cooldown from 35 on each level to 50/45/40/35.\nReduced mana cost from 95/110/125/140 to 75/95/115/135.', 'Talents:']"
7.17,"['Reduced  Demonic Conversion mana cost from 170 on each level to 140/150/160/170.', 'Increased  Eidolon health regeneration from 0.25 to 4.']"
7.16,['Reduced  Eidolon gold bounty from 22-36 to 20-26.']
7.15,"['[U] Reduced  strength gain from 2.4 to 2.3.', 'Reduced base  intelligence from 20 to 18.', 'Increased base attack damage from 22-28 to 24-30.']"
7.14,"['Increased stun duration from 0.25/0.5/0.75/1 to 0.4/0.6/0.8/1.', 'Reduced mana cost from 110/130/150/160 to 100/120/140/160.', 'Increased cooldown from 15 on each level to 18/17/16/15.', ' Malefice\nIncreased stun duration from 0.25/0.5/0.75/1 to 0.4/0.6/0.8/1.\nReduced mana cost from 110/130/150/160 to 100/120/140/160.\nIncreased cooldown from 15 on each level to 18/17/16/15.']"
7.13b,['Increased base  strength from 19 to 21.']
