7.26c,"['Level 20 right talent: +35 attack speed increased to +40.', 'Talents:']"
7.26b,"['Level 10 left talent: +10  strength reduced to +8.', 'Level 10 right talent: +15 attack damage reduced to +12.', 'Level 15 left talent: -1.5s  Time Walk cooldown reduced to -1.2s.', 'Level 15 right talent: +70  Time Lock damage reduced to +55.', 'Level 20 left talent: +450  Time Walk max distance reduced to +350.', 'Level 20 right talent: +45 attack speed reduced to +35.', 'Level 25 left talent: +175  Chronosphere radius reduced to +140.', 'Level 25 right talent: 25%  Backtrack chance reduced to 20%.', 'Talents:']"
7.23,"['Level 10 left talent: +12  strength reduced to +10.', 'Level 20 left talent: +500  Time Walk max distance reduced to +450.', 'Reduced  Time Lock stun duration from 0.75 to 0.65.', 'Increased  Chronosphere cooldown from 140 to 160.', ' Time Dilation\nNow slows down cooldown rate by 75%, instead of adding 6/8/10/12 seconds duration to cooldowns. [?]\nReduced movement speed slow per cooldown from 14% to 10%.\nIncreased duration from 6/8/10/12 to 8/10/12/14.', 'Now slows down cooldown rate by 75%, instead of adding 6/8/10/12 seconds duration to cooldowns. [?]', 'Reduced movement speed slow per cooldown from 14% to 10%.', 'Increased duration from 6/8/10/12 to 8/10/12/14.', ""Reworked  Aghanim's Scepter upgrade:\nOld: Reduces  Chronosphere cooldown from 140 to 60.\nNew: Now causes  Time Walk to perform  Time Lock on all enemies within 250 radius around the destination point. Does not pierce spell immunity."", 'Old: Reduces  Chronosphere cooldown from 140 to 60.', 'New: Now causes  Time Walk to perform  Time Lock on all enemies within 250 radius around the destination point. Does not pierce spell immunity.', 'Talents:']"
7.22g,"['Reduced  agility gain from 3.2 to 3.', 'Increased  Chronosphere cooldown from 140/130/120 to 140 on each level.']"
7.22c,"['Increased  Time Lock proc chance from 10%/14%/18%/22% to 12%/16%/20%/24%.', 'Increased  Chronosphere radius from 425 to 450.']"
7.22,"['Level 10 left talent: +10  strength increased to +12.', 'Level 15 left talent: -1s  Time Walk cooldown increased to -1.5s.', 'Level 20 right talent: +40 attack speed increased to +45.', 'Increased  strength gain from 2.1 to 2.4.', 'Talents:']"
7.21,"['Level 10 left talent: +8  strength increased to +10.', 'Level 15 left talent changed: +300 health -> -1s  Time Walk cooldown.', 'Increased  agility gain from 2.8 to 3.2.', 'Increased  Time Dilation radius from 725 to 775.', 'Talents:']"
7.20d,"['Level 10 right talent: +20 attack damage reduced to +15.', 'Increased movement speed from 295 to 300.', 'Reduced  Time Lock proc chance from 10%/15%/20%/25% to 10%/14%/18%/22%.', 'Talents:']"
7.20c,['Reduced  Time Lock damage from 30/40/50/60 to 25/30/35/40.']
7.20,"['Proc chance: 10%/15%/20%/25%', 'Damage: 30/40/50/60', 'Second attack delay: 0.3', 'Hero stun duration: 0.75', 'Creep stun duration: 2', 'Notes: Makes Faceless Void perform an instant attack on the target. The instant attack can proc attack modifiers. The Time Lock damage is dealt separately from the attack, and is spell damage.', 'Reduced base health regeneration from 2 to 0.5.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reworked  Time Lock']"
7.15,['Increased base  strength from 23 to 24.']
7.14,['Increased  Chronosphere cooldown from 140/125/110 to 140/130/120.']
7.07,"['Level 10: +8  strength or +15 attack speed', 'Level 15: +25 attack damage or +7 armor', 'Level 20: +120 gold per minute or +300 health', 'Level 25: +600  Time Walk max distance or 20% evasion', 'Reduced movement speed from 300 to 295.', 'Increased base health regeneration from 0.5 to 2.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06,"['Increased  strength gain from 1.8 to 2.1.', 'Reduced base health regeneration from 0.75 to 0.5.', 'Increased  Time Dilation slow per frozen cooldown from 10% to 14%.']"
7.05,['Increased  agility gain from 2.65 to 2.8.']
7.03,"['Level 10 left talent: +7  strength increased to +8.', 'Talents:']"
7.02,"['Level 10 left talent: +5  strength increased to +7.', 'Talents:']"
7.00,"['Level 10: +5  strength or +15 attack speed', 'Level 15: +25 attack damage or +7 armor', 'Level 20: +120 gold per minute or +300 health', 'Level 25: +600  Time Walk max distance or 20% evasion', ' Time Walk can no longer be cast while rooted.', 'Added talents:']"
6.88f,['Reduced base armor from 1 to 0 (total armor is now 3.29).']
