7.26c,"['Level 20 left talent changed: +12 armor -> -25s  Relocate cooldown.', 'Level 25 right talent changed: -24s  Relocate cooldown -> +700 health.', 'Talents:']"
7.26b,"['Level 10 left talent: +45 attack damage reduced to +35.', 'Level 10 right talent: +5 health regen -> to +4.', 'Level 15 left talent: +13% spell lifesteal reduced to +10%.', 'Level 15 right talent: +400  Spirits max distance reduced to +325.', 'Level 20 left talent: +15 armor reduced to +12.', 'Level 20 right talent: +75  Spirits explosion damage reduced to +60.', 'Level 25 right talent: -30s  Relocate cooldown reduced to -24s.', 'Talents:']"
7.24b,['Reduced  Overcharge max health as health regeneration from 0.55%/0.7%/0.85%/1% to 0.5%/0.6%/0.7%/0.8%.']
7.24,"['Level 15 right talent changed: +120 gold per minute -> +400  Spirits maximum distance.', 'Reduced max health as health regeneration from 0.6%/0.8%/1%/1.2% to 0.55%/0.7%/0.85%/1%.', 'Increased cooldown from 16 on each level to 22/20/18/16.', ' Overcharge\nReduced max health as health regeneration from 0.6%/0.8%/1%/1.2% to 0.55%/0.7%/0.85%/1%.\nIncreased cooldown from 16 on each level to 22/20/18/16.', 'Talents:']"
7.23,"['Level 10 right talent changed: +90 gold per minute -> +5 health regen.', 'Level 15 left talent changed: +8 health regen -> +13% spell lifesteal.', 'Level 15 right talent changed:  Spirits slow 80% movement speed for 0.3s -> +120 gold per minute.', 'Increased base armor from -1 to 1.', ' Tether now continuously the movement speed of enemies in contact with the tether by 8%/16%/24%/32% and attack speed by 8/16/24/32. The debuff lasts 0.2 seconds.', ' Overcharge\nNo longer grants 5%/10%/15%/20% incoming damage reduction.\nNow grants 0.6%/0.8%/1%/1.2% of max health as health regeneration.\nReduced cooldown from 18 to 16.', 'No longer grants 5%/10%/15%/20% incoming damage reduction.', 'Now grants 0.6%/0.8%/1%/1.2% of max health as health regeneration.', 'Reduced cooldown from 18 to 16.', 'Talents:']"
7.22g,"['Level 10 right talent changed:  Spirits slow 80% movement speed for 0.3s -> +90 gold per minute.', 'Level 15 right talent changed: +75  Spirits explosion damage ->  Spirits  Spirits slow 80% movement speed for 0.3s.', 'Level 20 right talent changed: +150 gold per minute -> +75  Spirits explosion damage.', 'Talents:']"
7.22e,['Reduced  Tether heal/restore transfer from 90%/110%/130%/150% to 60%/90%/120%/150%.']
7.22d,"[""Level 20 left talent changed:  Tether grants ally  Aghanim's Scepter effects -> +15 armor."", 'Talents:']"
7.22c,"['Level 10 right talent changed: +20% experience gain ->  Spirits slow 80% movement speed for 0.3s.', 'Reduced attack range from 575 to 500.', 'Increased  strength gain from 2.5 to 3.', 'Increased base armor from -2 to -1.', ' Tether\nReduced heal/restore transfer from 105%/120%/135%/150% to 90%/110%/130%/150%.\nNow puts  Break Tether on a 0.25-second cooldown upon cast. [?]', 'Reduced heal/restore transfer from 105%/120%/135%/150% to 90%/110%/130%/150%.', 'Now puts  Break Tether on a 0.25-second cooldown upon cast. [?]', ' Spirits no longer slows movement speed by 20%/40%/60%/80% for 0.3 seconds.', 'Talents:']"
7.22,"['Added to Captains Mode.', ' Tether now gets interrupted when getting disabled while getting pulled by the Tether when cast from greater distances.', ""Added  Aghanim's Scepter upgrade for Io: Turns  Spirits into a passive ability, constantly spawning spirits around Io. The sub-spell for controlling the spirits is still present.""]"
