7.26c,"['Level 15 right talent: +275 health increased to +300.', 'Talents:']"
7.26b,"['Level 10 left talent: +100 cast range reduced to +75.', 'Level 10 right talent: +35 attack damage reduced to +30.', 'Level 15 left talent: +140  Light Strike Array damage reduced to +110.', 'Level 15 right talent: +350 health reduced to +275.', 'Level 20 left talent: +30/+2%  Fiery Soul attack/movement speed per stack reduced to +24/+1.5%.', 'Level 20 right talent: +14% spell damage amplification reduced to +11%.', 'Level 25 left talent: +175 attack range reduced to +150.', 'Level 25 right talent: -6s  Dragon Slave cooldown reduced to -5s.', 'Talents:']"
7.25,"['Reduced attack point from 0.75 to 0.65.', 'Reduced attack backswing from 0.78 to 0.6.']"
7.23d,['Reduced base attack damage from 21-33 to 19-31.']
7.23,"['Level 10 left talent: +125 cast range reduced to +100.', 'Level 10 right talent: +30 attack damage increased to +35.', 'Increased  strength gain from 2.2 to 2.4.', 'Talents:']"
7.22,"['Increased  strength gain from 2 to 2.2.', 'Increased turn rate from 0.5 to 0.6.']"
7.21d,['Increased base  agility and gain from 16 + 1.5 to 23 + 1.8.']
7.21c,"['Level 20 right talent: +12% spell damage amplification increased to +14%.', 'Level 20 left talent: +25/+2%  Fiery Soul attack/movement speed per stack increased to +30/+2%.', 'Talents:']"
7.21b,['Increased base  intelligence from 28 to 30.']
7.21,"['Increased  intelligence gain from 3.2 to 3.7.', 'Increased base attack damage from 18-30 to 21-33.', 'Reduced movement speed from 295 to 290.']"
7.20e,['Increased base armor from 0 to 1.']
7.20c,['Increased base armor from -1 to 0.']
7.20,"['Increased  strength gain from 1.8 to 2.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.']"
7.15,"['Reduced base  intelligence from 30 to 28.', 'Increased base attack damage from 16-28 to 18-30.']"
7.13b,['Increased base  strength from 18 to 20.']
