7.26c,"['Level 15 left talent changed: +50  Mana Drain mana drain per second -> +15%  Mana Drain movement speed slow.', 'Talents:']"
7.26b,"['Level 10 left talent: +90 attack damage reduced to +70.', 'Level 10 right talent: +100 cast range reduced to +75.', 'Level 15 left talent: +60  Mana Drain mana drain per second reduced to +50.', 'Level 15 right talent: +200  Finger of Death damage reduced to +160.', 'Level 20 right talent: +500 health reduced to +400.', 'Level 25 left talent: 325 AoE  Hex reduced to 250 AoE.', 'Level 25 right talent: +1000  Earth Spike cast range/distance reduced to +800.', 'Talents:']"
7.24,"['Level 15 left talent changed: +150 gold per minute -> +60  Mana Drain mana drain per second.', 'Talents:']"
7.23,['Increased  Mana Drain movement speed slow from 20%/24%/28%/32% to 20%/25%/30%/35%.']
7.22,['Reduced  Finger of Death damage bonus per kill from 50 to 40.']
7.21,"['Level 10 right talent: +75 cast range increased to +100.', 'Level 15 left talent: +120 gold per minute increased to +150.', 'Increased  intelligence gain from 3 to 3.5.', 'Talents:']"
7.20,"['Increased  strength gain from 2 to 2.2.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Hex is now dispellable with strong dispels.', 'Increased  Mana Drain movement speed slow from 16%/19%/22%/25% to 20%/24%/28%/32%.', "" Finger of Death now places a debuff on the target on cast which lasts 3 seconds. If the target dies while it has the debuff, Finger of Death's damage permanently increases by 50.""]"
7.15,"['Reduced base  intelligence from 20 to 18.', 'Increased base attack damage from 27-33 to 29-35.']"
7.13b,['Increased base  strength from 16 to 18.']
7.12,['Reduced  Earth Spike mana cost from 100/120/140/160 to 70/100/130/160.']
7.10,"['Level 10 left talent: +75 attack damage increased to +90.', 'Level 15 left talent: +90 gold per minute increased to +120.', 'Increased  Mana Drain movement speed slow from 14%/16%/18%/20% to 16%/19%/22%/25%.', 'Talents:']"
7.08,[' Mana Drain now slows its target for 14%/16%/18%/20%.']
7.07,"['Level 10: +60 attack damage or +75 cast range', 'Level 15: +90 gold per minute or +80  Earth Spike damage', 'Level 20: +300  Finger of Death damage or +20% magic resistance', 'Level 25: +2  Mana Drain multi target [?] or +20 all stats', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Hex can no longer be dispelled.', 'Reworked talents:']"
7.06f,"['Level 20 left talent changed: +8% spell damage amplification -> +300  Finger of Death damage.', 'Increased  Earth Spike stun duration from 1.1/1.6/2.1/2.6 to 1.4/1.8/2.2/2.6.', 'Talents:']"
7.06,"['Level 10 right talent changed: -30s respawn time -> +75 cast range.', 'Increased  strength gain from 1.7 to 2.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.03,"['Level 10 right talent: -25s respawn time increased to -30s.', 'Level 10 left talent: +45 attack damage increased to +60.', 'Talents:']"
7.02,"['Level 10 right talent changed: +175 health -> -25s respawn time.', 'Level 15 right talent changed: -30s respawn time -> +80  Earth Spike damage.', 'Talents:']"
7.00,"['Level 10: +45 attack damage or +175 health', 'Level 15: -30s respawn time or +90 gold per minute', 'Level 20: +8% spell damage amplification or +20% magic resistance', 'Level 25: +2  Mana Drain multi target [?] or +20 all stats', ""Increased  Aghanim's Scepter upgraded  Finger of Death radius from 300 to 325."", 'Added talents:']"
6.87d,['Reduced base  intelligence from 22 to 20.']
6.86,"['Increased stun duration from 1.02/1.52/2.02/2.52 to 1.1/1.6/2.1/2.6 (air time reduced from 0.52 to 0.5).', 'Reduced mana cost from 100/120/145/170 to 100/120/140/160.', ' Earth Spike\nIncreased stun duration from 1.02/1.52/2.02/2.52 to 1.1/1.6/2.1/2.6 (air time reduced from 0.52 to 0.5).\nReduced mana cost from 100/120/145/170 to 100/120/140/160.', 'Reduced  Mana Drain cooldown from 20/15/10/5 to 16/12/8/4.']"
6.85,"[""Increased  Aghanim's Scepter upgraded  Finger of Death radius from 200 to 300.""]"
6.84,"[' Earth Spike no longer ignores ancient creeps, Roshan and creep-heroes.', ' Hex no longer applies Break on the target.']"
6.83c,['Increased  Hex unit movement speed from 100 to 140.']
6.83,"['Increased base attack damage from 20-26 to 27-33 (total attack damage is now 49-55).', 'Reduced  Mana Drain drain interval from 0.25 to 0.1 (same amount of mana drained overall, but in smoother intervals).']"
6.82,['Increased  Earth Spike damage from 60/130/200/260 to 80/140/200/260.']
6.81,['Reduced  Hex cooldown from 30/25/20/15 to 30/24/18/12.']
6.80,"["" Aghanim's Scepter now also causes  Finger of Death to hit units within a 200 radius around the primary target.""]"
6.79,"['Increased duration from 1.75/2.5/3.25/4 to 2.5/3/3.5/4.', 'Increased cooldown from 15 to 30/25/20/15.', ' Hex\nIncreased duration from 1.75/2.5/3.25/4 to 2.5/3/3.5/4.\nIncreased cooldown from 15 to 30/25/20/15.', 'Increased  Mana Drain duration from 4 to 5.']"
6.78,"['Increased cast range from 750 to 850.', 'Increased link break distance from 1100 to 1200.', ' Mana Drain\nIncreased cast range from 750 to 850.\nIncreased link break distance from 1100 to 1200.', "" Aghanim's Scepter now also reduces  Finger of Death cooldown from 160/100/40 to 100/60/20.""]"
6.76,"['Increased  Mana Drain link break distance from 850 to 1100.', ' Finger of Death\nIncreased cast range from 700 to 900.\nReduced cooldown from 170/105/40 to 160/100/40.', 'Increased cast range from 700 to 900.', 'Reduced cooldown from 170/105/40 to 160/100/40.']"
6.75,"['Increased cast range from 600/650/700/750 to 750 on each level.', 'Increased link break distance from 800 to 850.', 'Reduced cooldown from 25/20/15/10 to 20/15/10/5.', ' Mana Drain\nIncreased cast range from 600/650/700/750 to 750 on each level.\nIncreased link break distance from 800 to 850.\nReduced cooldown from 25/20/15/10 to 20/15/10/5.', ' Finger of Death\nIncreased damage from 500/650/850 ( 600/800/1025) to 600/725/850 ( 725/875/1025).\nRescaled cooldown from 150/90/55 ( 150/90/50) to 170/105/40.', 'Increased damage from 500/650/850 ( 600/800/1025) to 600/725/850 ( 725/875/1025).', 'Rescaled cooldown from 150/90/55 ( 150/90/50) to 170/105/40.']"
6.74,"['Increased duration from 1.25/2/2.75/3.5 to 1.75/2.5/3.25/4.', 'Increased mana cost from 110/140/170/200 to 125/150/175/200.', 'Increased cooldown from 13 to 15.', ' Hex\nIncreased duration from 1.25/2/2.75/3.5 to 1.75/2.5/3.25/4.\nIncreased mana cost from 110/140/170/200 to 125/150/175/200.\nIncreased cooldown from 13 to 15.']"
6.73,"['Increased mana drain per second from 20/40/60/100 to 20/40/60/120.', 'Reduced drain interval from 1 to 0.25. [?]', ' Mana Drain\nIncreased mana drain per second from 20/40/60/100 to 20/40/60/120.\nReduced drain interval from 1 to 0.25. [?]']"
6.71,[' Finger of Death can no longer be cast on spell immune units. [?]']
6.60,"["" Earth Spike is now blocked by  Linken's Sphere."", 'Reduced  Hex duration from 1/2/3/4 to 1.25/2/2.75/3.5.']"
6.59,['Increased model size of  Hexed units a bit.']
6.51,"['Fixed  Earth Spike affecting Juggernaut during  Blade Fury.', 'Fixed a bug between  Voodoo Restoration and Earth Spike.']"
6.50,"['No longer turns hit enemies invulnerable during the air time.', 'No longer causes hit enemy units to instantly face towards Lion.', 'No longer requires channeling in order for the spikes to reach max distance.', 'No longer conflicts with  Burrowstrike,  Impale,  Ravage and Earth Spike from other Lions.', 'No longer fails to stun and damage enemies when the targeted point was a cliff.', 'Recoded  Earth Spike:\nNo longer turns hit enemies invulnerable during the air time.\nNo longer causes hit enemy units to instantly face towards Lion.\nNo longer requires channeling in order for the spikes to reach max distance.\nNo longer conflicts with  Burrowstrike,  Impale,  Ravage and Earth Spike from other Lions.\nNo longer fails to stun and damage enemies when the targeted point was a cliff.']"
6.49,"['Increased mana drain per second from 15/30/50/80 to 20/40/60/100.', 'Reduced duration from 5 to 4.', ' Mana Drain\nIncreased mana drain per second from 15/30/50/80 to 20/40/60/100.\nReduced duration from 5 to 4.']"
6.48,['Increased movement speed from 280 to 290.']
6.41,"['Increased cast range from 600 on each level to 600/650/700/750.', 'Increased mana drain per second from 15/30/50/70 to 15/30/50/80.', 'Reduced cooldown from 25 on each level to 25/20/15/10.', ' Mana Drain\nIncreased cast range from 600 on each level to 600/650/700/750.\nIncreased mana drain per second from 15/30/50/70 to 15/30/50/80.\nReduced cooldown from 25 on each level to 25/20/15/10.']"
6.20,['Increased  Hexed unit model slightly.']
6.17,['Fixed  Finger of Death being castable on wards.']
6.10,['Reduced  Hex duration from 2/3/4/5 to 1/2/3/4.']
6.00,"['Improved Attack Animation from 0.460/0.540 to 0.430/0.740.', 'Improved Cast Animation from 1.100/0.400 to 0.510/0.300.']"
5.72,"[""Changed Lion's base regeneration type from only regenerate at blight to always regenerate [?]."", 'Reduced base regen from 1.25 to 0.25.']"
5.58,"['Increased base attack damage from 20-25 to 20-26.', 'Reduced Night vision from 1500 to 800.', 'Reduced base  strength from 18 to 16.', 'Increased  strength gain from 1.60 to 1.70.', 'Reduced base  agility from 17 to 15.']"
5.55,"['Reduced damage from 80/150/220/290 to 60/130/200/260.', 'Reduced cast range from 500 to 400.', 'Increased spikes travel distance from 400 to 500.\nReduced Projectile Speed from 3000 to 2500', ' Earth Spike\nReduced damage from 80/150/220/290 to 60/130/200/260.\nReduced cast range from 500 to 400.\nIncreased spikes travel distance from 400 to 500.\nReduced Projectile Speed from 3000 to 2500', ' Finger of Death\nReduced damage from 500/700/1000 ( 600/800/1225) to 500/650/850 ( 600/800/1025).\nIncreased cooldown from 150/90/30 ( 150/90/25) to 150/90/55 ( 150/90/50).', 'Reduced damage from 500/700/1000 ( 600/800/1225) to 500/650/850 ( 600/800/1025).', 'Increased cooldown from 150/90/30 ( 150/90/25) to 150/90/55 ( 150/90/50).']"
5.54,"['Reduced cast range from 600 to 500.', 'Reduced duration from 3/4/5/6 to 2/3/4/5.', 'Increased mana cost from 100/125/150/175 to 110/140/170/200.', ' Hex\nReduced cast range from 600 to 500.\nReduced duration from 3/4/5/6 to 2/3/4/5.\nIncreased mana cost from 100/125/150/175 to 110/140/170/200.']"
5.50,"['Increased base HP from 100 to 150.', ' Earth Spike\nIncreased damage from 60/110/170/230 to 80/150/220/290.\nReduced spikes travel distance from 600 to 400.\nReduced cast range from 550 to 500.\nReduced mana cost from 120/145/180/215 to 100/120/145/170.\nReduced stun duration from 1/1.75/2.50/3.25 to 0.5/1.0/1.5/2.0.', 'Increased damage from 60/110/170/230 to 80/150/220/290.', 'Reduced spikes travel distance from 600 to 400.', 'Reduced cast range from 550 to 500.', 'Reduced mana cost from 120/145/180/215 to 100/120/145/170.', 'Reduced stun duration from 1/1.75/2.50/3.25 to 0.5/1.0/1.5/2.0.', ""Increased  Aghanim's Scepter upgraded  Finger of Death damage from 600/800/1200 to 600/800/1225.""]"
5.40,"['Increased  Earth Spike mana cost from 100/120/145/170 to 120/145/180/215.', ""Added  Aghanim's Scepter Upgrade for Lion: Increases  Finger of Death damage and reduces its cooldown and mana cost.\nIncreases damage from 500/700/1000 to 600/800/1200.\nReduces mana cost from 200/420/650 to 200/420/625.\nReduces cooldown from 150/90/30 to 150/90/25."", 'Increases damage from 500/700/1000 to 600/800/1200.', 'Reduces mana cost from 200/420/650 to 200/420/625.', 'Reduces cooldown from 150/90/30 to 150/90/25.']"
5.35,"['Increased cast range from 400 to 550.', 'Increased spikes travel distance from 400 to 600.\nIncreased Projectile Speed from 2000 to 3000', ' Earth Spike\nIncreased cast range from 400 to 550.\nIncreased spikes travel distance from 400 to 600.\nIncreased Projectile Speed from 2000 to 3000']"
5.32,['Increased  Finger of Death cooldown from 9 to 150/90/30.']
5.31,"['Increased base attack time from 1.68 to 1.70', ' Finger of Death\nIncreased damage from 500/600/700 to 500/700/1000.\nIncreased mana cost from 200 to 200/420/650.\nReduced cast range from 800 to 700.\nReduced cooldown from 190 to 9.', 'Increased damage from 500/600/700 to 500/700/1000.', 'Increased mana cost from 200 to 200/420/650.', 'Reduced cast range from 800 to 700.', 'Reduced cooldown from 190 to 9.']"
5.10,"['Reduced spikes radius from 250 to 200.', 'Reduced spikes travel distance from 600 to 400.\n(Travel Time is 0.2)\nReduced Projectile Speed from 3000 to 2000', 'Reduced cast range from 600 to 400.', ' Earth Spike\nReduced spikes radius from 250 to 200.\nReduced spikes travel distance from 600 to 400.\n(Travel Time is 0.2)\nReduced Projectile Speed from 3000 to 2000\nReduced cast range from 600 to 400.']"
4.1beta01,"['Increased mana cost from 90/110/130/150 to 100/120/145/170.', 'Reduced stun duration from 1/2/3/4 to 1/1.75/2.50/3.25.', ' Earth Spike\nIncreased mana cost from 90/110/130/150 to 100/120/145/170.\nReduced stun duration from 1/2/3/4 to 1/1.75/2.50/3.25.', 'Rescaled  Hex mana cost from 125/130/135/140 to 100/125/150/175.']"
4.0beta9,"['Reduced stun duration from 1.25/2.50/3.75/5.00 to 1/2/3/4.', 'Increased mana cost from 90/105/130/140 to 90/110/130/150.', ' Earth Spike\nReduced stun duration from 1.25/2.50/3.75/5.00 to 1/2/3/4.\nIncreased mana cost from 90/105/130/140 to 90/110/130/150.']"
4.0beta6,['Rescaled Base attack damage from 22-22 to 20-25.']
4.0beta5,"['Rescaled  Earth Spike mana cost from 120 to 90/105/130/140.', 'Increased  Hex mana cost from 125 to 125/130/135/140.']"
4.0beta2,"['Added a 4th level to all basic abilities.', 'Reduced base attack damage from 25-25 to 22-22.', ' Earth Spike\nRescaled damage from 75/150/225 to 60/110/170/230.\nRescaled stun duration from 2/3/4 to 1.25/2.50/3.75/5.00.\nIncreased mana cost from 100 to 120.\nReduced cast range from 700 to 600.\nReduced cooldown from 13 to 12.', 'Rescaled damage from 75/150/225 to 60/110/170/230.', 'Rescaled stun duration from 2/3/4 to 1.25/2.50/3.75/5.00.', 'Increased mana cost from 100 to 120.', 'Reduced cast range from 700 to 600.', 'Reduced cooldown from 13 to 12.', ' Hex\nRescaled duration from 3/4.5/6 to 3/4/5/6.\nIncreased mana cost from 80 to 125.\nReduced cast range from 800 to 600.\nRescaled cooldown from 13.5/14.5/14.5 to 13.', 'Rescaled duration from 3/4.5/6 to 3/4/5/6.', 'Increased mana cost from 80 to 125.', 'Reduced cast range from 800 to 600.', 'Rescaled cooldown from 13.5/14.5/14.5 to 13.', ' Mana Drain\nRescaled mana drained per second from 15/30/45 to 15/30/50/70.\nReduced duration from 6 to 5.', 'Rescaled mana drained per second from 15/30/45 to 15/30/50/70.', 'Reduced duration from 6 to 5.']"
3.2j,"['Increased  Earth Spike cooldown from 12 to 13.', ' Hex\nReduced duration from 4/5/6 to 3/4.5/6.\nIncreased cooldown from 12 to 13.5/14.5/14.5.\nIncreased mana cost from 70 to 80.', 'Reduced duration from 4/5/6 to 3/4.5/6.', 'Increased cooldown from 12 to 13.5/14.5/14.5.', 'Increased mana cost from 70 to 80.']"
3.00a,"['Increased  Earth Spike cooldown from 9 to 12.', 'Reduced  Hex cooldown from 12/14/16 to 12.', 'Rescaled  Mana Drain cooldown from 20/25/30 to 25.']"
2.60,"['Increased base attack damage from 20-20 to 25-25.', 'Reduced base attack time from 2.50 to 1.68.', 'Reduced movement speed from 300 to 280.', ' Finger of Death\nIncreased number of ability levels from 1 to 3.\nRescaled damage from 500 to 500/600/700.\nIncreased cooldown from 180 to 190.', 'Increased number of ability levels from 1 to 3.', 'Rescaled damage from 500 to 500/600/700.', 'Increased cooldown from 180 to 190.']"
0.96b,['Reduced base  agility from 18 to 17.']
0.60,['Created.']
