7.26c,"['Level 10 left talent: +325 cast range increased to +350.', 'Level 15 right talent: -3s  Lucent Beam cooldown increased to -3.5s.', 'Talents:']"
7.26b,"['Level 10 left talent: +400 cast range reduced to +325.', 'Level 10 right talent: +20 attack speed reduced to +15.', 'Level 15 left talent: +30 movement speed reduced to +25.', 'Level 15 right talent: -4s  Lucent Beam cooldown reduced to -3s.', 'Level 20 left talent: +125  Lucent Beam damage reduced to +100.', 'Level 20 right talent: +10 all stats reduced to +8.', 'Level 25 left talent: 0.25s  Eclipse beams stun reduced to 0.2s.', 'Level 25 right talent: 35% lifesteal reduced to 30%.', 'Talents:']"
7.26a,['Reduced attack point from 0.46 to 0.35.']
7.25,"['Increased base  strength from 18 to 21.', 'Increased base  intelligence from 18 to 23.', 'Reduced  agility gain from 3.6 to 3.4.']"
7.24,"['Now affects base armor and armor gained from agility, instead of total armor.', 'Increased attack damage and armor bonus from 10%/15%/20%/25% to 15%/20%/25%/30%.', ' Lunar Blessing\nNow affects base armor and armor gained from agility, instead of total armor.\nIncreased attack damage and armor bonus from 10%/15%/20%/25% to 15%/20%/25%/30%.']"
7.23,"['Increased base  strength from 16 to 18.', 'Increased base  intelligence from 16 to 18.', 'Increased base attack damage from 26-32 to 29-35.', "" Moon Glaives now uses the calculated damage of the launched attack, instead of being based on Luna's average attack damage.\nPreviously, the damage was always fixed. For example, if Luna had an average attack damage of 100 (97-103 damage), the glaives would always deal 65/42/27/18/12/8 damage.\nNow, it looks for the actual damage that got calculated for that attack. For example, when rolling 97 damage, it now deals less damage. When rolling 103, it deals more.\nThis also means that it works with critical strike, quell, and the backstab damage of  Shadow Blade"", 'Previously, the damage was always fixed. For example, if Luna had an average attack damage of 100 (97-103 damage), the glaives would always deal 65/42/27/18/12/8 damage.', 'Now, it looks for the actual damage that got calculated for that attack. For example, when rolling 97 damage, it now deals less damage. When rolling 103, it deals more.', 'This also means that it works with critical strike, quell, and the backstab damage of  Shadow Blade', 'Reworked  Lunar Blessing']"
7.22f,['Increased base attack damage from 24-30 to 26-32.']
7.22e,"['Level 20 left talent: +100  Lucent Beam damage increased to +125.', 'Level 20 right talent: +8 all stats increased to +10.', 'Level 25 right talent: 30% lifesteal increased to 35%.', 'Talents:']"
7.22d,"['Level 10 left talent: +300 cast range increased to +400.', 'Level 10 right talent: +15 attack speed increased to +20.', 'Level 25 right talent: 25% lifesteal increased to 30%.', 'Talents:']"
7.22c,['Increased base health regeneration from 0 to 0.5.']
