7.26c,"['Level 10 left talent changed: +15 movement speed -> -2s  Spear of Mars cooldown.', 'Level 10 right talent changed: +6  strength -> +15 attack damage.', 'Level 15 right talent changed: +20 attack damage -> +20 movement speed.', 'Now automatically toggles  Bulwark off upon cast begin.', 'Increased mana cost from 100 on each level to 110/120/130/140.', ' Spear of Mars\nNow automatically toggles  Bulwark off upon cast begin.\nIncreased mana cost from 100 on each level to 110/120/130/140.', 'Talents:']"
7.26b,"['Level 10 left talent: +20 movement speed reduced to +15.', 'Level 10 right talent: +8  strength reduced to +6.', 'Level 15 left talent: +8 armor reduced to +6.', 'Level 15 right talent: +25 attack damage reduced to +20.', 'Level 20 left talent: +1s  Spear of Mars stun duration reduced to +0.8s.', 'Level 20 right talent: +200  Spear of Mars damage reduced to +160.', 'Level 25 left talent: 100  Arena Of Blood team health regen reduced to 80.', ""Level 25 right talent: +80%  God's Rebuke critical damage reduced to +65%."", 'Talents:']"
7.25,"[""Reworked  Aghanim's Scepter upgrade:""]"
7.24,"['Increased  strength gain from 3.2 to 3.4.', "" God's Rebuke\nIncreased hero attack damage from 25 to 35.\nIncreased slow duration from 1.5 to 2."", 'Increased hero attack damage from 25 to 35.', 'Increased slow duration from 1.5 to 2.']"
7.23c,"['Increased front damage reduction from 25%/40%/55%/70% to 40%/50%/60%/70%.', 'Increased side damage reduction from 12%/20%/27%/35% to 20%/25%/30%/35%.', ' Bulwark\nIncreased front damage reduction from 25%/40%/55%/70% to 40%/50%/60%/70%.\nIncreased side damage reduction from 12%/20%/27%/35% to 20%/25%/30%/35%.']"
7.23,"["" God's Rebuke now slows movement speed of hit enemies by 40% for 1.5 seconds."", ' Bulwark can now be toggled.\nWhen toggled on, Mars gets disarmed, has his movement speed slowed by 20%, and gets his facing direction locked.\nWhile toggled on, any enemy attack projectile launched on an ally while within 800 range of Mars, and within the Bulwark angles, has a 70% chance to get redirected to Mars instead.\nWhile toggled on, Mars does require turning to move, cast spells or use items.', 'When toggled on, Mars gets disarmed, has his movement speed slowed by 20%, and gets his facing direction locked.', 'While toggled on, any enemy attack projectile launched on an ally while within 800 range of Mars, and within the Bulwark angles, has a 70% chance to get redirected to Mars instead.', 'While toggled on, Mars does require turning to move, cast spells or use items.', ""Changed  Arena Of Blood tree destruction radius to match the arena's radius, instead of a fixed 100 radius.""]"
7.22f,"['Reduced base attack damage from 31-39 to 29-37.', ""Reduced  God's Rebuke critical strike from 160%/200%/240%/280% to 150%/190%/230%/270%.""]"
7.22d,"['Level 15 right talent: +30 attack damage reduced to +25.', 'Talents:']"
7.22,"['Level 15 right talent: +35 attack damage redudced to +30.', 'Added to Captains Mode.', 'Reduced base attack damage from 35-43 to 31-39.', 'Reduced base armor from 0 to -1.', ' Arena Of Blood\nIncreased cast time from 0.1 to 0.2.\nReduced wall damage from 150/200/250 to 120/185/250.', 'Increased cast time from 0.1 to 0.2.', 'Reduced wall damage from 150/200/250 to 120/185/250.', ""Added  Aghanim's Scepter upgrade for Mars: Reduces  God's Rebuke cooldown to 1.4 while  Arena Of Blood is active, and makes casting Arena of Blood reset God's Rebuke's cooldown."", 'Talents:']"
7.21d,"['Level 20 left talent: +1.5s  Spear of Mars stun duration reduced to +1s.', 'Reduced  strength gain from 3.6 to 3.2.', 'Reduced  Spear of Mars vision radius from 500 to 300.', ""Increased  God's Rebuke mana cost from 55/60/65/70 to 65/70/75/80."", 'Talents:']"
