7.26c,"['Level 10 left talent changed: +20 movement speed -> +35  Wrath of Nature base damage.', 'Level 15 left talent: +3  Treants summoned increased to +4.', 'Talents:']"
7.26b,"['Level 10 left talent: +25 movement speed reduced to +20.', 'Level 10 right talent: +30 attack damage reduced to +25.', 'Level 15 left talent: +4  Treants summoned reduced to +3.', 'Level 15 right talent: +10 armor reduced to +8.', 'Level 20 left talent: 25% cooldown reduction reduced to 20%.', 'Level 20 right talent: +40 attack speed reduced to +30.', 'Level 25 left talent: 2x  Treant health/attack damage reduced to 1.8x.', 'Talents:']"
7.25,"['Reduced attack backswing from 0.77 to 0.6.', ' Wrath of Nature\nNow grants the caster 4/5/6 attack damage for each unit killed by it for 50 seconds.\nIncreased cooldown from 60 to 85.', 'Now grants the caster 4/5/6 attack damage for each unit killed by it for 50 seconds.', 'Increased cooldown from 60 to 85.']"
7.23c,['Reduced base attack damage from 27-41 to 27-37.']
7.23,"['Increased base  agility and gain from 18 + 3.3 to 22 + 3.6.', 'Increased  intelligence gain from 3.5 to 3.7.']"
7.22f,['Increased  intelligence gain from 3.3 to 3.5.']
7.22,"['Reduced base attack damage from 29-43 to 27-41.', 'Reduced  Treant attack damage from 25-29/28-32/31-35/34-38 to 22-26/26-30/30-34/34-38.']"
7.21c,['Reduced  Treant attack damage from 34-38 on each level to 25-29/28-32/31-35/34-38.']
7.21,"['Level 20 left talent changed: -4s  Sprout cooldown -> 25% cooldown reduction.', 'Increased  intelligence gain from 2.9 to 3.3.', ' Tango now uses the ward duration when targeting  Sprout, instead of the tree duration, similar to  Iron Branch trees.', 'Talents:']"
7.20d,"['Increased  agility gain from 2.8 to 3.3.', 'Increased  Wrath of Nature number of bounces from 16 to 18.']"
7.20c,"['Increased  agility gain from 2.4 to 2.8.', 'Increased base armor from 1 to 2.']"
7.20,"['Level 10 left talent: +35 movement speed reduced to +25.', 'Increased  strength gain from 2.4 to 2.6.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Treant\nRescaled gold bounty from 18-24 to 20-20.\nReduced experience bounty from 39 to 16.', 'Rescaled gold bounty from 18-24 to 20-20.', 'Reduced experience bounty from 39 to 16.', ' Wrath of Nature no longer pierces spell immunity.', 'Talents:']"
7.19b,['Reduced base attack damage from 32-46 to 29-43.']
7.18,['Increased  agility gain from 1.9 to 2.4.']
