7.26c,"['Reduced  strength gain from 2.8 to 2.6.', 'Reduced  intelligence gain from 2.9 to 2.7.']"
7.26b,"['Talents:', 'Level 10 left talent: +10  strength reduced to +8.', 'Level 10 right talent: +30 attack damage reduced to +25.', 'Level 15 left talent: +40  Death Pulse heal reduced to +32.', 'Level 15 right talent: +30%  Ghost Shroud movement speed slow reduced to +24%.', 'Level 20 left talent: 40%  Heartstopper Aura health regen reduction reduced to +32%.', 'Level 20 right talent: +20% magic resistance reduced to +15%.', 'Level 25 left talent: -2.5s  Death Pulse cooldown reduced to -2s.', 'Level 25 right talent: +0.6%  Heartstopper Aura max health loss per second reduced to +0.5%.']"
7.23,"['Level 20 left talent changed: +70 attack speed -> 40%  Heartstopper Aura health regen reduction.', 'Level 25 right talent: +0.8%  Heartstopper Aura max health loss per second reduced to +0.6%.', 'Increased  Heartstopper Aura radius from 700 to 800.', "" Reaper's Scythe\nCan no longer be cast on spell immune enemies.\nIncreased damage per missing health from 0.6/0.75/0.9 to 0.7/0.8/0.9."", 'Can no longer be cast on spell immune enemies.', 'Increased damage per missing health from 0.6/0.75/0.9 to 0.7/0.8/0.9.', ""Reworked  Aghanim's Scepter upgrade.\nOld: Reduces  Reaper's Scythe cooldown from 120 to 60/50/40.\nNew: Reduces  Ghost Shroud cooldown from 28/24/20/16 to 10 on each level. Causes  Heartstopper Aura to deal 2x damage during Ghost Shroud."", ""Old: Reduces  Reaper's Scythe cooldown from 120 to 60/50/40."", 'New: Reduces  Ghost Shroud cooldown from 28/24/20/16 to 10 on each level. Causes  Heartstopper Aura to deal 2x damage during Ghost Shroud.', 'Talents:']"
7.22f,"['Increased base  intelligence from 20 to 21.', 'Increased  Death Pulse radius from 475 to 500.']"
7.22e,['Increased  Heartstopper Aura max health loss per second from 0.5%/1.1%/1.7%/2.3% to 0.6%/1.2%/1.8%/2.4%.']
7.22c,"['Increased health regen per stack from 2/3.5/5/6.5 to 3.5/4.5/5.5/6.5.', 'Increased mana regen per stack from 3/4/5/6 to 3.5/4.5/5.5/6.5.', ' Heartstopper Aura\nIncreased health regen per stack from 2/3.5/5/6.5 to 3.5/4.5/5.5/6.5.\nIncreased mana regen per stack from 3/4/5/6 to 3.5/4.5/5.5/6.5.']"
7.22b,['Changed  Heartstopper Aura damage type from pure to magical. [?]']
7.22,"[""Reduced  Reaper's Scythe respawn time increase from 15/30/45 to 15/25/35.""]"
7.21,"['Level 15 right talent: +20%  Ghost Shroud movement speed slow slow increased to +30%.', 'Increased  intelligence gain from 2.5 to 2.9.', 'Increased  Death Pulse damage from 100/140/180/220 to 100/150/200/250.', 'Talents:']"
7.20,"['Increased  strength gain from 2.6 to 2.8.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced attack range from 550 to 500.', ' Death Pulse\nMoved the health and mana regen stacks from kills from Death Pulse to  Heartstopper Aura.\nNo longer releases projectiles for spell immune enemies.', 'Moved the health and mana regen stacks from kills from Death Pulse to  Heartstopper Aura.', 'No longer releases projectiles for spell immune enemies.', ' Heartstopper Aura\nIncreased health regen per stack from 2/3/4/5 to 2/3.5/5/6.5.\nIncreased mana regen per stack from 2.25/2.5/2.75/3 to 3/4/5/6.', 'Increased health regen per stack from 2/3/4/5 to 2/3.5/5/6.5.', 'Increased mana regen per stack from 2.25/2.5/2.75/3 to 3/4/5/6.']"
7.19d,"['Level 10 right talent: +40 attack damage reduced to +30.', 'Level 20 left talent: +80 attack speed reduced to +70.', 'Talents:']"
7.19b,"['Rescaled base  agility and gain from 15 + 1.2 to 12 + 1.3.', 'Reduced movement speed from 285 to 280.']"
7.19,"['Increased  Ghost Shroud self magic resistance reduction from 30% to 40%.', "" Reaper's Scythe\nIncreased cast time from 0.5 to 0.55.\nIncreased cooldown with  Aghanim's Scepter from 55/40/25 to 60/50/40."", 'Increased cast time from 0.5 to 0.55.', ""Increased cooldown with  Aghanim's Scepter from 55/40/25 to 60/50/40.""]"
7.18,"['Increased damage from 80/120/160/200 to 100/140/180/220.', 'Increased stacks duration from 6 to 7.', ' Death Pulse\nIncreased damage from 80/120/160/200 to 100/140/180/220.\nIncreased stacks duration from 6 to 7.']"
7.17,"['Level 15 right talent: +16%  Ghost Shroud movement speed slow increased to +20%.', 'Level 25 left talent: -1.5s  Death Pulse cooldown increased to -2.5s.', 'Level 25 right talent: +0.6%  Heartstopper Aura max health loss per second increased to +0.8%.', 'Talents:']"
7.16,"['Reduced attack point from 0.53 to 0.4.', 'Increased base attack damage from 24-28 to 26-30.', 'Increased  Death Pulse mana regen bonus per stack from 2/2.25/2.5/2.75 to 2.25/2.5/2.75/3.']"
7.15,"['Reduced base  intelligence from 22 to 20.', 'Increased base attack damage from 22-26 to 24-28.']"
7.14,"[""Increased  Reaper's Scythe respawn time increase from 10/20/30 to 15/30/45.""]"
7.13b,['Increased base  strength and gain from 16 + 2.3 to 18 + 2.6.']
7.12,"['Reduced  Death Pulse mana cost from 125/145/165/185 to 100/130/160/190.', 'Increased  Heartstopper Aura max health loss per second from 0.5%/1%/1.5%/2% to 0.5%/1.1%/1.7%/2.3%.']"
7.10,"['Level 15 left talent changed: +30 movement speed -> +40  Death Pulse heal.', 'Level 15 right talent changed: +300 health -> +16%  Ghost Shroud movement speed slow.', 'Talents:']"
