7.26c,"[""Level 10 right talent changed: +0.8s  Fortune's End max duration/channel time -> +0.4s  Fortune's End min/max duration."", 'Level 20 right talent changed: +35 movement speed -> -20s  False Promise cooldown.', 'Talents:']"
7.26b,"['Level 10 left talent: +15  intelligence reduced to +12.', ""Level 10 right talent: +1s  Fortune's End max duration/channel time reduced to +0.8s"", 'Level 15 left talent: -1s  Purifying Flames cooldown reduced to -0.8s.', 'Level 15 right talent: +150 cast range reduced to +125.', 'Level 20 right talent: +45 movement speed reduced to +35.', 'Level 25 left talent: +2s  False Promise duration reduced to +1.5s.', ""Level 25 right talent: -5s  Fate's Edict cooldown reduced to -4s."", 'Talents:']"
7.24,"['Level 15 left talent changed: +120 gold per minute -> -1s  Purifying Flames cooldown.', 'Talents:']"
7.23e,"['Level 10 left talent changed: +20% experience gain -> +15  intelligence.', 'Talents:']"
7.23c,"['Level 10 left talent: +25% experience gain reduced to +20%.', 'Increased base  intelligence from 21 to 26.', 'Reduced base attack damage from 18-24 to 13-19.', 'Talents:']"
7.23,"['Old: Reduces  Purifying Flames cooldown from 2.25 to 1, and reduces cast time from 0.3 to 0.1.', ""New: Increases  Fortune's End cast range by 800, radius by 150, and makes it stun enemies for 50% of the root duration."", ""Reworked  Aghanim's Scepter upgrade\nOld: Reduces  Purifying Flames cooldown from 2.25 to 1, and reduces cast time from 0.3 to 0.1.\nNew: Increases  Fortune's End cast range by 800, radius by 150, and makes it stun enemies for 50% of the root duration.""]"
7.22e,['Reduced movement speed from 300 to 295.']
7.22d,"[""Increased  Fortune's End mana cost from 75 to 100.""]"
7.22,"['Level 20 right talent: +50 movement speed reduced to +45.', 'Increased base attack time from 1.4 to 1.7.', 'Talents:']"
7.21d,"['Reduced cast range from 1000 on each level to 700/850/1000.', 'Increased mana cost from 100 on each level to 100/150/200.', 'Increased cooldown from 100/65/30 to 115/80/45.', ' False Promise\nReduced cast range from 1000 on each level to 700/850/1000.\nIncreased mana cost from 100 on each level to 100/150/200.\nIncreased cooldown from 100/65/30 to 115/80/45.']"
7.21,"['Increased  intelligence gain from 3.5 to 4.', 'Reduced movement speed from 305 to 300.']"
7.20,"['Level 20 right talent: +65 movement speed reduced to +50.', 'Increased  strength gain from 2.2 to 2.4.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ""Increased  Fortune's End damage from 90/120/150/180 to 120/150/180/210."", 'Talents:']"
7.18,['Increased  intelligence gain from 3.2 to 3.5.']
7.17,"['Level 15 left talent: +90 gold per minute increased to +120.', "" Fortune's End is no longer disjointable."", 'Talents:']"
7.16,"['Level 20 right talent: +75 movement speed reduced to +65.', 'Talents:']"
7.15,"['Reduced base  intelligence from 23 to 21.', 'Increased base attack damage from 16-22 to 18-24.']"
7.13b,['Increased base  strength from 18 to 20.']
7.10,"['Increased  intelligence gain from 2.9 to 3.2.', 'Increased turn rate from 0.5 to 0.7.']"
7.08,"[""Reduced  Fortune's End mana cost from 110 to 75.""]"
7.07,"[""Level 10: +20% experience gain or +0.75s  Fortune's End max duration/channel time"", 'Level 15: +60 gold per minute or +200 health', 'Level 20: +20  intelligence or +25 movement speed', 'Level 25: +2s  False Promise duration or +250 cast range', 'Increased turn rate from 0.4 to 0.5.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' False Promise visual effects now show if the hero will die or not.', 'Reworked talents:']"
7.06c,['Increased  False Promise duration from 7/8/9 to 8/9/10.']
7.06,"[""Level 10 right talent changed: -20s respawn time -> +0.75  Fortune's End max duration."", 'Increased  strength gain from 1.9 to 2.2.', 'Reduced base health regeneration from 0.25 to 0.', "" Fortune's End\nNow roots hit enemies, instead of setting their movement speed to 0.\nNow provides True Sight over affected enemies.\nReduced projectile speed from 1200 to 1000."", 'Now roots hit enemies, instead of setting their movement speed to 0.', 'Now provides True Sight over affected enemies.', 'Reduced projectile speed from 1200 to 1000.', 'Increased  Purifying Flames cast range from 800 to 850.', 'Talents:']"
7.02,"['Level 10 left talent: +15% experience gain increased to +20%.', 'Talents:']"
7.00,"['Level 10: +15% experience gain  or -20s respawn time', 'Level 15: +60 gold per minute or +200 health', 'Level 20: +20  intelligence or +25 movement speed', 'Level 25: +2s  False Promise duration or +250 cast range', "" Fortune's End no longer has a special rule that allows it to affect  repeled enemies within its area. [?]"", 'Added talents:']"
6.88f,['Increased  Purifying Flames mana cost from 50/60/70/80 to 80/85/90/95.']
6.88e,['Reduced base attack damage from 22-28 to 16-22 (total attack damage is now 39-45).']
6.88c,['Increased  False Promise cooldown from 90/60/30 to 100/65/30.']
6.88,['Increased  Purifying Flames cast range from 750 to 800.']
6.87,"[""Added  Aghanim's Scepter upgrade for Oracle: Reduces  Purifying Flames cooldown from 2.25 to 1 cast time from 0.3 to 0.1.""]"
