7.26b,"['Level 10 left talent: +10  strength reduced to +8.', 'Level 10 right talent: +25 attack damage reduced to +20.', 'Level 15 left talent: +40 attack speed reduced to +30.', 'Level 15 right talent: 12% cooldown reduction reduced to 10%.', 'Level 20 left talent: 650 AoE  Shadow Strike reduced to 525.', 'Level 20 right talent: 30% spell lifesteal reduced to 25%.', 'Level 25 left talent: 15s Spell Block cooldown increased to 18s.', 'Level 25 right talent: 1.5s  Scream of Pain fear reduced to 1.2s.', 'Talents:']"
7.25,"['Increased  Shadow Strike max slow from 20%/30%/40%/50% to 20%/35%/50%/65%.', 'Reduced  Sonic Wave cooldown from 135 to 125.']"
7.24,"['Increased  intelligence gain from 2.9 to 3.4.', 'Increased  Sonic Wave damage from 340/430/520 to 340/450/560.']"
7.23,"['Increased  agility gain from 2.2 to 2.5.', 'Increased  Scream of Pain radius from 475 to 525.']"
7.21d,['Increased base armor from -1 to 0.']
7.21c,"['Increased base  intelligence from 22 to 25.', 'Reduced base attack damage from 23-31 to 20-28.', 'Increased  Sonic Wave damage from 320/410/500 ( 370/480/590) to 340/430/520 ( 390/500/610).']"
7.21,"['Increased  intelligence gain from 2.5 to 2.9.', 'Reduced movement speed from 295 to 290.', 'Reduced  Scream of Pain mana cost from 95/110/125/140 to 80/100/120/140.', 'Increased  Shadow Strike damage per tick from 30/45/60/75 to 30/50/70/90.']"
7.20e,"['Increased base  agility and gain from 18 + 2 to 22 + 2.2.', 'Reduced  Scream of Pain mana cost from 110/120/130/140 to 95/110/125/140.']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Sonic Wave now knocks enemies back over 350 range over 1.4 seconds upon hitting them. [?]']"
7.16,"['Level 25 left talent: 20s Spell Block cooldown reduced to 15s.', 'Talents:']"
7.15,"['Reduced base  intelligence from 24 to 22.', 'Increased base attack damage from 21-29 to 23-31.']"
7.14,['Increased  Sonic Wave damage from 290/380/470 ( 325/440/555) to 320/410/500 ( 370/480/590).']
7.13b,['Increased base  strength and gain from 16 + 2 to 18 + 2.3.']
7.07,"['Level 10: +10  strength or +25 attack damage', 'Level 15: +90 gold per minute or 12% cooldown reduction', 'Level 20: +300 health or +100 attack range', 'Level 25: 60% spell lifesteal or 500 AoE  Shadow Strike', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,"['Level 25 left talent: 70% spell lifesteal reduced to 60%.', 'Reduced base attack damage from 25-33 to 21-29 (total damage is now 45-53).', 'Talents:']"
7.06,"['Level 25 right talent changed: -4s  Shadow Strike cooldown -> 500 AoE  Shadow Strike.', 'Increased  strength gain from 1.7 to 2.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.05,"['Level 10 left talent: +9  strength increased to +10.', 'Increased damage per tick from 30/40/50/60 to 30/45/60/75.', 'Increased cast range from 450/475/500/525 to 450/500/550/600.', ' Shadow Strike\nIncreased damage per tick from 30/40/50/60 to 30/45/60/75.\nIncreased cast range from 450/475/500/525 to 450/500/550/600.', 'Talents:']"
7.04,['Reduced  Shadow Strike cast time from 0.452 to 0.4.']
7.03,"['Level 10 left talent: +6  strength increased to +9.', 'Level 10 right talent: +20 attack damage increased to +25.', 'Level 20 left talent: +200 health increased to +300.', 'Level 25 right talent: -3s  Shadow Strike cooldown increased to -4s.', 'Talents:']"
7.02,"['Level 10 left talent: +5  strength increased to +6.', 'Level 25 right talent changed: +35  intelligence -> -3s  Shadow Strike cooldown.', 'Talents:']"
