7.26c,"['Level 10 left talent: +10  agility reduced to +8.', 'Level 10 right talent: +225 health reduced to +175.', 'Level 15 left talent: +12  strength recuced to +10.', 'Level 15 right talent: +6  Static Link damage steal per second reduced to +5.', 'Level 20 left talent: -0.1s  Eye of the Storm strike interval reduced to -0.08s.', 'Level 20 right talent: +10 armor reduced to +8.', 'Level 25 left talent: +200  Eye of the Storm passive damage reduced to +160.', 'Level 25 right talent: +100 attack speed reduced to +80.', 'Talents:']"
7.26a,"['Reduced movement speed from 285 to 280.', 'Reduced  Storm Surge allied movement speed bonus from 3%/5%/7%/9% to 2%/4%/6%/8%.']"
7.23b,"['Reduced allied movement speed bonus from 4%/6%/8%/10% to 3%/5%/7%/9%.', 'Reduced self movement speed bonus from 8%/12%/16%/20% to 6%/10%/14%/18%.', ' Storm Surge\nReduced allied movement speed bonus from 4%/6%/8%/10% to 3%/5%/7%/9%.\nReduced self movement speed bonus from 8%/12%/16%/20% to 6%/10%/14%/18%.']"
7.23a,"['Level 10 left talent: +15  agility reduced to +10.', 'Reduced  Eye of the Storm passive area damage from 80/110/140 to 60/100/140.', 'Talents:']"
7.23,"['Now causes Razor to perform instant attacks on the linked target over the duration (if it is attackable), using his attack speed as interval.', 'Now disarms Razor for its drain duration. [?]', 'Reduced attack damage drained per second from 7/14/21/28 to 7/12/17/22.', 'Reduced drain duration from 8 on each level to 5/6/7/8.', ' Static Link\nNow causes Razor to perform instant attacks on the linked target over the duration (if it is attackable), using his attack speed as interval.\nNow disarms Razor for its drain duration. [?]\nReduced attack damage drained per second from 7/14/21/28 to 7/12/17/22.\nReduced drain duration from 8 on each level to 5/6/7/8.', 'Replaced  Unstable Current with  Storm Surge']"
7.22,"['No longer reduces  Eye of the Storm strike interval from 0.7/0.6/0.5 to 0.6/0.5/0.4.', 'Now causes  Eye of the Storm to strike two enemies at once, instead of just one.', "" Aghanim's Scepter\nNo longer reduces  Eye of the Storm strike interval from 0.7/0.6/0.5 to 0.6/0.5/0.4.\nNow causes  Eye of the Storm to strike two enemies at once, instead of just one.""]"
7.21,"['Level 10 right talent: +200 health increased to +225.', 'Increased  agility gain from 1.8 to 2.1.', 'Reduced attack backswing from 0.7 to 0.4.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', "" Plasma Field now slows hit enemies' movement speed from 5% to up to 25%/30%/35%/40% for 1.5 seconds, based on the distance. The slow is applied upon expanding and retracting, and stacks."", 'Reworked  Unstable Current']"
7.15,['Increased base  strength from 21 to 22.']
7.12,"['Reduced cast range from 600 to 550.', 'Increased link break buffer range from 200 to 250. [?]', ' Static Link\nReduced cast range from 600 to 550.\nIncreased link break buffer range from 200 to 250. [?]', 'Reduced  Unstable Current damage from 100/130/160/190 to 60/100/140/180.']"
7.10,['Increased  Static Link mana cost from 50 to 65.']
7.07d,['Increased  Static Link cooldown from 32/30/28/26 to 40/35/30/25.']
7.07,"['Reduced movement speed from 295 to 285.', 'Increased turn rate from 0.4 to 0.5.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked  Unstable Current']"
7.06e,['Reduced  agility gain from 2 to 1.8.']
7.06,"['Increased  strength gain from 2.3 to 2.6.', 'Reduced base health regeneration from 0.25 to 0.', ' Eye of the Storm\nNow prioritizes striking heroes afflicted with  Static Link.\nReduced cast time from 0.3 to 0.\nNo longer has cast backswing.', 'Now prioritizes striking heroes afflicted with  Static Link.', 'Reduced cast time from 0.3 to 0.', 'No longer has cast backswing.']"
7.05,"['Level 10 right talent: +20 movement speed increased to +25.', 'Level 15 left talent: +150 cast range increased to +175.', 'Level 20 right talent: +325 health increased to +400.', 'Increased base  intelligence from 19 to 21.', 'Talents:']"
7.04,"['Level 20 left talent: +30 attack speed increased to +40.', 'Level 20 right talent: +275 health increased to +325.', 'Talents:']"
7.03,"['Level 10 left talent: +10  agility increased to +15.', 'Level 10 right talent: +15 movement speed increased to +20.', "" Aghanim's Scepter upgraded  Eye of the Storm now targets shrines as well."", 'Talents:']"
7.02,"['Level 15 right talent changed: +5 armor -> +130  Unstable Current damage.', 'Level 20 right talent: +250 health increased to +275.', 'Talents:']"
7.00,"['Level 10: +10  agility or +15 movement speed', 'Level 15: +150 cast range or +5 armor', 'Level 20: +30 attack speed or +250 health', 'Level 25: +14  Static Link steal per second or +175 attack range', ' Unstable Current no longer has a special rule that allows it to affect  repeled units. [?]', 'Added talents:']"
6.88,['Increased  Eye of the Storm damage per strike from 37/50/63 to 40/55/70.']
6.87,['Increased  Static Link link break buffer range from 100 to 200. [?]']
6.85,['Reduced  Static Link drain interval from 1 to 0.25. [?]']
6.84,[' Eye of the Storm damage is no longer reduced by Damage Block.']
6.82c,"['Increased  Static Link cooldown from 25 to 32/30/28/26.', ""Increased  Aghanim's Scepter upgraded  Eye of the Storm strike interval from 0.55/0.45/0.35 to 0.6/0.5/0.4.""]"
6.82,"['Reduced  Plasma Field minimum damage from 60/100/140/180 to 30/50/70/90.', "" Static Link:\nNo longer ignores  Linken's Sphere\nIncreased mana cost from 20/30/40/50 to 50."", ""No longer ignores  Linken's Sphere"", 'Increased mana cost from 20/30/40/50 to 50.', ' Eye of the Storm no longer lingers through  Aegis of the Immortal reincarnation.']"
6.81,"['Increased  strength gain from 1.7 to 2.3.', 'Increased  Unstable Current slow duration from 0.4/0.8/1.2/1.6 to 0.5/1/1.5/2.']"
6.78,"['Increased  Unstable Current movement speed bonus from 3%/6%/9%/12% to 4%/8%/12%/16%.', ' Eye of the Storm\nIncreased duration from 20/25/30 to 30 on each level.\nReduced strike interval from 0.75/0.65/0.55 to 0.7/0.6/0.5.', 'Increased duration from 20/25/30 to 30 on each level.', 'Reduced strike interval from 0.75/0.65/0.55 to 0.7/0.6/0.5.', ""Reduced  Aghanim's Scepter upgraded  Eye of the Storm from 0.65/0.55/0.45 to 0.55/0.45/0.35.""]"
