7.26c,"['Level 15 right talent: +25 attack damage reduced to +20.', 'Level 20 right talent: +0.4  Cloak and Dagger backstab multiplier increased to +0.5.', 'Level 25 left talent changed:  Cloak and Dagger invisibility no longer breaks on attacks -> +125  Smoke Screen radius.', 'Talents:']"
7.26b,"['Level 10 left talent: +25 attack speed reduced to +20.', 'Level 10 right talent: +8 health regen reduced to +6.', 'Level 15 left talent: -5s  Smoke Screen cooldown reduced to -4s.', 'Level 15 right talent: +30 attack damage reduced to +25.', 'Level 20 left talent: +600  Blink Strike cast range reduced to +475.', 'Level 20 right talent: +0.5  Cloak and Dagger backstab multiplier reduced to +0.4.', 'Level 25 right talent: -7s  Tricks of the Trade cooldown reduced to -6s.', 'Talents:']"
7.25,"['Level 15 right talent: +35 attack damage reduced to 30.', 'Talents:']"
7.23c,"['Increased base health regen from 2 to 3.', 'Increased movement speed from 315 to 320.', 'Increased  Tricks of the Trade damage from 55%/70%/85%/100% to 70%/80%/90%/100%.']"
7.23b,['Increased  Cloak and Dagger damage per agility from 1/1.5/2 to 1.4/1.8/2.2.']
7.23,"['Level 10 left talent changed: +8  agility -> +25 attack speed.', 'Level 10 right talent: +6 health regen increased to +8.', 'Level 15 left talent: -8s  Smoke Screen cooldown reduced to -5s.', 'Level 15 right talent changed: 30% Critical Strike, 200% damage [?] -> +35 attack damage.', 'Level 20 right talent: +0.3  Cloak and Dagger backstab multiplier increased to +0.5.', 'Level 25 right talent changed: +300  Tricks of the Trade radius -> -7s  Tricks of the Trade cooldown.', 'Increased  strength gain from 1.9 to 2.4.', 'Reduced base  agility and gain from 30 + 2.5 to 18 + 1.4.', 'Increased base attack damage from 21-25 to 41-45.', 'Increased base health regen from 1 to 2.', 'Increased base armor from 1 to 3.', 'Increased movement speed from 290 to 315.', ' Smoke Screen\nNo longer slows movement speed by 8%/12%/16%/20%.\nNo longer reduces vision of affected enemies to 200.\nRescaled enemy miss chance from 10%/30%/50%/70% to 25%/35%/45%/55%.\nRescaled radius from 325 on each level to 280/310/340/370.\nIncreased cooldown from 17/15/13/11 to 20/17/14/11.', 'No longer slows movement speed by 8%/12%/16%/20%.', 'No longer reduces vision of affected enemies to 200.', 'Rescaled enemy miss chance from 10%/30%/50%/70% to 25%/35%/45%/55%.', 'Rescaled radius from 325 on each level to 280/310/340/370.', 'Increased cooldown from 17/15/13/11 to 20/17/14/11.', ' Blink Strike\nNow has 2 charges with a 25/20/15/10 second recharge time.\nReduced cooldown from 10/8/6/4 to 0.1 on each level. [?]\nReduced damage from 75/90/105/120 to 25/50/75/100.', 'Now has 2 charges with a 25/20/15/10 second recharge time.', 'Reduced cooldown from 10/8/6/4 to 0.1 on each level. [?]', 'Reduced damage from 75/90/105/120 to 25/50/75/100.', ' Cloak and Dagger\nIs now an ultimate ability, instead of a basic ability.\nFade delay from 6/5/4/3 to 4/3/2.\nDamage per agility from 0.4/0.6/0.8/1 to 1/1.5/2.\nNo longer grants 2/3/4/5 health regeneration.', 'Is now an ultimate ability, instead of a basic ability.', 'Fade delay from 6/5/4/3 to 4/3/2.', 'Damage per agility from 0.4/0.6/0.8/1 to 1/1.5/2.', 'No longer grants 2/3/4/5 health regeneration.', ' Tricks of the Trade\nIs now a basic ability, taking the third ability slot, instead of an ultimate.\nChannel time from 4/4.5/5 to 2 on each level.\nCooldown from 50/45/40 to 21/18/15/12.\nMana cost from 75 to 50.\nIs now a ground-targeted spell, with a 400 cast range, instead of a non-targeted ability.\nNow has a fixed attack count of 4, instead of fixed attack interval of 0.6/0.55/0.5.\nHeroes no longer have a higher priority than creeps, now attacks everyone with equal chances.\nReduced damage per attack from 100% on each level to 55%/70%/85%/100%.', 'Is now a basic ability, taking the third ability slot, instead of an ultimate.', 'Channel time from 4/4.5/5 to 2 on each level.', 'Cooldown from 50/45/40 to 21/18/15/12.', 'Mana cost from 75 to 50.', 'Is now a ground-targeted spell, with a 400 cast range, instead of a non-targeted ability.', 'Now has a fixed attack count of 4, instead of fixed attack interval of 0.6/0.55/0.5.', 'Heroes no longer have a higher priority than creeps, now attacks everyone with equal chances.', 'Reduced damage per attack from 100% on each level to 55%/70%/85%/100%.', "" Aghanim's Scepter upgraded  Tricks of the Trade\nNo longer turns the spell into a ground-targeted spell. [?]\nNow increases cast range from 400 to 1000.\nNow increases number of attacks from 4 to 6.\nReduced channel time from 8/9/10 to 3 on each level."", 'No longer turns the spell into a ground-targeted spell. [?]', 'Now increases cast range from 400 to 1000.', 'Now increases number of attacks from 4 to 6.', 'Reduced channel time from 8/9/10 to 3 on each level.', 'Talents:']"
7.22f,"['Level 20 left talent: +700  Blink Strike cast range reduced to +600.', 'Increased  Blink Strike cast range from 500/600/700/800 to 600/700/800/900.', 'Talents:']"
7.22e,"["" Smoke Screen's blind now uses pseudo-random distribution.""]"
7.22d,"['Level 15 left talent: -7s  Smoke Screen cooldown increased to -8s.', 'Reduced base health regeneration from 3 to 1.', ' Cloak and Dagger\nNow also grants 2/3/4/5 health regeneration.\nReduced fade delay from 7.5/6/4.5/3 to 6/5/4/3.', 'Now also grants 2/3/4/5 health regeneration.', 'Reduced fade delay from 7.5/6/4.5/3 to 6/5/4/3.', 'Talents:']"
7.22,['Increased base attack damage from 18-22 to 21-25.']
