7.26b,"['Level 10 left talent: +25 attack damage reduced to +20.', 'Level 10 right talent: +8 health regen reduced to +6.', 'Level 15 left talent: +75  Bash of the Deep damage reduced to +60.', 'Level 15 right talent: +350 health reduced to +275.', 'Level 20 left talent: +1000 night vision reduced to +800.', 'Level 20 right talent: 30% lifesteal reduced to 25%.', 'Level 25 right talent: -4.5s  Slithereen Crush cooldown reduced to -3.5s.', 'Talents:']"
7.26a,"['Reduced movement speed bonus from 20%/28%/36%/44% to 18%/26%/34%/42%.', 'Reduced passive river movement speed bonus from 5%/20%/35%/50% to 7%/19%/31%/43%.', ' Guardian Sprint\nReduced movement speed bonus from 20%/28%/36%/44% to 18%/26%/34%/42%.\nReduced passive river movement speed bonus from 5%/20%/35%/50% to 7%/19%/31%/43%.']"
7.24b,"['Increased  Guardian Sprint mana cost from 0 to 25.', 'Reduced  Bash of the Deep damage from 60/115/170/225 to 50/100/150/200.', 'Reduced  Corrosive Haze armor reduction from 10/15/20 to 8/13/18.']"
7.24,"['Increased base movement speed from 290 to 300.', 'Reduced  Bash of the Deep damage from 75/125/175/225 to 60/115/170/225.']"
7.23,"[""Increased  Aghanim's Scepter upgraded  Slithereen Crush puddle radius from 550 to 600.""]"
7.22e,"['Reduced cast time from 0.35 to 0.3.', 'Increased cast range from 700 on each level to 700/800/900.', ' Corrosive Haze\nReduced cast time from 0.35 to 0.3.\nIncreased cast range from 700 on each level to 700/800/900.']"
7.22d,"['Level 10 right talent: +6 health regen increased to +8.', 'Level 15 right talent: +300 health increased to +350.', ""Increased  Aghanim's Scepter upgraded  Guardian Sprint health regen bonus from 25 to 35."", 'Talents:']"
7.22c,['Increased base health regeneration from 0 to 0.5.']
7.22,"['Level 25 right talent changed: +1.25s  Slithereen Crush stun duration -> -4.5s  Slithereen Crush cooldown.', 'No longer grants 700 haste speed on level 4 while active and inside the river.', 'Now passively grants Slardar 5%/20%/35%/50% movement speed while inside the river.', 'Now passively removes the movement speed limit for Slardar while inside the river.', ' Guardian Sprint\nNo longer grants 700 haste speed on level 4 while active and inside the river.\nNow passively grants Slardar 5%/20%/35%/50% movement speed while inside the river.\nNow passively removes the movement speed limit for Slardar while inside the river.', ""Added  Aghanim's Scepter upgrade for Slardar: Adds 40% status resistance, 12 armor, and 25 health regeneration to  Guardian Sprint while standing inside the river. Causes  Slithereen Crush to create a 550 radius puddle on the ground for 25 seconds, which triggers Sprint's passive bonuses when standing inside it."", 'Talents:']"
7.21,"['Level 25 right talent: +1.5s  Slithereen Crush stun duration reduced to +1.25s.', 'Increased  strength gain from 3.1 to 3.6.', 'Talents:']"
7.20d,['Increased movement speed from 285 to 290.']
7.20c,"['Level 20 right talent changed: +50 attack speed -> 30% lifesteal.', 'Talents:']"
7.20,"['Bash damage: 75/125/175/225', 'Stun duration: 1/1.1/1.2/1.3', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased base armor from 2 to 3.', ' Slithereen Crush\nIncreased damage from 75/125/175/225 to 80/140/200/260.\nIncreased movement speed slow from 20% on each level to 20%/25%/30%/35%.\nIncreased attack speed slow from 20 on each level to 20/25/30/35.\nIncreased slow duration from 2 on each level to 3/4/5/6.\nReduced stun duration from 1.25/1.5/1.75/2 to 1 on each level.', 'Increased damage from 75/125/175/225 to 80/140/200/260.', 'Increased movement speed slow from 20% on each level to 20%/25%/30%/35%.', 'Increased attack speed slow from 20 on each level to 20/25/30/35.', 'Increased slow duration from 2 on each level to 3/4/5/6.', 'Reduced stun duration from 1.25/1.5/1.75/2 to 1 on each level.', 'Reworked  Bash of the Deep']"
7.16,['Increased  Bash of the Deep damage from 60/80/100/120 to 80/100/120/140.']
7.13b,"['Reduced base armor from 3 to 2.', 'Reduced movement speed from 290 to 285.']"
