7.26c,['Increased movement speed from 285 to 290.']
7.26b,"['Level 10 left talent: +5 armor reduced to +4.', 'Level 10 right talent: +600 night vision reduced to +500.', 'Level 15 left talent: +40 attack damage reduced to +30.', 'Level 15 right talent: +12 health regen reduced to +10.', 'Level 20 left talent: -7s  Bulldoze cooldown reduced to -5.5s.', 'Level 20 right talent: +15%  Greater Bash movement speed as damage reduced to +12%.', 'Level 25 left talent: +800 health reduced to +650.', 'Level 25 right talent: +25%  Greater Bash proc chance reduced to +20%.', 'Talents:']"
7.26a,['Reduced  Bulldoze movement speed bonus from 14%/20%/26%/32% to 12%/18%/24%/30%.']
7.25,"[""Reworked  Aghanim's Scepter upgrade:""]"
7.24,['Reduced  Bulldoze cooldown from 22 on each level to 22/20/18/16.']
7.22f,"['Increased  Bulldoze mana cost from 25/30/35/40 to 30/40/50/60.', 'Reduced  Nether Strike damage from 120/185/250 to 100/175/250.']"
7.22e,['Increased  Charge of Darkness cooldown from 11 on each level to 17/15/13/11.']
7.22d,['Reduced  Nether Strike damage from 150/200/250 to 120/185/250.']
7.22,"['Increased base health regeneration from 0.75 to 1.25.', 'Reduced  Charge of Darkness mana cost from 100 on each level to 70/80/90/100.', ' Bulldoze\nIncreased status resistance bonus from 30%/40%/50%/60% to 34%/46%/58%/70%.\nIncreased movement speed bonus from 12%/18%/24%/30% to 14%/20%/26%/32%.', 'Increased status resistance bonus from 30%/40%/50%/60% to 34%/46%/58%/70%.', 'Increased movement speed bonus from 12%/18%/24%/30% to 14%/20%/26%/32%.', ' Greater Bash\nIncreased movement speed as damage from 8%/16%/24%/32% to 14%/20%/26%/32%.\nReduced stun duration from 1.2/1.4/1.6/1.8 to 0.9/1.2/1.5/1.8.', 'Increased movement speed as damage from 8%/16%/24%/32% to 14%/20%/26%/32%.', 'Reduced stun duration from 1.2/1.4/1.6/1.8 to 0.9/1.2/1.5/1.8.', "" Aghanim's Scepter upgraded  Nether Strike\nIncreased cast range from 850 to 950.\nIncreased Greater Bash radius from 250 to 350."", 'Increased cast range from 850 to 950.', 'Increased Greater Bash radius from 250 to 350.']"
7.21d,['Reduced  Charge of Darkness cooldown from 12 to 11.']
7.21c,['Increased base health regeneration from 0 to 0.75.']
7.21,['Increased  strength gain from 2.7 to 3.1.']
7.20d,"['Increased movement speed from 280 to 285.', 'Reduced  Greater Bash movement speed as damage from 12%/20%/28%/36% to 8%/16%/24%/32%.']"
7.20c,['Reduced  Greater Bash movement speed as damage from 16%/24%/32%/40% to 12%/20%/28%/36%.']
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', "" Charge of Darkness\nChanged movement speed from a fixed 600/650/700/750 to Spirit Breaker's current movement speed + 300/325/350/375.\nNow also changes Spirit Breaker's movement speed to match the charge speed value, so that it now affects Greater Bash's damage.\nNow allows Spirit Breaker to bypass the movement speed limit during the charge."", ""Changed movement speed from a fixed 600/650/700/750 to Spirit Breaker's current movement speed + 300/325/350/375."", ""Now also changes Spirit Breaker's movement speed to match the charge speed value, so that it now affects Greater Bash's damage."", 'Now allows Spirit Breaker to bypass the movement speed limit during the charge.', ' Greater Bash\nNo longer grants 17% movement speed for 3 seconds upon proccing.\nRescaled movement speed as damage from 12%/24%/36%/48% to 16%/24%/32%/40%.', 'No longer grants 17% movement speed for 3 seconds upon proccing.', 'Rescaled movement speed as damage from 12%/24%/36%/48% to 16%/24%/32%/40%.', 'Replaced  Empowering Haste with  Bulldoze']"
7.17,"['Level 10 right talent: +400 night vision increased to +600.', 'Increased  Greater Bash stun duration from 1/1.2/1.4/1.6 to 1.2/1.4/1.6/1.8.', 'Reduced  Nether Strike damage from 150/250/350 to 150/200/250.', 'Talents:']"
7.16,['Increased base health regeneration from 1 to 1.5.']
7.14,"['Increased  Greater Bash movement speed bonus from 15% to 17%.', ' Nether Strike now knocks enemies back for twice the distance.']"
7.13b,"['Reduced base armor from 3 to 2.', 'Reduced movement speed from 285 to 280.']"
7.12,"['Activating Empowering Haste no longer reduces the speed bonus after the initial 6 seconds after activating.', 'Increased cooldown from 12 to 20.', ' Empowering Haste\nActivating Empowering Haste no longer reduces the speed bonus after the initial 6 seconds after activating.\nIncreased cooldown from 12 to 20.']"
