7.26c,"['Level 20 left talent changed: -8s  Reflection cooldown -> +8s  Conjure Image illusion duration.', 'Level 25 right talent: -28s  Sunder cooldown increased to -32s.', 'Talents:']"
7.26b,"['Level 10 left talent: 20% evasion reduced to 16%.', 'Level 10 right talent: +25 movement speed reduced to +20.', 'Level 15 left talent: +30 attack speed reduced to +25.', 'Level 15 right talent: +300 health reduced to +250.', 'Level 20 left talent: -10s  Reflection cooldown reduced to -8s.', 'Level 20 right talent: +10 all stats reduced to +8.', 'Level 25 left talent: +300  Metamorphosis attack range reduced to +240.', 'Level 25 right talent: -35s  Sunder cooldown reduced to -28s.', 'Talents:']"
7.25,"[""Reworked  Aghanim's Scepter upgrade:""]"
7.24,"['Increased base movement speed from 310 to 315.', 'Increased  Reflection movement speed slow from 20% to 25%.']"
7.23,"[' Reflection is now an area targeted ability with 700 cast range and 475 radius, instead of non-targetd with a 900 radius.', 'Reduced  Conjure Image damage taken from 360% to 320%.']"
7.22f,"['Level 10 left talent: 10% evasion increased to 15%.', ""Increased  Aghanim's Scepter upgraded  Metamorphosis fear duration from 3 to 3.75."", 'Talents:']"
7.22d,['Reduced  Conjure Image illusion damage taken from 400% to 360%.']
7.22c,['Increased  strength gain from 1.5 to 1.7.']
7.22,"[' Reflection no longer affects illusions.', ""Added  Aghanim's Scepter upgrade for Terrorblade: Causes  Metamorphosis to release a wave 0.6 seconds after cast, that travels outwards at a speed of 1000, for up to 1600 range, fearing any enemy it contacts while expanding outwards for 3 seconds.""]"
7.21,"['Reduced base  strength and gain from 16 + 1.7 to 15 + 1.5.', 'Increased  agility gain from 4.2 to 4.8.']"
7.20e,['Increased  Metamorphosis movement speed loss from 25 to 30.']
7.20,"['Level 20 left talent: -10s  Reflection cooldown reduced to -8s.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ""Increased  Metamorphosis' aura radius from 900 to 1200."", ' Sunder no longer pierces spell immunity on enemies.', 'Talents:']"
7.19d,"['Level 15 right talent: +300 health reduced to +250.', 'Reduced  Reflection movement speed slow from 25% to 20%.', 'Increased  Conjure Image mana cost from 70 on each level to 70/75/80/85.', 'Increased  Sunder mana cost from 200/100/0 to 200/100/50.', 'Talents:']"
7.18,['Increased  agility gain from 3.7 to 4.2.']
7.17,['Increased  agility gain from 3.2 to 3.7.']
7.15,['Increased base  strength from 15 to 16.']
7.14,"['Reduced base health regeneration from 3 to 1.5.', ' Reflection illusions now disappear when the corresponding slow debuff on their targets gets dispelled.', ' Sunder\nIncreased minimum health from 25% on each level to 35%/30%/25%.\nReduce cast range from 550 to 475.', 'Increased minimum health from 25% on each level to 35%/30%/25%.', 'Reduce cast range from 550 to 475.']"
