7.26b,"['Level 10 left talent: +150 cast range reduced to +125.', 'Level 10 right talent: +11% spell damage amplification reduced to +8%.', 'Level 15 left talent: +11% mana loss reduction reduced to +9%.', 'Level 15 right talent: +3s  March of the Machines duration reduced to +2.5s.', 'Level 20 left talent: +10  March of the Machines damage reduced to +8.', 'Level 20 right talent: +10 armor reduced to +8.', 'Level 25 left talent: 0.3s  Heat-Seeking Missile bash on hit reduced to 0.25s.', 'Level 25 right talent: +100  Laser damage reduced to +80.', 'Talents:']"
7.25,"['Level 10 left talent: +125 cast range increased to +150.', 'Level 15 right talent: +2s  March of the Machines duration increased to +3s.', 'Talents:']"
7.24,"['Level 15 right talent changed: +150 gold per minute -> +2s  March of the Machines duration.', 'Talents:']"
7.23,"['Increased base  strength from 17 to 18.', 'Increased base mana regen from 0.25 to 0.75.']"
7.22f,"['Level 10 right talent: +8% spell damage amplification increased to +11%.', 'Level 10 left talent: +100 cast range increased to +125.', 'Level 15 left talent: 15% spell lifesteal -> 11% mana loss reduction.', 'Talents:']"
7.22d,"['Increased base  intelligence from 28 to 30.', 'Reduced  Heat-Seeking Missile cooldown from 25 to 18.']"
7.22c,"['Level 15 left talent: 10% spell lifesteal increased to 15%.', 'Level 15 right talent changed: +30 movement speed -> +150 gold per minute.', 'Level 20 left talent: +8  March of the Machines damage increased to +10.', 'Rescaled  March of the Machines mana cost from 145/150/165/190 to 130/150/170/190.', 'Talents:']"
7.22,"['Level 10 left talent: +75 cast range increased to +100.', 'Level 10 right talent: +6% spell damage amplification increased to +8%.', 'Increased base mana regeneration from 0 to 0.25.', 'Increased  intelligence gain from 2.5 to 3.3.', 'Talents:']"
7.21,['Increased  intelligence gain from 2.2 to 2.5.']
7.20,"['Level 15 right talent: +40 movement speed reduced to +30.', 'Increased  strength gain from 2.3 to 2.5.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' March of the Machines no longer collide with spell immune units.', 'Talents:']"
7.15,"['Reduced base  intelligence from 30 to 28.', 'Increased base attack damage from 22-28 to 24-30.']"
7.10,"['Level 20 right talent changed: +100 attack damage -> +10 armor.', ""Reduced  Aghanim's Scepter Laser bounce range from 650 to 400."", 'Increased mana cost from 95/120/145/170 to 110/130/150/170.', "" Laser\nReduced  Aghanim's Scepter Laser bounce range from 650 to 400.\nIncreased mana cost from 95/120/145/170 to 110/130/150/170."", 'Talents:']"
7.08,['Reduced base movement speed from 305 to 290.']
7.07d,['Increased  Laser cooldown from 14 on each level to 20/18/16/14.']
