7.26c,"['Level 25 left talent: -1.5s  Decay cooldown increased to -2s.', 'Talents:']"
7.26b,"['Level 10 left talent: +6 health regen reduced to +5.', 'Level 10 right talent: +150 cast range reduced to +125.', 'Level 15 left talent: +50s  Decay duration reduced to +40s.', 'Level 15 right talent: +30  Undying Zombie attack damage reduced to +25.', 'Level 20 left talent: +5  Tombstone attacks to destroy reduced to +4.', 'Level 25 left talent: -2s  Decay cooldown reduced to -1.5s.', 'Level 25 right talent: 250s  Reincarnation cooldown increased to 300s.', 'Talents:']"
7.25,['Increased  Zombie attack damage from 33-39 to 44-48.']
7.24,"['Level 15 right talent:  Undying Zombie attack damage bonus is now added to the base damage, instead of being added as bonus damage.', 'No longer has a fixed health threshold of 100/200/300/400', 'Increased percentage health thresholds from 20%/25%/30%/35% to 40% on each level.', 'Reduced movement speed bonus from 50% on each level to 35%/40%/45%/50%.', 'Reduced attack speed bonus from 75 on each level to 50/60/70/80.', ' Deathlust\nNo longer has a fixed health threshold of 100/200/300/400\nIncreased percentage health thresholds from 20%/25%/30%/35% to 40% on each level.\nReduced movement speed bonus from 50% on each level to 35%/40%/45%/50%.\nReduced attack speed bonus from 75 on each level to 50/60/70/80.', ' Flesh Golem\nNow also grants 30 movement speed.\nIncreased golem duration from 30 to 40.\nIncreased slow duration from 5 to 6.', 'Now also grants 30 movement speed.', 'Increased golem duration from 30 to 40.', 'Increased slow duration from 5 to 6.', 'Talents:']"
7.23c,"['Increased  Zombie attack damage from 30-36 to 33-39.', 'Increased  Flesh Golem damage per second from 15/25/35 to 25/35/45.']"
7.23a,"['Increased strength bonus from 30%/40%/50% to 40%/50%/60%.', 'Increased movement speed slow from 30%/35%/40% to 40%/45%/50%.', ' Flesh Golem\nIncreased strength bonus from 30%/40%/50% to 40%/50%/60%.\nIncreased movement speed slow from 30%/35%/40% to 40%/45%/50%.']"
7.23,"['Reduced base armor from 2 to 1.', 'Increased  Soul Rip mana cost from 80/95/110/125 to 100/110/120/130.', 'Reduced  Undying Zombie collision size from 4 to 2.', 'Reworked  Flesh Golem']"
7.22g,"['Reduced max unit count from 8/10/12/14 to 8/9/10/11.', 'Increased damage/heal per unit from 22/26/30/34 to 22/29/36/43.', ' Soul Rip\nReduced max unit count from 8/10/12/14 to 8/9/10/11.\nIncreased damage/heal per unit from 22/26/30/34 to 22/29/36/43.', 'Increased  Flesh Golem current health as damage per second from 7% to 9%.']"
7.22c,"['Reduced max unit count from 10/12/14/16 to 8/10/12/14.', 'Increased damage/heal per unit from 18/22/26/30 to 22/26/30/34.', ' Soul Rip\nReduced max unit count from 10/12/14/16 to 8/10/12/14.\nIncreased damage/heal per unit from 18/22/26/30 to 22/26/30/34.']"
7.22,"['Reduced  Soul Rip cast time from 0.45 to 0.35.', ' Tombstone\nIllusions now require 2 attacks to kill zombies, instead of 1. [?]\nIncreased non-hero attack to destroy Tombstone from 2x to 4x the amount heroes need. [?]', 'Illusions now require 2 attacks to kill zombies, instead of 1. [?]', 'Increased non-hero attack to destroy Tombstone from 2x to 4x the amount heroes need. [?]']"
7.21,"['Level 15 right talent changed:  Tombstone on death [?] -> +30  Undying Zombie attack damage.', 'Level 20 right talent changed: +30  Undying Zombie attack damage ->  Tombstone on death [?].', 'Increased  strength gain from 2.4 to 2.8.', 'Talents:']"
7.20e,"['Level 10 left talent: +10 health regen reduced to +8.', 'Increased  Flesh Golem cooldown from 110 to 125.', 'Talents:']"
7.20d,['Increased movement speed from 295 to 300.']
7.20c,"['Level 20 left talent: +6  Tombstone attacks to destroy reduced to +5.', 'Level 25 right talent: 200s  Reincarnation cooldown increased to 250s.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced movement speed from 305 to 295.', ' Tombstone no longer spawns zombies for spell immune enemies. [?]', 'Reworked  Flesh Golem']"
7.19d,['Reduced  Tombstone attacks to destroy from 4/5/6/8 / 8/10/12/16 to 4/5/6/7 / 8/10/12/14.']
7.16,['Reduced  Soul Rip mana cost from 100/110/120/130 to 80/95/110/125.']
7.14,"['Level 15 left talent: +30s  Decay duration increased to +50s.', 'Level 20 left talent: +4  Tombstone attacks to destroy increased to +6.', 'Reduced  Tombstone zombie spawn interval from 4.5/4/3.5/3 to 4/3.5/3/2.5.', 'Talents:']"
7.13b,"['Reduced base armor from 3 to 2.', 'Reduced movement speed from 310 to 305.']"
7.12,"['Increased  Deathlust attack speed bonus from 50 to 75.', 'Increased  Flesh Golem own max health as heal per hero death from 10% on each level to 15%/20%/25%.']"
7.10,"['Level 10 right talent: +100 cast range increased to +150.', 'Level 15 left talent: +20s  Decay duration increased to +30s.', 'Level 20 left talent: +3  Tombstone attacks to destroy increased to +4.', 'Talents:']"
7.07,"['Level 10: +90 gold per minute or +15 health regen', 'Level 15: +300 health or +35% experience gain', 'Level 20: +30 movement speed or +50  Undying Zombie attack damage', 'Level 25: -2s  Decay cooldown or +15 armor', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Decay\nReduced damage from 20/60/100/140 to 20/50/80/110.\nReduced mana cost from 70/90/110/130 to 70/85/100/115.', 'Reduced damage from 20/60/100/140 to 20/50/80/110.', 'Reduced mana cost from 70/90/110/130 to 70/85/100/115.', ' Tombstone\nIncreased duration from 15/20/25/30 to 30 on each level.\nIncreased radius from 600/800/1000/1200 to 1200 on each level.\nIncreased zombie spawn interval from 3 on each level to 4.5/4/3.5/3.\nIncreased cooldown from 70 on each level to 85/80/75/70.', 'Increased duration from 15/20/25/30 to 30 on each level.', 'Increased radius from 600/800/1000/1200 to 1200 on each level.', 'Increased zombie spawn interval from 3 on each level to 4.5/4/3.5/3.', 'Increased cooldown from 70 on each level to 85/80/75/70.', 'Reduced  Undying Zombie collision size from 8 to 4.', 'Reworked talents:']"
7.06f,['Increased  Tombstone attacks to destroy from 3/4/5/7 / 6/8/10/14 to 4/5/6/8 / 8/10/12/16.']
7.06d,['Increased base armor from 2 to 3 (total armor is now 4.43).']
7.06,"['Level 10 right talent changed: -30s respawn time -> +15 health regen.', 'Increased  strength gain from 2.1 to 2.4.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.03,"['Level 20 left talent: +25 movement speed increased to +30.', 'Talents:']"
7.02,"['Level 15 right talent: +30% experience gain increased to +35%.', 'Level 20 left talent: +20 movement speed increased to +25.', 'Level 20 right talent changed: +10 all stats -> +50  Undying Zombie attack damage.', 'Level 25 left talent changed: +40  Undying Zombie attack damage -> -2s  Decay cooldown.', 'Level 25 right talent: +12 armor increased to +15.', 'Talents:']"
7.00,"['Level 10: +90 gold per minute or -30s respawn time', 'Level 15: +300 health or +30% experience gain', 'Level 20: +20 movement speed or +10 all stats', 'Level 25: +12 armor or +40  Undying Zombie attack damage', 'Increased  Flesh Golem own max health as heal per hero death from 6% to 10%.', 'Added talents:']"
6.88,"['Increased  intelligence gain from 2.5 to 2.8.', ' Decay\nIncreased cast range from 625 to 650.\nIncreased duration from 40 to 45.', 'Increased cast range from 625 to 650.', 'Increased duration from 40 to 45.']"
6.87,"['Increased attack range from 128 to 150.', ' Tombstone now treats attacking illusions as creeps. [?]']"
6.86c,['Increased  Tombstone cooldown from 60 to 70.']
6.86,"['Increased gold bounty from 75/100/125/150 to 125/150/175/200.', 'No longer has a 44 experience bounty.', 'Reduced  Zombie attack damage from 31-39 to 30-36.', ' Tombstone\nIncreased gold bounty from 75/100/125/150 to 125/150/175/200.\nNo longer has a 44 experience bounty.\nReduced  Zombie attack damage from 31-39 to 30-36.']"
6.85,"['No longer increases  Flesh Golem max damage amplification from 20%/25%/30% to 30%/35%/40% and heal from 6% to 10% from heroes and 2% to 3% from creeps.', 'Now increases  Decay strength steal from 4 to 10.', "" Aghanim's Scepter\nNo longer increases  Flesh Golem max damage amplification from 20%/25%/30% to 30%/35%/40% and heal from 6% to 10% from heroes and 2% to 3% from creeps.\nNow increases  Decay strength steal from 4 to 10."", ' Tombstone\nReduced  Zombie attack damage from 37-45 to 31-39.\nNow requires 3/4/5/7 hero attacks or 6/8/10/14 non-hero attacks to destroy, instead of having 175/350/525/700 health.', 'Reduced  Zombie attack damage from 37-45 to 31-39.', 'Now requires 3/4/5/7 hero attacks or 6/8/10/14 non-hero attacks to destroy, instead of having 175/350/525/700 health.', ' Soul Rip now restores 2/4/6/8 health to the Tombstone.']"
6.84c,['Reduced  Tombstone health from 200/400/600/800 to 175/350/525/700.']
6.84b,"['Increased  Soul Rip mana cost from 50/75/100/125 to 100/110/120/130.', ' Tombstone\n Zombies no longer require two hits to kill from Towers.', ' Zombies no longer require two hits to kill from Towers.', ' Flesh Golem\nReduced minimum damage amplification from 5%/10%/15% ( 15%/20%/25%) to 1% ( 1%).\nReduced minimum slow from 5% to 1%.', 'Reduced minimum damage amplification from 5%/10%/15% ( 15%/20%/25%) to 1% ( 1%).', 'Reduced minimum slow from 5% to 1%.']"
6.84,"['Now sums the damage up into 1 instance, instead of dealing a number of instances.', 'Can no longer be cast on Tombstone  Zombies.', ' Soul Rip\nNow sums the damage up into 1 instance, instead of dealing a number of instances.\nCan no longer be cast on Tombstone  Zombies.', ' Tombstone Zombies now require 1 hero attack or 2 non-hero attacks to be killed, instead of having 30 health.']"
6.83,"['Rescaled max unit count from 5/10/15/20 to 10/12/14/16.', 'Rescaled damage/heal per unit from 25 to 18/22/26/30.', ' Soul Rip\nRescaled max unit count from 5/10/15/20 to 10/12/14/16.\nRescaled damage/heal per unit from 25 to 18/22/26/30.', 'Increased  Tombstone armor from 4 to 5.', 'Increased  Flesh Golem max slow from 15% to 20%.']"
6.82,"['Increased  Tombstone zombie spawn radius from 400/600/800/1000 to 600/800/1000/1200.', "" Flesh Golem\nNow slows between 5% and 15% movement speed, based on the distance to Undying, instead of a static 9% (same scale mechanic as the damage amplification).\n Aghanim's Scepter upgrade:\nIncreased minimum damage amplification from 10%/15%/20% to 15%/20%/25%.\nIncreased maximum damage amplification from 25%/30%/35% to 30%/35%/40%."", 'Now slows between 5% and 15% movement speed, based on the distance to Undying, instead of a static 9% (same scale mechanic as the damage amplification).', "" Aghanim's Scepter upgrade:\nIncreased minimum damage amplification from 10%/15%/20% to 15%/20%/25%.\nIncreased maximum damage amplification from 25%/30%/35% to 30%/35%/40%.""]"
6.81b,['Increased  intelligence gain from 2 to 2.5.']
6.81,"['Increased  Soul Rip radius from 975 to 1300.', "" Tombstone\nIncreased zombies'  Deathlust health percentage threshold from 5%/10%/15%/20% to 20%/25%/30%/35%.\nZombies no longer give any experience or gold.\nIncreased Tombstone bounty from 70/90/110/130 to 75/100/125/150."", ""Increased zombies'  Deathlust health percentage threshold from 5%/10%/15%/20% to 20%/25%/30%/35%."", 'Zombies no longer give any experience or gold.', 'Increased Tombstone bounty from 70/90/110/130 to 75/100/125/150.', "" Flesh Golem's Plague Aura now affects spell immune units.""]"
6.80,['Reduced  Soul Rip cooldown from 25/20/15/10 to 24/18/12/6.']
6.79,['Increased  Decay strength steal duration from 25/30/35/40 to 40.']
6.78,['Increased  Soul Rip cast range from 650 to 750.']
6.77,['Reduced  Decay damage from 40/80/120/160 to 20/60/100/140.']
6.75,"['Increased strength steal duration from 21/24/27/30 to 25/30/35/40.', 'Increased radius from 300 to 325.', ' Decay\nIncreased strength steal duration from 21/24/27/30 to 25/30/35/40.\nIncreased radius from 300 to 325.', ""Zombies'  Deathlust movement and attack speed bonus threshold now also triggers if their target is below 5%/10%/15%/20% health.""]"
6.73,"['Reduced  Decay cooldown from 11/9/7/5 to 10/8/6/4.', 'Reduced  Flesh Golem cooldown from 90 to 75.']"
6.72d,['Increased collision size from 12 to 24.']
6.72c,"['Reduced collision size from 24 to 12.', ' Tombstone zombies no longer leave a usable corpse.']"
6.72,['Increased attack range from 100 to 128.']
6.71,['Increased  Flesh Golem movement speed slow from 7% to 9%.']
6.70,['Increased  Decay damage from 30/60/90/120 to 40/80/120/160.']
6.68,['Increased  Tombstone cast range from 250 to 600.']
6.67,['Increased  Tombstone health from 150/300/450/600 to 200/400/600/800.']
6.66,"[""Added  Aghanim's Scepter upgrade for Undying: Increases  Flesh Golem max damage amplification from 20%/25%/30% to 25%/30%/35%, own health as heal per hero death from 6% to 10% and own health as heal per non-hero death from 2% to 3%.""]"
6.64,"['Reduced base  strength from 25 to 22.', 'Reduced  intelligence gain from 2.8 to 2.0.', ' Flesh Golem no longer heals the Undying from dying illusions.']"
6.63,"['Reduced  Tombstone armor from 10 to 4.', ' Flesh Golem\nReduced own health as heal per hero death from 12% to 6%.\nReduced own health as heal per non-hero death from 3% to 2%.', 'Reduced own health as heal per hero death from 12% to 6%.', 'Reduced own health as heal per non-hero death from 3% to 2%.']"
6.60,"['Reduced base armor from 5 to 2 (total armor is now 3.43).', ' Tombstone no longer spawns zombies for units in the Fog of War.']"
6.58,"['Reworked Undying.', 'Changed primary attribute from  intelligence to  strength.', 'All his hero stats remain unchanged.', 'Replaced  Raise Dead with  Decay.']"
6.52b,"['Changed damage type to units within range from magical to HP Removal.', 'The damage done to units within range is no longer lethal.', ' Soul Rip\nChanged damage type to units within range from magical to HP Removal.\nThe damage done to units within range is no longer lethal.', ' Plague\nIncreased cast range from 400 to 700.\nReduced cooldown from 45 to 30.', 'Increased cast range from 400 to 700.', 'Reduced cooldown from 45 to 30.']"
6.52,"['Living Deads now have 33% magic resistance.', 'Reduced Living Deads bounty from [ Info Needed ] to [ Info Needed ].', ' Raise Dead\nLiving Deads now have 33% magic resistance.\nReduced Living Deads bounty from [ Info Needed ] to [ Info Needed ].', 'Reduced  Soul Rip cooldown from 30 on each level to 25/20/15/10.']"
6.50,"['Increased base armor from 1 to 5 (total armor is now 6.43).', 'Reduced  Raise Dead Living Deads bounty from [ Info Needed ] to [ Info Needed ].', 'Changed  Heartstopper Aura damage type from pure to HP Removal.']"
6.45,['Reduced  Plague movement speed slow from 30% to 25%.']
6.44b,"['Reduced  strength gain from 2.6 to 2.1.', ' Raise Dead\nReduced Living Dead health from 450 to 400.\nReduced armor from 0 to -2.\nIncreased bounty from [ Info Needed ] to [ Info Needed ].', 'Reduced Living Dead health from 450 to 400.', 'Reduced armor from 0 to -2.', 'Increased bounty from [ Info Needed ] to [ Info Needed ].', ' Plague\nReduced damage amplification from 25%/30%/35% to 20%/25%/30%.\nReduced duration from 7/9/11 to 7/8/9.', 'Reduced damage amplification from 25%/30%/35% to 20%/25%/30%.', 'Reduced duration from 7/9/11 to 7/8/9.']"
6.44,['Created.']
