7.26c,"['Level 10 left talent changed: +6  strength -> +175 health.', 'Level 10 right talent changed: +1.5 mana regen -> +20  Fury Swipes stack duration.', 'Level 15 left talent changed: +20  Fury Swipes stack duration -> +2 mana regen.', 'Level 20 left talent: +13  Fury Swipes damage per stack reduced to +12.', 'Reduced  strength gain from 2.8 to 2.6.', 'Talents:']"
7.26b,"['Level 10 left talent: +8  strength reduced to +6.', 'Level 10 right talent: +2 mana regen reduced to +1.5.', 'Level 15 left talent: +25s  Fury Swipes stack duration reduced to +20.', 'Level 15 right talent: +14  agility reduced to +12.', 'Level 20 left talent: +16  Fury Swipes damage per stack reduced to +13.', 'Level 20 right talent: +1.5s  Enrage duration reduced to +1.2s.', 'Level 25 right talent: +600  Earthshock radius reduced to +480.', 'Talents:']"
7.25a,"['Reduced base movement speed from 315 to 310.', 'Rescaled  Overpower cooldown from 16/13/10/7 to 15/13/11/9.', 'Reduced  Fury Swipes damage from 10/20/30/40 to 9/18/27/36.']"
7.25,"['Level 25 left talent changed: 80%  Enrage status resistance -> +3  Overpower attacks.', 'Reduced number of attacks from 4/5/6/7 to 3/4/5/6.', 'Reduced mana cost from 75 on each level to 55/60/65/70.', 'Reduced cooldown from 16/14/12/10 to 16/13/10/7.', ' Overpower\nReduced number of attacks from 4/5/6/7 to 3/4/5/6.\nReduced mana cost from 75 on each level to 55/60/65/70.\nReduced cooldown from 16/14/12/10 to 16/13/10/7.', 'Increased  Fury Swipes damage from 7/14/21/28 to 10/20/30/40.', ' Enrage\nNo longer multiplies Fury Swipes damage by 1.4/1.7/2.\nNow grants 50% status resistance.\nIncreased duration from 4 on each level to 4/4.5/5.\nReduced cooldown from 70/50/30 to 50/40/30.', 'No longer multiplies Fury Swipes damage by 1.4/1.7/2.', 'Now grants 50% status resistance.', 'Increased duration from 4 on each level to 4/4.5/5.', 'Reduced cooldown from 70/50/30 to 50/40/30.', 'Talents:']"
7.23f,"["" Earthshock's leap now gets interrupted by roots and leashes. [?]""]"
7.23e,"['Reduced  strength gain from 3.1 to 2.8.', 'Increased  Earthshock mana cost from 75 to 85.']"
7.23c,"['Level 10 right talent: +3 mana regen reduced to +2.', 'Reduced  strength gain from 3.3 to 3.1.', 'Talents:']"
7.23a,"['Reduced base armor from 2 to 1.', 'Reduced  Earthshock movement speed slow from 25%/35%/45%/55% to 10%/25%/40%/55%.', 'Increased  Enrage cooldown from 50/40/30 to 70/50/30.']"
7.23,"['Reduced movement speed from 325 to 315.', ' Earthshock\nNow makes the caster jump 250 range forward over 0.25 seconds, applying Earthshock at the landing location.\nReduced cast time from 0.3 to 0.\nIncreased cooldown from 5 on each level to 9/8/7/6.', 'Now makes the caster jump 250 range forward over 0.25 seconds, applying Earthshock at the landing location.', 'Reduced cast time from 0.3 to 0.', 'Increased cooldown from 5 on each level to 9/8/7/6.']"
7.22g,['Increased  Earthshock damage from 50/100/150/200 to 75/125/175/225.']
