7.26b,"['Level 10 right talent: +15% magic resistance reduced to +12%.', 'Level 15 left talent: -3.5s  Magic Missile cooldown reduced to -2.75s.', 'Level 15 right talent: +15  agility reduced to +12.', 'Level 20 left talent: +8  Vengeance Aura primary attribute reduced to +6.', 'Level 20 right talent: +200  Magic Missile damage reduced to +160.', 'Talents:']"
7.25,"['Increased cast range from 500 to 550.', 'Rescaled damage from 100/175/250/325 to 90/180/270/360.', ' Magic Missile\nIncreased cast range from 500 to 550.\nRescaled damage from 100/175/250/325 to 90/180/270/360.']"
7.23f,"['Increased  Magic Missile cooldown from 9 on each level to 12/11/10/9.', 'Increased  Nether Swap cast time from 0.3 to 0.4.']"
7.23e,"['Reduced  strength gain from 2.6 to 2.4.', 'Reduced  Magic Missile stun duration from 1.5/1.6/1.7/1.8 to 1.4/1.5/1.6/1.7.']"
7.23c,"['Reduced ranged attack range bonus from 60/90/120/150 to 50/75/100/125.', 'Reduced illusion damage dealt from 100% on each level to 70%/80%/90%/100%.', ' Vengeance Aura\nReduced ranged attack range bonus from 60/90/120/150 to 50/75/100/125.\nReduced illusion damage dealt from 100% on each level to 70%/80%/90%/100%.']"
7.23b,"['Reduced  strength gain from 2.9 to 2.6.', 'Reduced  Vengeance Aura primary attribute bonus from 4/8/12/16 to 4/7/10/13.']"
7.23a,"['Level 20 left talent: +10  Vengeance Aura primary attribute reduced to +8.', 'Level 20 right talent changed:  Vengeance illusion  may cast spells -> +200  Magic Missile damage.', 'Level 25 right talent changed: +400  Magic Missile damage ->  Vengeance illusion  may cast spells.', 'Reduced base  agility from 27 to 20.', 'Increased base attack damage from 14-22 to 21-29.', 'Reduced  Vengeance Aura ranged attack range bonus from 60/100/140/180 to 60/90/120/150.', 'Talents:']"
7.23,"['Increased  Wave of Terror vision duration from 3 to 4.', 'Reworked  Vengeance Aura']"
7.22f,['Reduced  Magic Missile mana cost from 110/120/130/140 to 100/110/120/130.']
7.22e,['Increased base  intelligence from 15 to 17.']
7.22d,"['Increased base attack damage from 12-20 to 14-22.', 'Increased base  intelligence from 13 to 15.']"
7.22c,['Reduced  Magic Missile cooldown from 10 to 9.']
7.22,['Increased  Nether Swap cooldown from 0 to 0.25. [?]']
7.21,"['Level 20 right talent: -5s  Magic Missile cooldown increased to -6s.', 'Increased  agility gain from 3.3 to 3.8.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.75 to 0.25.', 'Reduced base mana regeneration from 0.9 to 0.', ' Wave of Terror no longer pierces spell immunity.', 'Reworked  Vengeance Aura']"
7.19c,"['Reduced movement speed from 295 to 290.', 'Reduced  Magic Missile projectile speed from 1250 to 900.']"
7.19b,['Increased  Wave of Terror cooldown from 10 on each level to 16/14/12/10.']
7.18,"['Increased  Magic Missile stun duration from 1.2/1.4/1.6/1.8 to 1.5/1.6/1.7/1.8.', 'Increased  Wave of Terror damage from 45/70/95/120 to 60/80/100/120.']"
7.16,"['Increased base health regeneration from 1.5 to 1.75.', 'Reduced  Magic Missile cooldown from 13/12/11/10 to 10 on each level.', 'Reduced  Wave of Terror mana cost from 40 on each level to 25/30/35/40.']"
7.15,['Increased base  strength from 18 to 19.']
