7.26c,['Increased  Nethertoxin max damage per second from 60/80/100/120 to 80/100/120/140.']
7.26b,"['Level 10 left talent: 10% spell lifesteal reduced to 8%.', 'Level 10 right talent: +25 attack speed reduced to +20.', 'Level 15 left talent: +6  Corrosive Skin attack speed slow/damage per second/magic resistance reduced to +5.', 'Level 15 right talent: +125 attack range reduced to +100.', 'Level 20 left talent: +90 attack damage reduced to +70.', 'Level 20 right talent: +100  Viper Strike damage per second reduced to +80.', 'Talents:']"
7.25,"['Level 10 left talent: 8% spell lifesteal increased to 10%.', 'Increased  Viper Strike damage per second from 60/100/145 to 80/120/160.', 'Talents:']"
7.23f,['Increased  Poison Attack mana cost from 20 to 25.']
7.23,"['Increased base attack speed from 100 to 120.', 'Reworked  Poison Attack']"
7.22f,"['Level 25 left talent: +120 attack damage increased to +160.', 'Talents:']"
7.22e,"['Level 10 right talent: +20 attack speed increased to +25.', 'Level 15 right talent: +100 attack range increased to +125.', 'Increased base damage from 23-25 to 25-27.', 'Talents:']"
7.22d,['Increased  Poison Attack damage per missing health point from 0.25/0.5/0.75/1 to 0.5/0.75/1/1.25.']
7.21d,"['Reduced  agility gain from 2.8 to 2.5.', 'Increased  Nethertoxin cooldown from 5 to 6.']"
7.21c,"['Reduced  agility gain from 3.3 to 2.8.', ' Poison Attack\nReduced movement speed slow from 25%/30%/35%/40% to 10%/20%/30%/40%.\nReduced attack speed slow from 25/30/35/40 to 10/20/30/40.', 'Reduced movement speed slow from 25%/30%/35%/40% to 10%/20%/30%/40%.', 'Reduced attack speed slow from 25/30/35/40 to 10/20/30/40.', ' Nethertoxin\nThe damage per second of multiple overlapping instances no longer stacks. [?]\nIncreased mana cost from 75 on each level to 70/80/90/100.', 'The damage per second of multiple overlapping instances no longer stacks. [?]', 'Increased mana cost from 75 on each level to 70/80/90/100.']"
7.21,"['Increased  agility gain from 2.9 to 3.3.', ' Nethertoxin\nIncreased radius from 350 to 380.\nIncreased damage per second from 20/35/50/65 to 30/45/60/75.', 'Increased radius from 350 to 380.', 'Increased damage per second from 20/35/50/65 to 30/45/60/75.']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Nethertoxin\nIncreased radius from 300 to 350.\nIncreased damage per second from 20/30/40/50 to 20/35/50/65.', 'Increased radius from 300 to 350.', 'Increased damage per second from 20/30/40/50 to 20/35/50/65.']"
7.15,['Increased base  strength from 20 to 21.']
7.07,"['Reduced movement speed from 285 to 275.', 'Reduced base armor from -1 to -2 (total armor is now 1.5).', 'Increased turn rate from 0.4 to 0.5.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Poison Attack\nNow deals 0.25/0.5/0.75/1 damage per missing health to the target, instead of a fixed 10/16/22/28.\nIncreased movement speed slow from 10%/20%/30%/40% to 25%/30%/35%/40%.\nIncreased attack speed slow from 10/20/30/40 to 25/30/35/40.\nIncreased debuff duration from 2 to 3.\nIncreased cooldown from 0 on each level to 6/4/2/0.\nIncreased mana cost from 20 on each level to 40/35/30/25.', 'Now deals 0.25/0.5/0.75/1 damage per missing health to the target, instead of a fixed 10/16/22/28.', 'Increased movement speed slow from 10%/20%/30%/40% to 25%/30%/35%/40%.', 'Increased attack speed slow from 10/20/30/40 to 25/30/35/40.', 'Increased debuff duration from 2 to 3.', 'Increased cooldown from 0 on each level to 6/4/2/0.', 'Increased mana cost from 20 on each level to 40/35/30/25.', 'Reworked  Nethertoxin into a completely new ability']"
7.06d,['Reduced  Viper Strike cooldown from 60/45/30 to 50/40/30.']
7.06c,"['Level 15 right talent: +10  strength increased to +15.', 'Talents:']"
7.06,"['Increased  strength gain from 2.1 to 2.4.', 'Reduced base health regeneration from 0.25 to 0.', ' Viper Strike\nNow deals its first tick of damage immediately, instead of 1 second after the debuff is placed. [?]\nReduced cooldown from 70/50/30 to 60/45/30.', 'Now deals its first tick of damage immediately, instead of 1 second after the debuff is placed. [?]', 'Reduced cooldown from 70/50/30 to 60/45/30.']"
7.05,"['Level 10 left talent: +150 health increased to +175.', 'Level 15 left talent: +14  agility increased to +16.', 'Level 15 right talent: +8  strength increased to +10.', 'Level 20 right talent changed: +7 armor ->  Poison Attack affects buildings.', 'Level 25 right talent changed:  Poison Attack affects buildings -> +20 armor.', 'Talents:']"
7.03,"['Level 15 right talent: +7  strength increased to +8.', 'Talents:']"
7.02,"['Level 10 left talent: +125 health increased to +150.', 'Talents:']"
7.00,"['Level 10: +125 health or +15 attack damage', 'Level 15: +14  agility or +7  strength', 'Level 20: +75 attack range or +7 armor', 'Level 25: +80  Viper Strike damage per second or  Poison Attack affects buildings', 'Increased  Nethertoxin damage from 2.5/5/7.5/10 to 3/6/9/12 (max damage bonus from 40/80/120/160 to 48/96/144/192).', 'Added talents:']"
6.88,"['Increased  strength gain from 1.9 to 2.1.', ""Reduced  Aghanim's Scepter upgraded  Viper Strike cooldown from 12 to 10.""]"
6.87,"[' Poison Attack is no longer a unique attack modifier.', ' Corrosive Skin is now dispellable.']"
6.85,"['Increased  agility gain from 2.5 to 2.9.', ' Nethertoxin is now disabled by Break.', ' Corrosive Skin no longer pierces spell immunity.']"
6.84,['Reduced  Viper Strike cooldown from 80/50/30 to 70/50/30.']
6.82,"['Now only procs on enemies within 1400 radius.', 'No longer procs on damage from other Corrosive Skins.', ' Corrosive Skin:\nNow only procs on enemies within 1400 radius.\nNo longer procs on damage from other Corrosive Skins.']"
6.79,"['Reduced  Poison Attack cooldown from 4/3/0/0 to 0 on each level.', ' Corrosive Skin is now disabled during  Doom']"
6.78,"[' Corrosive Skin now procs on any damage Viper receives, instead of only proccing on attacks.', ' Viper Strike can no longer be dispelled by Strong Dispels.']"
6.77,['Increased base  strength from 17 to 20.']
6.75,"['Increased  Nethertoxin damage from 2/4/6/8 to 2.5/5/7.5/10 (max damage bonus from 32/64/96/128 to 40/80/120/160).', 'Increased  Corrosive Skin debuff duration from 3 to 4.', ""Increased  Aghanim's Scepter upgraded  Viper Strike cast range from 800 to 900.""]"
6.74,"['Increased damage per second from 6/12/18/24 to 10/16/22/28.', 'Poison Attack damage is now lethal.', ' Poison Attack\nIncreased damage per second from 6/12/18/24 to 10/16/22/28.\nPoison Attack damage is now lethal.']"
6.72,[' Corrosive Skin debuff now stacks with  Poison Attack debuff.']
