7.26b,"['Level 10 left talent: +30 attack damage reduced to +25.', 'Level 10 right talent: +100 cast range reduced to +75.', 'Level 15 right talent: -3 Armor Corruption reduced to -2.5.', 'Level 20 left talent: +50  Familiar movement speed reduced to +40.', 'Level 20 right talent: +25  Soul Assumption damage per charge reduced to +20.', ""Level 25 right talent: +6  Gravekeeper's Cloak stacks reduced to +5."", 'Talents:']"
7.25a,"["" Gravekeeper's Cloak damage reduction is now capped at 80%.""]"
7.25,"[""Level 25 right talent changed: -2s  Gravekeeper's Cloak recharge time -> +6  Gravekeeper's Cloak stacks."", 'Increased base attack speed from 100 to 110.', ' Soul Assumption\nIncreased assumption radius from 1375 to 1500.\nIncreased cast range from 900 to 1000.', 'Increased assumption radius from 1375 to 1500.', 'Increased cast range from 900 to 1000.', 'Talents:']"
7.24,"['Reduced charge gain damage threshold from 110 to 100.', 'Rescaled mana cost from 170/160/150/140 to 150 on each level.', ' Soul Assumption\nReduced charge gain damage threshold from 110 to 100.\nRescaled mana cost from 170/160/150/140 to 150 on each level.']"
7.23e,"['Level 15 right talent changed: +30% experience gain -> -3 Armor Corruption [?]', 'Talents:']"
7.23c,"['Level 15 right talent: +40% experience gain reduced to +35%.', 'Talents:']"
7.23,"[' Stone Form sub-spell on Visage is now an area targeted ability with global cast range. On cast, it orders the closest  Familiar to that location to move there and cast  Stone Form there.']"
7.22e,"['Increased duration from 3/4/5/6 to 6 on each level.', 'Rescaled movement speed transfer from 32% on each level to 17%/23%/29%/35%.', 'Rescaled attack speed transfer from 64 on each level to 34/46/58/70.', ' Grave Chill\nIncreased duration from 3/4/5/6 to 6 on each level.\nRescaled movement speed transfer from 32% on each level to 17%/23%/29%/35%.\nRescaled attack speed transfer from 64 on each level to 34/46/58/70.']"
7.22d,"['Level 20 right talent: +20  Soul Assumption damage per charge increased to +25.', 'Increased  Soul Assumption damage per charge from 65 to 75.', 'Talents:']"
7.22,"['Increased base magic resistance from 10% to 25%.', 'Increased  Familiars health from 400/550/700 to 500/600/700.']"
7.21b,"['Reduced base  strength and gain from 24 +3 to 22 + 2.8.', 'Reduced  Familiars attack damage from 30/45/60 to 20/40/60.']"
7.21,"['Level 10 right talent: +125 cast range reduced to +100.', 'Level 20 left talent: +60  Familiar movement speed reduced to +50.', 'Level 20 right talent: +15  Soul Assumption damage per charge increased to +20.', 'Increased  intelligence gain from 2.5 to 2.9.', 'Talents:']"
7.20c,"['Level 20 left talent: +80  Familiar movement speed reduced to +60.', 'Reduced  strength gain from 3.2 to 3.', 'Reduced  Grave Chill cast range from 650 to 625.', 'Talents:']"
7.20,"['Increased  strength gain from 3 to 3.2.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ""Increased  Gravekeeper's Cloak radius from 900 to 1200.""]"
7.19,"[""Reduced  Gravekeeper's Cloak minimum damage threshold from 50 to 40.""]"
7.15,"['Reduced base  intelligence from 24 to 22.', 'Increased base attack damage from 21-31 to 23-33.']"
7.14,['Reduced  Grave Chill duration from 3.25/4.5/5.75/7 to 3/4/5/6.']
7.13b,['Increased base  strength and gain from 22 + 2.7 to 24 + 3.']
7.10,"['Level 15 left talent: The secondary  Soul Assumption projectile now has a 300 range buffer. [?]', 'Using it makes the closest Familiar use their Stone Form ability.', 'The sub-spell has no cooldown, so it can be used to quickly order all familiars to enter Stone Form.', 'The sub-spell is disabled if no Familiar has Stone Form ready.', ""Added a sub-spell to  Summon Familiars, that allows Visage to active the Familiars'  Stone Form from the hero.\nUsing it makes the closest Familiar use their Stone Form ability.\nThe sub-spell has no cooldown, so it can be used to quickly order all familiars to enter Stone Form.\nThe sub-spell is disabled if no Familiar has Stone Form ready."", 'Talents:']"
7.07b,['Increased  Familiar attack damage from 25/40/55 to 30/45/60.']
7.07,"['Level 10: +30% experience gain or +90 gold per minute', 'Level 15: +100 cast range or +50 attack damage', 'Level 20: +1  Soul Assumption multi target [?] or +300 health', 'Level 25: +120  Familiar movement speed or +20% spell damage amplification', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Grave Chill now grants the buff to Familiars within 900 range of Visage as well.', ' Summon Familiars\nNo longer grants the familiars 7 charges of 8/16/24 attack damage. [?]\nIncreased  Familiar base attack damage from 10 to 25/40/55.', 'No longer grants the familiars 7 charges of 8/16/24 attack damage. [?]', 'Increased  Familiar base attack damage from 10 to 25/40/55.', 'Reworked talents:']"
7.06e,['Reduced  Grave Chill mana cost from 100 to 90.']
7.06d,['Reduced  Summon Familiars cooldown from 160/145/130 to 130 on each level.']
7.06,"['Level 20 left talent changed: -40s respawn time -> +1  Soul Assumption multi target [?]', 'Increased  strength gain from 2.4 to 2.7.', 'Reduced base health regeneration from 0.25 to 0.', 'Increased  Grave Chill duration from 3/4/5/6 to 3.25/4.5/5.75/7.', 'Talents:']"
7.03,"['Level 10 left talent: +25% experience gain increased to +30%.', 'Increased  Familiars health from 300/500/700 to 400/550/700.', 'Talents:']"
7.02,"['Level 10 left talent: +15% experience gain increased to +25%.', 'Level 10 right talent: +60 gold per minute increased to +90.', 'Level 20 left talent: -30s respawn time increased to -40s.', 'Level 20 right talent: +250 health increased to +300.', 'Talents:']"
7.01,"['Reduced base attack damage from 24-34 to 21-31 (total attack damage is now 45-55).', 'Reduced  Familiars health from 500/750/1000 to 300/500/700.']"
7.00,"['Level 10: +15% experience gain or +60 gold per minute', 'Level 15: +100 cast range or +50 attack damage', 'Level 20: -30s respawn time or +250 health', 'Level 25: +120  Familiar movement speed or +20% spell damage amplification', ' Soul Assumption can now be disjointed.', "" Gravekeeper's Cloak\nNo longer grants 1.5/3/4.5/6 armor per layer.\nNo longer grants 5%/10%/15%/20% magic resistance per layer.\nNow reduces all damage by 8%/12%/16%/20% per layer.\nNow affects  Familiars within 900 radius around Visage. [?]\nIncreased minimum damage threshold from 15 to 50.\nDamage below the damage threshold is now fully ignored.\nIncreased layer recharge time from 3 on each level to 6/5/4/3."", 'No longer grants 1.5/3/4.5/6 armor per layer.', 'No longer grants 5%/10%/15%/20% magic resistance per layer.', 'Now reduces all damage by 8%/12%/16%/20% per layer.', 'Now affects  Familiars within 900 radius around Visage. [?]', 'Increased minimum damage threshold from 15 to 50.', 'Damage below the damage threshold is now fully ignored.', 'Increased layer recharge time from 3 on each level to 6/5/4/3.', ' Summon Familiars\nNow have 500/750/1000 health, instead of requiring 3/6/12 attacks to destroy.\nNo longer have spell immunity.\nNow have 35% magic resistance.\nAre now normally affected by health regeneration, instead of fully ignoring it.\nIncreased movement speed from 380/390/400 to 430.\nIncreased attack damage bonus per charge from 8/14/22 to 8/16/24.\nReduced attack damage recharge time from 15 to 2.\nReduced cooldown from 180/160/140 to 160/145/130.', 'Now have 500/750/1000 health, instead of requiring 3/6/12 attacks to destroy.', 'No longer have spell immunity.', 'Now have 35% magic resistance.', 'Are now normally affected by health regeneration, instead of fully ignoring it.', 'Increased movement speed from 380/390/400 to 430.', 'Increased attack damage bonus per charge from 8/14/22 to 8/16/24.', 'Reduced attack damage recharge time from 15 to 2.', 'Reduced cooldown from 180/160/140 to 160/145/130.', "" Stone Form:\nNo longer refreshes the familiar's attack damage charges.\nReduced duration from 8 to 6.\nReduced cooldown from 20 to 14."", ""No longer refreshes the familiar's attack damage charges."", 'Reduced duration from 8 to 6.', 'Reduced cooldown from 20 to 14.', 'Added talents:']"
6.88c,['Reduced  Stone Form stun delay from 0.85 to 0.55.']
6.88b,['Reduced  Stone Form cooldown from 26 to 20.']
6.88,"['Increased armor bonus per layer from 1/2/3/5 to 1.5/3/4.5/6.', 'Increased magic resistance bonus per layer from 3%/6%/12%/16% to 5%/10%/15%/20%.', "" Gravekeeper's Cloak\nIncreased armor bonus per layer from 1/2/3/5 to 1.5/3/4.5/6.\nIncreased magic resistance bonus per layer from 3%/6%/12%/16% to 5%/10%/15%/20%.""]"
6.87c,['Increased  Grave Chill cast range from 600 to 650.']
