7.26b,"['Level 10 left talent: +175 cast range reduced to +150.', 'Level 10 right talent: +4%  Fatal Bonds shared damage increased to +3%.', 'Level 15 left talent: -7s  Shadow Word cooldown reduced to -5.5s.', 'Level 15 right talent: +10 armor reduced to +8.', 'Level 20 left talent: 375 AoE  Shadow Word increased to 300 AoE.', 'Level 25 left talent: +100%  Warlock Golem [magic resistance reduced to +80%.', 'Level 25 right talent: +25  Warlock Golem armor reduced to +20.', 'Talents:']"
7.25,"['Level 10 left talent: +150 cast range increased to +175.', 'Level 20 left talent: 300 AoE  Shadow Word increased to 375 AoE.', 'Reduced  Shadow Word cast time from 0.5 to 0.4.', 'Talents:']"
7.24,['Reduced  Shadow Word cooldown from 16 to 14.']
7.23e,"['Level 15 right talent changed: +35% experience gain -> +10 armor.', 'Talents:']"
7.23c,"['Level 15 right talent: +50% experience gain reduced to +35%.', 'Talents:']"
7.23,"['Level 15 right talent: +60% experience gain reduced to +50%.', 'Level 25 left talent changed: Spell immune  Warlock Golem -> +100%  Warlock Golem magic resistance.', 'Talents:']"
7.22d,"['Now prioritises units that do not have the Fatal Bonds debuff yet. [?]', 'No longer binds, and can no longer be cast on  Roshan.', 'Increased cooldown from 24/22/20/18 to 36/30/24/18.', ' Fatal Bonds\nNow prioritises units that do not have the Fatal Bonds debuff yet. [?]\nNo longer binds, and can no longer be cast on  Roshan.\nIncreased cooldown from 24/22/20/18 to 36/30/24/18.']"
7.22c,"['Level 10 right talent: +5%  Fatal Bonds shared damage increased to +4%.', 'Reduced  Fatal Bonds shared damage from 13%/17%/21%/25% to 12%/16%/20%/24%.', 'Talents:']"
7.22,"['Level 25 right talent: +20  Warlock Golem armor increased to +25.', 'Increased number of targets from 3/4/5/6 to 6 on each level.', 'Reduced shared damage from 25% on each level to 13%/17%/21%/25%.', ' Fatal Bonds\nIncreased number of targets from 3/4/5/6 to 6 on each level.\nReduced shared damage from 25% on each level to 13%/17%/21%/25%.', "" Aghanim's Scepter upgraded  Chaotic Offering now spawns the second golem 0.4 seconds later, instead of both simultaniously."", 'Talents:']"
7.21b,"['Increased base  intelligence from 22 to 25.', 'Reduced  Upheaval mana cost from 100/110/120/130 to 70/90/110/130.']"
