7.26c,"['Level 10 right talent changed: +1.2s  Wraithfire Blast slow/damage duration -> -1s  Wraithfire Blast cooldown.', 'Level 20 left talent changed: 1.8x  Wraith King Skeleton spawned per charge -> +6  Wraith King Skeletons spawned.', 'Reduced  strength gain from 3.2 to 3.', 'Talents:']"
7.26b,"['Level 10 left talent: +20 attack speed reduced to +15.', 'Level 10 right talent: +1.5s  Wraithfire Blast slow/damage duration reduced to +1.2s.', 'Level 15 left talent: +30  Wraith King Skeleton attack damage reduced to +24.', 'Level 15 right talent: +15  strength reduced to +12.', 'Level 20 left talent: 2x  Wraith King Skeleton spawned per charge reduced to 1.8x.', 'Level 25 right talent: +25%  Vampiric Aura lifesteal reduced to +20%.', 'Talents:']"
7.26a,['Reduced  Vampiric Aura attack damage bonus from 6/12/18/24 to 4/10/16/22.']
7.25c,"['Reduced base attack damage from 39-41 to 37-39.', 'Reduced  Wraith King Skeletons duration from 90 to 60.']"
7.25,"['Now grants Wraith King 1.5 times more damage and lifesteal than to other units.', 'Reduced lifesteal from 6%/12%/18%/24% to 5%/10%/15%/20%.', ' Vampiric Aura\nNow grants Wraith King 1.5 times more damage and lifesteal than to other units.\nReduced lifesteal from 6%/12%/18%/24% to 5%/10%/15%/20%.']"
7.23,['Reworked  Vampiric Aura']
7.22f,"['Increased  Mortal Strike mana cost from 30/45/60/75 to 50/60/70/80.', 'Reduced  Wraithfire Blast base damage from 100 on each level to 70/80/90/100.']"
7.22e,"['Level 15 left talent: +35  Wraith King Skeleton attack damage reduced to +30.', 'Reduced  Wraith King Skeleton health from 250 to 175.', 'Talents:']"
7.21,"['Increased  strength gain from 2.8 to 3.2.', 'Increased movement speed from 300 to 315.']"
7.20d,['Increased movement speed from 295 to 300.']
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Increased  Vampiric Aura radius from 900 to 1200.', ' Wraith King Skeleton\nNow reincarnate once after 3 seconds when killed.\nReduced health from 350 to 250.', 'Now reincarnate once after 3 seconds when killed.', 'Reduced health from 350 to 250.']"
7.19c,"['Rescaled impact damage from 50/100/150/200 to 100 on each level.', 'Rescaled damage per second from 20/35/50/65 to 10/30/50/70.', 'Reduced stun duration from 2 on each level to 1.1/1.4/1.7/2. [?]', ' Wraithfire Blast\nRescaled impact damage from 50/100/150/200 to 100 on each level.\nRescaled damage per second from 20/35/50/65 to 10/30/50/70.\nReduced stun duration from 2 on each level to 1.1/1.4/1.7/2. [?]', ' Vampiric Aura no longer affects ranged allies.']"
7.19b,['Increased  Wraithfire Blast cooldown from 11/10/9/8 to 14/12/10/8.']
7.18,"['Increased  Vampiric Aura lifesteal from 15%/20%/25%/30% to 18%/22%/26%/30%.', 'Increased  Wraith King Skeleton magic resistance from 30% to 50%.']"
7.17,"['Level 15 left talent: +25  Wraith King Skeleton attack damage increased to +35.', 'Increased  Wraith King Skeleton magic resistance from 0% to 30%.', 'Talents:']"
7.16,"['No longer instantly kills non-player units upon triggering.', 'Now gains a skeleton charge for every 2 enemy units killed.', 'Rescaled max skeleton charges from 4/5/6/7 to 2/4/6/8.', 'Reduced mana cost from 75 on each level to 30/45/60/75.', ' Mortal Strike\nNo longer instantly kills non-player units upon triggering.\nNow gains a skeleton charge for every 2 enemy units killed.\nRescaled max skeleton charges from 4/5/6/7 to 2/4/6/8.\nReduced mana cost from 75 on each level to 30/45/60/75.', ' Wraith King Skeleton\nReduced gold bounty from 15 to 5.\nReduced experience bounty from 15 to 5.', 'Reduced gold bounty from 15 to 5.', 'Reduced experience bounty from 15 to 5.']"
7.14,"['Level 10 right talent changed: +40  Wraithfire Blast damage per second -> +1.5s  Wraithfire Blast slow/damage duration.', 'Reduced mana cost from 140 on each level to 95/110/125/140.', 'Increased cooldown from 8 on each level to 11/10/9/8.', ' Wraithfire Blast\nReduced mana cost from 140 on each level to 95/110/125/140.\nIncreased cooldown from 8 on each level to 11/10/9/8.', 'Talents:']"
7.13b,"['Reduced base armor from 0 to -1.', 'Reduced movement speed from 300 to 295.']"
7.10,"['Level 15 left talent changed: +5  Mortal Strike max charges -> +25  Wraith King Skeleton attack damage.', 'Level 20 left talent changed: +30  Wraith King Skeleton attack damage -> 2x  Wraith King Skeleton spawned per charge.', 'Talents:']"
7.07,"['Reduced  strength gain from 3.2 to 2.8.', 'Increased turn rate from 0.4 to 0.5.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked  Mortal Strike:']"
7.06f,"['Level 15 right talent: +15 movement speed increased to +30.', 'Reduced  Reincarnation cooldown from 240/140/40 to 200/120/40.', 'Talents:']"
7.06,"['Level 20 left talent changed: +20  strength -> +10%  Vampiric Aura lifesteal.', 'Level 25 left talent changed: +20%  Vampiric Aura lifesteal ->  Reincarnation casts  Wraithfire Blasts [?].', 'Increased  strength gain from 2.9 to 3.2.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.02,"['Level 10 left talent: +8  intelligence increased to +10.', 'Level 15 left talent changed: +200 health -> +50  Wraithfire Blast damage per second.', 'Talents:']"
7.00,"['Level 10: +8  intelligence or +15 attack damage', 'Level 15: +200 health or +15 movement speed', 'Level 20: +20  strength or +40 attack speed', 'Level 25: +20%  Vampiric Aura lifesteal or 0  Reincarnation mana cost', 'Reduced  Reincarnation cooldown from 260/160/60 to 240/140/40.', 'Added talents:']"
6.88,['Increased  Wraithfire Blast damage over time from 15/30/40/50 to 20/35/50/65.']
6.87,"['Increased attack range from 128 to 150.', ' Mortal Strike now deals 200%/300%/400%/500% damage to non-heroes, instead of 150%/200%/250%/300%.']"
6.86,"[' Vampiric Aura can now be toggled on, to make it only affect heroes.']"
6.85,"['Increased base attack damage from 32-34 to 39-41 (total attack damage from 54-56 to 61-63).', "" Vampiric Aura's lifesteal particle effects no longer draw when the enemy has no vision over Wraith King."", ' Reincarnation\nWraith Delay aura is now also bestowed while Wraith King is dead.\nIncreased Wraith Delay duration from 5 to 7.', 'Wraith Delay aura is now also bestowed while Wraith King is dead.', 'Increased Wraith Delay duration from 5 to 7.']"
6.84,"[""Added  Aghanim's Scepter upgrade for Wraith King: Adds an aura to  Reincarnation. Allies who are within 1200 radius become Wraiths for 5 seconds when slain, delaying their death. Wraiths can attack, move, use spells and items.""]"
6.82,['Increased  Reincarnation mana cost from 140 to 160.']
6.81,"['Increased  Mortal Strike crit damage from 125%/175%/225%/275% to 150%/200%/250%/300%.', 'Reduced base armor from 1 to 0 (total armor is now 2.52).']"
6.80,"['Increased slow from 50% to 75%.', 'Increased slow duration from 4 to 5.', ' Reincarnation\nIncreased slow from 50% to 75%.\nIncreased slow duration from 4 to 5.']"
6.79,"['Increased base  intelligence from 13 to 18.', ' Vampiric Aura now also works fully for ranged allied units, instead of being melee only.', 'Removed the active component from  Mortal Strike.', ' Reincarnation\nIncreased slow from 30% to 50%.\nIncreased slow radius from 700 to 900.', 'Increased slow from 30% to 50%.', 'Increased slow radius from 700 to 900.']"
6.78,"['Passively gives Wraith King a chance to land a critical strike. Can be cast to temporarily steal health from a target enemy hero. When the active is used, the critical strike is temporarily disabled for the drain duration.', 'Passive crit chance: 15%', 'Passive crit damage: 125%/175%/225%/275%', 'Max health drained: 20% (HP Removal, not lethal)', 'Drain duration: 7', 'Cast Range: 550', 'Cooldown: 25', 'Mana cost: 30', ""Note: This does not affect the target's or Wraith King's maximum health, just temporarily drains health based on the target's maximum health and then returns it."", 'Added an active component to  Mortal Strike:']"
6.75,['Increased  Hellfire Blast slow from 15% to 20%.']
6.73,"['Increased slow duration from 3 to 4.', 'Reduced cooldown from 300/220/140 to 260/160/60.', ' Reincarnation\nIncreased slow duration from 3 to 4.\nReduced cooldown from 300/220/140 to 260/160/60.']"
6.72d,['Increased collision size from 12 to 24.']
6.72c,['Reduced collision size from 24 to 12.']
6.72,"['Now applies a 30% movement speed slow for 3 seconds within a 700 radius upon respawning (places a debuff).', 'Reduced delay from 5/4.5/4 to 3.', ' Reincarnation\nNow applies a 30% movement speed slow for 3 seconds within a 700 radius upon respawning (places a debuff).\nReduced delay from 5/4.5/4 to 3.']"
6.69,"['Deals 30/45/60/75 damage in 1 second intervals over 4 seconds (total damage: 130/180/240/300)', 'Reworked  Hellfire Blast damage:']"
6.68,"['Throws a firy projectile at a target, damaging and stunning it.', 'Damage: 100/150/200/250', 'Stun Duration: 2', 'Cooldown: 8', 'Mana cost: 140', 'Reworked  Hellfire Blast']"
6.67,"['Increased  Vampiric Aura radius from 600 to 900.', 'Reduced  Reincarnation mana cost from 100/150/200 to 100 on each level.']"
6.64,['Increased  Vampiric Aura lifesteal from 5%/10%/15%/20% to 10%/16%/22%/28%.']
6.46b,['Improved Cast Animation from 0.500/0.510 to 0.350/0.500.']
6.35,"['Increased base armor from 0 to 1 (total armor is now 2.82).', 'Reduced  Reincarnation cooldown from 300/240/190 to 300/220/140.']"
6.20,['Reduced  Hellfire Blast damage from 125/175/225/300 to 100/150/200/250.']
6.16,['Reduced  Reincarnation mana cost from 100/200/300 to 100/150/200.']
6.12b,"['Increased  Mortal Strike crit damage from 130%/170%/210%/250% to 125%/175%/225%/275%.', 'Rescaled  Reincarnation mana cost from 150/200/250 to 100/200/300.']"
