,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,25,22,25,2.7,1.5,1.0,200,0.0,305.0
1,7.26b,25,22,25,2.7,1.5,1.0,200,0.0,305.0
2,7.26a,25,22,25,2.7,1.5,1.0,200,0.0,305.0
3,7.25,25,22,25,2.7,1.5,1.0,200,0.0,305.0
4,7.24,25,22,25,2.7,1.2,1.0,200,0.0,305.0
5,7.23,25,22,25,2.4,1.2,1.0,200,0.0,305.0
6,7.22g,25,22,25,2.4,1.2,1.0,200,0.0,305.0
7,7.22,25,22,25,2.4,1.2,1.0,200,0.0,305.0
8,7.21c,25,22,25,2.4,1.2,1.0,200,0.0,305.0
9,7.21,25,22,25,2.4,1.2,1.0,200,0.0,305.0
10,7.20d,25,22,25,2.1,1.2,1.0,200,0.0,295.0
11,7.20,25,22,25,2.1,1.2,1.0,200,0.0,290.0
12,7.19b,25,22,25,2.1,1.2,1.0,200,1.5,290.0
13,7.18,25,22,25,2.1,1.2,1.0,200,1.5,290.0
14,7.17,25,22,25,2.1,1.2,1.0,200,1.5,290.0
15,7.16,25,22,25,2.1,1.2,1.0,200,1.5,290.0
16,7.14,25,22,25,2.1,1.2,1.0,200,1.5,290.0
17,7.13b,25,22,25,2.1,1.2,1.0,200,1.5,290.0
18,7.10,25,22,25,2.1,1.2,1.0,200,1.5,300.0
19,7.08,25,22,25,2.1,1.2,1.0,200,1.5,300.0
20,7.07d,25,22,25,2.1,1.2,1.0,200,1.5,300.0
21,7.07c,25,22,25,2.1,1.2,1.0,200,1.5,300.0
22,7.07,25,22,25,2.1,1.2,1.0,200,1.5,300.0
23,7.06e,25,22,25,2.1,1.2,1.0,200,0.0,300.0
24,7.06d,25,22,25,2.1,1.2,1.0,200,0.0,300.0
25,7.06,25,22,25,2.1,1.2,1.0,200,0.0,300.0
26,7.05,25,22,25,1.8,1.2,1.0,200,0.25,300.0
27,7.02,25,22,25,1.8,1.2,1.0,200,0.25,300.0
28,7.00,25,22,25,1.8,1.2,1.0,200,0.25,300.0
29,6.87c,25,22,25,1.8,1.2,1.0,200,0.25,300.0
30,6.87,25,22,25,1.8,1.2,1.0,200,0.25,300.0
31,6.86,25,22,25,1.8,1.2,1.0,200,0.25,300.0
32,6.85,25,22,25,1.8,1.2,1.0,200,0.25,300.0
33,6.84,25,22,25,1.8,1.2,1.0,200,0.25,300.0
34,6.83,25,22,25,1.8,1.2,1.0,200,0.25,300.0
35,6.82,25,22,25,1.8,1.2,1.0,200,0.25,300.0
36,6.80,25,22,25,1.8,1.2,1.0,200,0.25,300.0
37,6.79,25,22,25,1.8,1.2,1.0,200,0.25,300.0
38,6.78c,25,22,25,1.8,1.2,1.0,200,0.25,300.0
39,6.76,25,22,25,1.8,1.2,1.0,200,0.25,300.0
40,6.75,25,22,25,1.8,1.2,1.0,200,0.25,300.0
41,6.74,25,22,25,1.8,1.2,1.0,200,0.25,300.0
42,6.73,25,22,25,1.8,1.2,1.0,200,0.25,300.0
43,6.72d,25,22,25,1.8,1.2,1.0,200,0.25,300.0
44,6.72c,25,22,25,1.8,1.2,1.0,200,0.25,300.0
45,6.71,25,22,25,1.8,1.2,1.0,200,0.25,300.0
46,6.69,25,22,25,1.8,1.2,1.0,200,0.25,300.0
47,6.68,25,22,25,1.8,1.2,1.0,200,0.25,300.0
48,6.67,25,22,25,1.8,1.2,1.0,200,0.25,300.0
49,6.65,25,22,25,1.8,1.2,1.0,200,0.25,300.0
50,6.60,25,22,25,1.8,1.2,1.0,200,0.25,300.0
51,6.59,25,22,25,1.8,1.2,1.0,200,0.25,300.0
52,6.52,25,22,25,1.8,1.2,1.0,200,0.25,300.0
53,6.50,25,22,25,1.8,1.2,1.0,200,0.25,300.0
54,6.49,25,22,25,1.8,1.2,1.0,200,0.25,300.0
55,6.47,25,22,25,1.8,1.2,1.0,200,0.25,300.0
56,6.45,25,22,25,1.8,1.2,1.0,200,0.25,290.0
57,6.44,25,22,25,1.8,1.2,1.0,200,0.25,290.0
58,6.43,25,22,25,1.8,1.2,1.0,200,0.25,290.0
59,6.39,25,22,25,2.4,1.2,1.5,200,0.25,300.0
60,6.38,25,22,25,2.4,1.2,1.5,200,0.25,290.0
61,6.37,25,22,25,2.4,1.2,1.5,200,0.25,290.0
62,6.36b,25,22,25,2.4,1.2,1.5,200,0.25,300.0
63,6.36,25,22,25,2.4,1.2,1.5,200,0.25,300.0
