,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,25,15,24,3.0,2.4,2.6,200,0.25,285.0
1,7.25,25,15,24,3.0,2.4,2.6,200,0.25,285.0
2,7.23,25,15,24,3.0,2.4,2.6,200,0.25,280.0
3,7.22,25,15,24,3.0,2.4,2.6,200,0.25,280.0
4,7.21d,25,15,24,3.0,2.4,2.6,200,0.25,280.0
5,7.21,25,15,24,3.0,2.1,2.6,200,0.25,280.0
6,7.20,25,15,24,3.0,1.8,2.6,200,0.25,280.0
7,7.16,25,15,24,3.0,1.8,2.6,200,1.75,280.0
8,7.15,25,15,24,3.0,1.8,2.6,200,1.5,280.0
9,7.14,25,15,24,3.0,1.8,2.6,200,1.5,280.0
10,7.12,25,15,24,3.0,1.8,2.6,200,1.5,280.0
11,7.10,25,15,24,3.0,1.8,2.6,200,1.5,280.0
12,7.07,25,15,24,3.0,1.8,2.6,200,1.5,280.0
13,7.06e,25,15,24,3.0,1.8,2.6,200,0.0,285.0
14,7.06,25,15,24,3.0,1.8,2.6,200,0.0,285.0
15,7.04,25,15,24,2.7,1.8,2.6,200,0.25,285.0
16,7.03,25,15,24,2.3,1.8,2.6,200,0.25,285.0
17,7.02,25,15,24,2.3,1.8,2.6,200,0.25,285.0
18,7.00,25,15,24,2.3,1.8,2.6,200,0.25,285.0
19,6.88f,25,15,24,2.3,1.8,2.6,200,0.25,285.0
20,6.88e,25,15,24,2.3,1.8,2.6,200,0.25,295.0
21,6.88d,25,15,24,2.3,1.8,2.6,200,0.25,295.0
22,6.88,25,15,24,2.3,1.8,2.6,200,0.25,295.0
23,6.87c,25,15,24,2.3,1.8,2.6,200,0.25,295.0
24,6.87,25,15,24,2.3,1.8,2.6,200,0.25,295.0
25,6.86,25,15,24,1.9,1.8,2.1,200,0.25,295.0
26,6.85,25,15,24,1.9,1.8,2.1,200,0.25,295.0
27,6.84,25,15,24,1.9,1.8,2.1,200,0.25,295.0
28,6.83d,25,15,24,1.9,1.8,2.1,200,0.25,295.0
29,6.79e,25,15,24,1.9,1.8,2.1,200,0.25,295.0
30,6.78,25,15,24,1.9,1.8,2.1,200,0.25,295.0
31,6.76,25,15,24,1.9,1.8,2.1,200,0.25,295.0
32,6.75b,25,15,24,1.9,1.8,2.1,200,0.25,295.0
33,6.75,25,15,24,1.9,1.8,2.1,200,0.25,295.0
