,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,25,20,18,3.4,2.2,1.6,200,2.75,310.0
1,7.26b,25,20,18,3.6,2.2,1.6,200,2.75,310.0
2,7.24,25,20,18,3.6,2.2,1.6,200,2.75,310.0
3,7.23,25,20,18,3.4,2.2,1.6,200,2.75,305.0
4,7.22c,25,20,18,3.4,2.2,1.6,200,2.75,305.0
5,7.22,25,20,18,3.4,2.2,1.6,200,2.75,295.0
6,7.21d,25,20,18,3.4,2.2,1.6,200,2.75,295.0
7,7.21,25,20,18,3.2,2.2,1.6,200,2.75,295.0
8,7.20d,25,20,18,2.8,2.2,1.6,200,2.75,295.0
9,7.20,25,20,18,2.8,2.2,1.6,200,2.75,290.0
10,7.14,25,20,18,2.8,2.2,1.6,200,4.25,290.0
11,7.13b,25,20,18,2.8,2.2,1.6,200,4.25,285.0
12,7.12,25,20,18,2.8,2.2,1.6,200,4.25,290.0
13,7.10,25,20,18,2.8,2.2,1.6,200,4.25,290.0
14,7.07,25,20,18,2.8,2.2,1.6,200,4.25,290.0
15,7.06,25,20,18,2.8,2.2,1.6,200,2.75,290.0
16,7.02,25,20,18,2.5,2.2,1.6,200,3.0,290.0
17,7.00,25,20,18,2.5,2.2,1.6,200,3.0,290.0
18,6.88e,25,20,18,2.5,2.2,1.6,200,3.0,290.0
19,6.87,25,20,18,2.5,2.2,1.6,200,3.0,290.0
20,6.84,25,20,18,2.5,2.2,1.6,200,3.0,290.0
21,6.83c,25,20,18,2.5,2.2,1.6,200,3.0,290.0
22,6.83,25,20,18,2.5,2.2,1.6,200,3.0,290.0
23,6.82,25,20,18,2.5,2.2,1.6,200,3.0,290.0
24,6.81,25,20,18,2.5,2.2,1.6,200,3.0,290.0
25,6.80,25,20,18,2.5,2.2,1.6,200,3.0,290.0
26,6.79,25,20,18,2.5,2.2,1.6,200,2.0,290.0
27,6.78,25,20,18,2.5,2.2,1.6,200,2.0,290.0
28,6.75,25,20,18,2.5,2.2,1.6,200,2.0,290.0
29,6.73,25,20,18,2.5,2.2,1.6,200,2.0,290.0
30,6.72d,25,20,18,2.5,2.2,1.6,200,1.25,290.0
31,6.72c,25,20,18,2.5,2.2,1.6,200,1.0,290.0
32,6.72,25,20,18,2.5,2.2,1.6,200,1.0,290.0
33,6.71,25,20,18,2.5,2.2,1.6,200,0.25,290.0
34,6.70,25,20,18,2.5,2.2,1.6,200,0.25,290.0
35,6.69,25,20,18,2.5,2.2,1.6,200,0.25,290.0
36,6.68,25,20,18,2.5,2.2,1.6,200,0.25,290.0
37,6.67,25,20,18,2.5,2.2,1.6,200,0.25,290.0
38,6.65,25,20,18,2.5,2.2,1.6,200,0.25,290.0
39,6.63,25,20,18,2.5,2.2,1.6,200,0.25,290.0
40,6.60,25,20,18,2.5,2.2,1.6,200,0.25,290.0
41,6.58,25,20,18,2.5,2.2,1.6,200,0.25,290.0
42,6.57,25,20,18,2.5,2.2,1.6,200,0.25,290.0
43,6.53,25,20,18,2.5,2.2,1.6,200,0.25,290.0
44,6.51,25,20,18,2.5,2.2,1.6,200,0.25,290.0
45,6.50,25,20,18,2.5,2.2,1.6,200,0.25,290.0
46,6.46,25,20,18,2.5,2.2,1.6,200,0.25,290.0
47,6.45,25,20,18,2.5,2.2,1.6,200,0.25,290.0
48,6.42,25,20,18,2.5,2.2,1.6,200,0.25,290.0
49,6.40,25,20,18,2.5,2.2,1.6,200,0.25,290.0
50,6.35,25,20,18,2.5,2.2,1.6,200,0.25,290.0
51,6.34,25,20,18,2.5,2.2,1.6,200,0.25,290.0
52,6.29,25,20,18,2.5,2.2,1.6,200,0.25,290.0
53,6.27,25,20,18,2.5,2.2,1.6,200,0.25,290.0
54,6.10,25,20,18,2.5,2.2,1.6,200,0.25,290.0
55,6.09,25,20,18,2.5,2.2,1.6,200,0.25,290.0
56,6.07,25,20,18,2.5,2.2,1.6,200,0.25,290.0
57,6.04,25,20,18,2.5,2.2,1.6,200,0.25,290.0
58,6.03,25,20,18,2.5,2.2,1.6,200,0.25,290.0
59,6.02,25,20,18,2.5,2.2,1.6,200,0.25,290.0
60,6.00,25,20,18,2.5,2.2,1.6,200,0.25,290.0
