,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,20,21,19,2.1,2.5,2.0,200,1.25,315.0
1,7.26a,20,21,19,2.1,2.5,2.0,200,1.25,315.0
2,7.25a,20,21,19,2.1,2.5,2.0,200,1.25,315.0
3,7.25,20,21,19,2.1,2.5,2.0,200,1.25,315.0
4,7.24,20,21,19,2.1,2.5,2.0,200,1.25,315.0
5,7.23e,20,21,19,2.1,2.5,2.0,200,1.25,315.0
6,7.23c,20,21,19,2.1,2.5,2.0,200,1.25,315.0
7,7.23,20,21,19,2.1,2.5,2.0,200,1.25,315.0
8,7.22f,20,21,19,2.1,2.5,2.0,200,1.25,315.0
9,7.22e,20,21,19,2.1,2.5,2.0,200,1.25,315.0
10,7.22d,20,21,19,2.1,2.5,2.0,200,1.25,315.0
11,7.22,20,21,19,2.1,2.5,2.0,200,0.5,315.0
12,7.21c,20,21,19,2.1,2.5,2.0,200,0.5,315.0
13,7.21,20,21,19,2.1,3.1,2.0,200,0.5,315.0
14,7.20c,20,21,19,2.1,2.7,2.0,200,0.5,315.0
15,7.20,20,21,19,2.1,3.0,2.0,200,0.5,315.0
16,7.16,20,21,19,2.1,3.0,2.0,200,2.0,315.0
17,7.15,20,21,19,2.1,3.0,2.0,200,2.0,315.0
18,7.12,20,21,19,2.1,3.0,2.0,200,2.0,315.0
19,7.07,20,21,19,2.1,3.0,2.0,200,2.0,315.0
20,7.06d,20,21,19,2.1,3.0,2.0,200,0.5,320.0
21,7.06,20,21,19,2.1,3.0,2.0,200,0.5,315.0
22,7.02,20,21,19,1.8,3.0,2.0,200,0.75,315.0
23,7.00,20,21,19,1.8,3.0,2.0,200,0.75,315.0
24,6.88f,20,21,19,1.8,3.0,2.0,200,0.75,315.0
25,6.88e,20,21,19,1.8,3.0,2.0,200,0.75,315.0
26,6.88,20,21,19,1.8,3.0,2.0,200,0.75,315.0
27,6.87d,20,21,19,1.8,3.0,2.0,200,0.75,315.0
28,6.87c,20,21,19,1.8,3.0,2.0,200,0.75,315.0
29,6.87b,20,21,19,1.8,3.0,2.0,200,0.75,315.0
30,6.87,20,21,19,1.8,3.0,2.0,200,0.75,315.0
31,6.86,20,21,19,1.8,3.0,2.0,200,0.75,315.0
32,6.85,20,21,19,1.8,3.0,2.0,200,0.75,315.0
33,6.84,20,21,19,1.8,3.0,2.0,200,0.75,315.0
