,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,22,17,14,2.9,1.8,2.8,200,0.0,290.0
1,7.23,22,17,14,2.9,1.8,2.8,200,0.0,290.0
2,7.22c,22,17,14,2.9,1.8,2.8,200,0.0,290.0
3,7.22,22,17,14,2.9,1.8,2.8,200,0.0,290.0
4,7.21,22,17,14,2.9,1.8,2.8,200,0.0,290.0
5,7.20e,22,17,14,2.5,1.8,2.8,200,0.0,290.0
6,7.20d,22,17,14,2.2,1.8,2.8,200,0.0,290.0
7,7.20,22,17,14,2.2,1.8,2.8,200,0.0,285.0
8,7.17,22,17,14,2.2,1.8,2.8,200,1.5,285.0
9,7.16,22,17,14,2.2,1.8,2.8,200,1.5,285.0
10,7.13b,22,17,14,2.2,1.8,2.8,200,1.5,285.0
11,7.07,22,17,14,2.2,1.8,2.8,200,1.5,290.0
12,7.06e,22,17,14,2.2,1.8,2.8,200,0.0,290.0
13,7.06d,22,17,14,2.2,1.8,2.8,200,0.0,290.0
14,7.06,22,17,14,2.5,1.8,2.8,200,0.0,290.0
15,7.05,22,17,14,2.2,1.8,2.8,200,0.25,290.0
16,7.04,22,17,14,2.2,1.8,2.8,200,0.25,290.0
17,7.03,22,17,14,2.2,1.8,2.8,200,0.25,290.0
18,7.02,22,17,14,2.2,1.8,2.8,200,0.25,290.0
19,7.00,22,17,14,2.2,1.8,2.8,200,0.25,290.0
20,6.87,22,17,14,2.2,1.8,2.8,200,0.25,290.0
21,6.86,22,17,14,2.2,1.8,2.8,200,0.25,290.0
22,6.85,22,17,14,2.2,1.8,2.8,200,0.25,290.0
23,6.84c,22,17,14,2.2,1.8,2.8,200,0.25,290.0
24,6.84,22,17,14,2.2,1.8,2.8,200,0.25,290.0
25,6.83,22,17,14,2.2,1.8,2.8,200,0.25,295.0
26,6.81,22,17,14,2.2,1.8,2.8,200,0.25,295.0
27,6.80,22,17,14,2.2,1.8,2.8,200,0.25,295.0
28,6.79,22,17,14,2.2,1.8,2.8,200,0.25,295.0
29,6.78,22,17,14,2.2,1.8,2.8,200,0.25,295.0
30,6.75,22,17,14,2.2,1.8,2.8,200,0.25,295.0
31,6.74,22,17,14,2.2,1.8,2.8,200,0.25,295.0
32,6.73,22,17,14,2.2,1.8,2.8,200,0.25,295.0
33,6.72d,22,17,14,2.2,1.8,2.8,200,0.25,295.0
34,6.72c,22,17,14,2.2,1.8,2.8,200,0.25,295.0
35,6.72,22,17,14,2.2,1.8,2.8,200,0.25,295.0
36,6.71,22,17,14,2.2,1.8,2.8,200,0.25,295.0
37,6.67,22,17,14,2.2,1.8,2.8,200,0.25,295.0
38,6.63,22,17,14,2.2,1.8,2.8,200,0.25,295.0
39,6.60,22,17,14,2.2,1.8,2.8,200,0.25,295.0
40,6.55,22,17,14,2.2,1.8,2.2,200,0.25,295.0
41,6.52,22,17,14,2.2,1.8,2.2,200,0.25,295.0
42,6.49,22,17,14,2.2,1.8,2.2,200,0.25,295.0
43,6.48b,22,17,14,2.7,1.8,2.2,200,0.25,295.0
44,6.47,22,17,14,2.7,1.8,2.2,200,0.25,295.0
45,6.44,22,17,14,2.7,1.8,2.2,200,0.25,295.0
46,6.42,22,17,14,2.7,1.8,2.2,200,0.25,300.0
47,6.35,22,17,14,2.7,1.8,2.2,200,0.25,305.0
48,6.34,22,17,14,2.7,1.8,2.2,200,0.25,305.0
49,6.33,22,17,14,2.7,1.8,2.2,200,0.25,305.0
50,6.20,22,17,14,2.7,1.8,2.2,200,0.25,290.0
51,6.19,22,17,14,2.7,1.8,2.2,200,0.25,290.0
52,6.17,22,17,14,2.7,1.8,2.2,200,0.25,290.0
53,6.11,22,17,14,2.7,1.8,2.2,200,0.25,290.0
54,6.10,22,17,14,2.7,1.8,2.2,200,0.25,290.0
55,6.09b,22,17,14,2.7,1.8,2.2,200,0.25,290.0
56,6.08,22,17,14,2.7,1.8,2.2,200,0.25,290.0
57,6.07,22,17,14,2.7,1.8,2.2,200,0.25,290.0
