,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,15,18,2.8,2.8,2,200,0.0,275.0
1,7.26b,18,15,18,2.8,2.8,2,200,0.0,275.0
2,7.26a,18,15,18,2.8,2.8,2,200,0.0,275.0
3,7.25,18,15,18,2.8,2.8,2,200,0.0,275.0
4,7.22g,18,15,18,2.8,2.8,2,200,0.0,275.0
5,7.22e,18,15,18,2.8,2.8,2,200,0.0,275.0
6,7.22,18,15,18,2.8,2.8,2,200,0.0,275.0
7,7.21d,18,15,18,2.8,2.8,2,200,0.0,275.0
8,7.21c,18,15,18,2.8,2.8,2,200,0.0,275.0
9,7.21,18,15,18,2.8,2.5,2,200,0.0,275.0
10,7.20d,18,15,18,2.8,2.2,2,200,0.0,275.0
11,7.20,18,15,18,2.8,2.2,2,200,0.0,270.0
12,7.19b,18,15,18,2.8,2.2,2,200,1.5,270.0
13,7.19,18,15,18,2.8,2.2,2,200,1.5,270.0
14,7.16,18,15,18,2.8,2.2,2,200,1.5,270.0
15,7.15,18,15,18,2.8,2.2,2,200,1.5,270.0
16,7.14,18,15,18,2.8,2.2,2,200,1.5,270.0
17,7.07d,18,15,18,2.8,2.2,2,200,1.5,270.0
18,7.07c,18,15,18,2.8,2.2,2,200,1.5,270.0
19,7.07,18,15,18,2.8,2.2,2,200,1.5,270.0
20,7.06e,18,15,18,2.8,2.2,2,200,0.0,295.0
21,7.06b,18,15,18,2.8,2.2,2,200,0.0,295.0
22,7.06,18,15,18,2.8,2.2,2,200,0.0,295.0
23,7.05,18,15,18,2.5,2.2,2,200,0.25,295.0
24,7.04,18,15,18,2.5,2.2,2,200,0.25,295.0
25,7.03,18,15,18,2.5,2.2,2,200,0.25,295.0
26,7.02,18,15,18,2.5,2.2,2,200,0.25,295.0
27,7.01,18,15,18,2.5,2.2,2,200,0.25,295.0
28,7.00,18,15,18,2.5,2.2,2,200,0.25,295.0
29,6.87,18,15,18,2.5,2.2,2,200,0.25,295.0
30,6.86,18,15,18,2.5,2.2,2,200,0.25,295.0
31,6.85b,18,15,18,2.5,2.2,2,200,0.25,295.0
32,6.84c,18,15,18,2.5,2.2,2,200,0.25,295.0
33,6.84,18,15,18,2.5,2.2,2,200,0.25,295.0
34,6.83,18,15,18,2.5,2.2,2,200,0.25,295.0
35,6.82,18,15,18,2.5,2.2,2,200,0.25,295.0
36,6.81,18,15,18,2.5,2.2,2,200,0.25,295.0
37,6.80,18,15,18,2.5,2.2,2,200,0.25,295.0
38,6.79,18,15,18,2.5,2.2,2,200,0.25,295.0
39,6.78,18,15,18,2.5,2.2,2,200,0.25,295.0
40,6.75,18,15,18,2.5,2.2,2,200,0.25,295.0
41,6.72d,18,15,18,2.5,2.2,2,200,0.25,295.0
42,6.72c,18,15,18,2.5,2.2,2,200,0.25,295.0
43,6.71,18,15,18,2.5,2.2,2,200,0.25,310.0
44,6.69,18,15,18,2.5,2.2,2,200,0.25,315.0
45,6.68,18,15,18,2.5,2.2,2,200,0.25,315.0
46,6.63,18,15,18,2.5,2.2,2,200,0.25,315.0
47,6.60,18,15,18,2.5,2.2,2,200,0.25,315.0
48,6.55,18,15,18,2.5,2.2,2,200,0.25,315.0
49,6.54,18,15,18,2.5,2.2,2,200,0.25,315.0
50,6.52,18,15,18,2.5,2.2,2,200,0.25,315.0
51,6.50,18,15,18,2.5,2.2,2,200,0.25,315.0
52,6.49,18,15,18,2.5,2.2,2,200,0.25,315.0
53,6.40,18,15,18,2.5,2.2,2,200,0.25,315.0
54,6.39,18,15,18,2.5,2.2,2,200,0.25,315.0
55,6.35,18,15,18,2.5,2.2,2,200,0.25,315.0
56,6.34,18,15,18,2.5,2.2,2,200,0.25,315.0
57,6.24,18,15,18,2.5,2.2,2,200,0.25,315.0
58,6.20,18,15,18,2.5,2.2,2,200,0.25,315.0
59,6.18,18,15,18,2.5,2.2,2,200,0.25,315.0
60,6.17,18,15,18,2.5,2.2,2,200,0.25,315.0
61,6.15,18,15,18,2.5,2.2,2,200,0.25,313.0
62,6.10,18,15,18,2.5,2.2,2,200,0.25,313.0
63,6.00,18,15,18,2.5,2.2,2,200,0.25,313.0
64,5.74,18,15,18,2.0,2.2,2,200,0.25,313.0
65,5.72,18,15,18,2.0,2.2,2,200,0.25,313.0
66,5.65,18,15,18,2.0,2.2,2,200,0.25,313.0
67,5.64,18,15,18,2.0,2.2,2,200,0.25,313.0
68,5.63,18,15,18,2.0,2.2,2,200,0.25,313.0
69,5.62,18,15,18,2.0,2.2,2,200,0.25,313.0
