,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,27,15,15,4.6,1.0,1.6,200,0.0,300.0
1,7.26b,27,15,15,4.6,1.0,1.6,200,0.0,300.0
2,7.25c,27,15,15,4.6,1.0,1.6,200,0.0,300.0
3,7.23,27,15,15,4.6,1.0,1.6,200,0.0,300.0
4,7.22f,27,15,15,4.6,1.0,1.6,200,0.0,300.0
5,7.22e,27,15,15,4.6,1.0,1.6,200,0.0,300.0
6,7.22d,27,15,15,4.6,1.0,1.6,200,0.0,300.0
7,7.22,27,15,15,4.6,1.0,1.6,200,0.0,300.0
8,7.21d,27,15,15,4.6,1.0,1.6,200,0.0,300.0
9,7.21,27,15,15,4.6,1.0,1.6,200,0.0,300.0
10,7.20d,27,15,15,4.0,1.0,1.6,200,0.0,300.0
11,7.20c,27,15,15,4.0,1.0,1.6,200,0.0,295.0
12,7.20b,27,15,15,4.0,1.0,1.6,200,0.0,295.0
13,7.20,27,15,15,4.0,1.0,1.6,200,0.0,295.0
14,7.19,27,15,15,4.3,1.0,1.6,200,1.5,295.0
15,7.18,27,15,15,4.3,1.0,1.6,200,1.5,295.0
16,7.16,27,15,15,4.3,1.0,1.6,200,1.5,295.0
17,7.13b,27,15,15,4.3,1.0,1.6,200,1.5,295.0
18,7.10,27,15,15,4.3,1.0,1.6,200,1.5,300.0
19,7.07c,27,15,15,4.3,1.0,1.6,200,1.5,300.0
20,7.07,27,15,15,4.3,1.6,1.6,200,1.5,300.0
21,7.06,27,15,15,4.3,1.6,1.6,200,0.0,300.0
22,7.04,27,15,15,4.0,1.6,1.6,200,0.25,300.0
23,7.03,27,15,15,4.0,1.6,1.6,200,0.25,300.0
24,7.02,27,15,15,4.0,1.6,1.6,200,0.25,300.0
25,7.01,27,15,15,4.0,1.6,1.6,200,0.25,300.0
26,7.00,27,15,15,4.0,2.0,1.6,200,0.25,300.0
27,6.88f,27,15,15,4.0,2.0,1.6,200,0.25,300.0
28,6.88b,27,15,15,4.0,2.0,1.6,200,0.25,300.0
29,6.88,27,15,15,4.0,2.0,1.6,200,0.25,300.0
30,6.87,27,15,15,3.8,2.0,1.6,200,0.25,300.0
31,6.86,27,15,15,3.8,2.0,1.6,200,0.25,300.0
32,6.85,27,15,15,3.8,2.0,1.6,200,0.25,300.0
33,6.84b,27,15,15,3.8,2.0,1.6,200,0.25,300.0
34,6.84,27,15,15,3.8,2.0,1.6,200,0.25,300.0
35,6.82,27,15,15,3.8,2.0,1.6,200,0.25,300.0
36,6.81,27,15,15,3.8,2.0,1.6,200,0.25,300.0
37,6.80,27,15,15,3.8,2.0,1.6,200,0.25,300.0
38,6.79,27,15,15,3.8,2.0,1.6,200,0.25,300.0
39,6.78,27,15,15,3.8,2.0,1.6,200,0.25,300.0
40,6.77,27,15,15,3.8,2.0,1.6,200,0.25,300.0
41,6.76c,27,15,15,3.8,2.0,1.6,200,0.25,300.0
42,6.76,27,15,15,3.8,2.0,1.6,200,0.25,300.0
43,6.75,27,15,15,2.6,2.0,1.6,200,0.25,300.0
44,6.74,27,15,15,2.6,2.0,1.6,200,0.25,300.0
45,6.73,27,15,15,2.6,2.0,1.6,200,0.25,300.0
46,6.72d,27,15,15,2.6,2.0,1.6,200,0.25,300.0
47,6.72c,27,15,15,2.6,2.0,1.6,200,0.25,300.0
48,6.72,27,15,15,2.6,2.0,1.6,200,0.25,300.0
49,6.70,27,15,15,2.6,2.0,1.6,200,0.25,300.0
50,6.67,27,15,15,2.6,2.0,1.6,200,0.25,300.0
51,6.63,27,15,15,2.6,2.0,1.6,200,0.25,300.0
52,6.61,27,15,15,2.6,2.0,1.6,200,0.25,300.0
53,6.48b,27,15,15,2.6,2.0,1.6,200,0.25,300.0
54,6.42,27,15,15,2.6,2.0,1.6,200,0.25,300.0
55,6.35,27,15,15,2.6,2.0,1.6,200,0.25,300.0
56,6.34,27,15,15,2.6,2.0,1.6,200,0.25,300.0
57,6.27b,27,15,15,2.6,2.0,1.6,200,0.25,300.0
58,6.21,27,15,15,2.6,2.0,1.6,200,0.25,300.0
59,6.20,27,15,15,2.6,2.0,1.6,200,0.25,300.0
60,6.00,27,15,15,2.6,2.0,1.6,200,0.25,300.0
61,5.65,27,15,15,2.6,2.0,1.6,200,0.25,300.0
62,5.58,27,15,15,2.6,2.0,1.6,200,0.25,300.0
63,5.55,27,15,15,2.6,2.0,1.6,200,0.25,300.0
64,5.53,27,15,15,2.6,2.0,1.6,200,0.25,300.0
