,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,26,13,18,3.5,2.3,1.3,200,0.0,315.0
1,7.25c,26,13,18,3.5,2.3,1.3,200,0.0,315.0
2,7.23,26,13,18,3.7,2.3,1.3,200,0.0,315.0
3,7.22g,26,13,18,3.7,2.3,1.3,200,0.0,315.0
4,7.22f,26,13,18,3.7,2.3,1.3,200,0.0,310.0
5,7.22c,26,13,18,3.7,2.3,1.3,200,0.0,310.0
6,7.22,26,13,18,3.7,2.3,1.3,200,0.0,310.0
7,7.21,26,13,18,3.7,2.3,1.3,200,0.0,310.0
8,7.20,26,13,18,3.2,2.3,1.3,200,0.0,310.0
9,7.18,26,13,18,3.2,2.3,1.3,200,1.5,310.0
10,7.17,26,13,18,3.2,2.3,1.3,200,1.5,310.0
11,7.16,26,13,18,3.2,2.3,1.3,200,1.5,310.0
12,7.13b,26,13,18,3.2,2.3,1.3,200,1.5,310.0
13,7.07c,26,13,18,3.2,2.3,1.3,200,1.5,315.0
14,7.07,26,13,18,3.2,2.3,1.3,200,1.5,315.0
15,7.06e,26,13,18,3.2,2.3,1.3,200,0.0,315.0
16,7.06d,26,13,18,3.2,2.3,1.3,200,0.0,315.0
17,7.06,26,13,18,3.2,2.3,1.3,200,0.0,315.0
18,7.05,26,13,18,2.9,2.3,1.3,200,0.25,315.0
19,7.02,26,13,18,2.9,2.3,1.3,200,0.25,315.0
20,7.00,26,13,18,2.9,2.3,1.3,200,0.25,315.0
21,6.88,26,13,18,2.9,2.3,1.3,200,0.25,315.0
22,6.87,26,13,18,2.9,2.3,1.3,200,0.25,315.0
23,6.86,26,13,18,2.9,2.3,1.3,200,0.25,315.0
24,6.84,26,13,18,2.7,2.3,1.3,200,0.25,315.0
25,6.83,26,13,18,2.7,2.3,1.3,200,0.25,315.0
26,6.82,26,13,18,2.7,2.3,1.3,200,0.25,315.0
27,6.80,26,13,18,2.7,2.3,1.3,200,0.25,315.0
28,6.79,26,13,18,2.7,2.3,1.3,200,0.25,315.0
29,6.78,26,13,18,2.7,2.3,1.3,200,0.25,315.0
30,6.77,26,13,18,2.7,2.3,1.3,200,0.25,315.0
31,6.76,26,13,18,2.7,1.2,1.3,200,0.25,315.0
32,6.75,26,13,18,2.7,1.2,1.3,200,0.25,315.0
33,6.74,26,13,18,2.4,1.2,1.3,200,0.25,315.0
34,6.72d,26,13,18,2.4,1.2,1.3,200,0.25,315.0
35,6.72c,26,13,18,2.4,1.2,1.3,200,0.25,315.0
36,6.72,26,13,18,2.4,1.2,1.3,200,0.25,315.0
37,6.71,26,13,18,2.4,1.2,1.3,200,0.25,315.0
38,6.69,26,13,18,2.4,1.2,1.3,200,0.25,315.0
39,6.68,26,13,18,2.4,1.2,1.3,200,0.25,310.0
40,6.67,26,13,18,2.4,1.2,1.3,200,0.25,310.0
41,6.66,26,13,18,2.4,1.2,1.3,200,0.25,310.0
42,6.64,26,13,18,2.4,1.2,1.3,200,0.25,310.0
43,6.63,26,13,18,2.4,1.2,1.3,200,0.25,310.0
44,6.60,26,13,18,2.4,1.2,1.3,200,0.25,310.0
45,6.57,26,13,18,2.4,1.2,1.3,200,0.25,310.0
46,6.55,26,13,18,2.4,1.2,1.7,200,0.25,310.0
47,6.54,26,13,18,2.4,1.2,1.7,200,0.25,310.0
48,6.53,26,13,18,2.9,1.2,1.7,200,0.25,310.0
