,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,20,12,21,3.1,1.8,3.1,200,0.0,295.0
1,7.26b,20,12,21,3.1,1.8,3.1,200,0.0,295.0
2,7.25,20,12,21,3.1,1.8,3.1,200,0.0,295.0
3,7.24,20,12,21,3.1,1.8,3.1,200,0.0,295.0
4,7.23,20,12,21,3.1,1.8,3.1,200,0.0,295.0
5,7.22f,20,12,21,3.1,1.8,3.1,200,0.0,295.0
6,7.22e,20,12,21,3.1,1.8,3.1,200,0.0,295.0
7,7.22d,20,12,21,3.1,1.8,3.1,200,0.0,295.0
8,7.22c,20,12,21,3.1,1.8,3.1,200,0.0,300.0
9,7.22,20,12,21,3.1,1.8,3.1,200,0.0,300.0
10,7.21b,20,12,21,3.1,1.8,3.1,200,0.0,300.0
11,7.21,20,12,21,3.1,1.2,3.1,200,0.0,300.0
12,7.20e,20,12,21,3.1,1.2,2.7,200,0.0,300.0
13,7.20d,20,12,21,3.1,1.2,2.7,200,0.0,300.0
14,7.20,20,12,21,3.1,1.2,2.7,200,0.0,295.0
15,7.15,20,12,21,2.6,1.2,2.7,200,1.5,295.0
16,7.14,20,12,21,2.6,1.2,2.7,200,1.5,295.0
17,7.13b,20,12,21,2.6,1.2,2.7,200,1.5,295.0
18,7.12,20,12,21,2.6,1.2,2.7,200,1.5,295.0
19,7.10,20,12,21,2.6,1.2,2.7,200,1.5,295.0
20,7.07,20,12,21,2.6,1.2,2.7,200,1.5,295.0
21,7.06e,20,12,21,2.6,1.2,2.7,200,0.0,295.0
22,7.06d,20,12,21,2.6,1.2,2.7,200,0.0,295.0
23,7.06,20,12,21,2.6,1.2,2.7,200,0.0,295.0
24,7.03,20,12,21,2.3,1.2,2.7,200,0.25,295.0
25,7.02,20,12,21,2.3,1.2,2.7,200,0.25,295.0
26,7.00,20,12,21,2.3,1.2,2.7,200,0.25,300.0
27,6.87,20,12,21,2.3,1.2,2.7,200,0.25,300.0
28,6.86c,20,12,21,2.3,1.2,2.7,200,0.25,300.0
29,6.86,20,12,21,2.3,1.2,2.7,200,0.25,300.0
30,6.85,20,12,21,2.3,1.2,2.7,200,0.25,300.0
31,6.84,20,12,21,2.3,1.2,2.7,200,0.25,300.0
32,6.83,20,12,21,2.3,1.2,2.7,200,0.25,300.0
33,6.82,20,12,21,2.3,1.2,2.7,200,0.25,300.0
34,6.80,20,12,21,2.3,1.2,2.7,200,0.25,300.0
35,6.79,20,12,21,2.3,1.2,2.7,200,0.25,300.0
36,6.78,20,12,21,2.3,1.2,2.7,200,0.25,300.0
37,6.76,20,12,21,2.3,1.2,2.7,200,0.25,300.0
38,6.75,20,12,21,2.3,1.2,2.7,200,0.25,300.0
39,6.74,20,12,21,2.3,1.2,2.7,200,0.25,305.0
40,6.73,20,12,21,2.3,1.2,2.7,200,0.25,305.0
41,6.72d,20,12,21,2.3,1.2,2.7,200,0.25,305.0
42,6.72c,20,12,21,2.3,1.2,2.7,200,0.25,305.0
43,6.72,20,12,21,2.3,1.2,2.7,200,0.25,305.0
44,6.65,20,12,21,2.3,1.2,2.7,200,0.25,305.0
45,6.64,20,12,21,2.3,1.2,2.7,200,0.25,305.0
46,6.63,20,12,21,2.3,1.2,2.7,200,0.25,305.0
47,6.60,20,12,21,2.3,1.2,2.7,200,0.25,305.0
48,6.59,20,12,21,2.3,1.2,2.7,200,0.25,305.0
49,6.58,20,12,21,2.3,1.2,2.7,200,0.25,305.0
50,6.57,20,12,21,2.3,1.2,2.7,200,0.25,305.0
51,6.46,20,12,21,2.3,1.2,2.7,200,0.25,305.0
52,6.45,20,12,21,2.3,1.2,2.7,200,0.25,305.0
53,6.44b,20,12,21,2.3,1.2,2.7,200,0.25,305.0
54,6.44,20,12,21,2.3,1.2,2.7,200,0.25,305.0
