,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,20,18,18,2.0,1.6,3.5,200,0.0,290.0
1,7.26b,20,18,18,2.0,1.6,3.5,200,0.0,290.0
2,7.24,20,18,18,2.0,1.6,3.5,200,0.0,290.0
3,7.23,20,18,18,2.0,1.6,3.5,200,0.0,290.0
4,7.22f,20,18,18,2.0,1.6,3.5,200,0.0,290.0
5,7.22d,20,18,18,2.0,1.6,3.5,200,0.0,290.0
6,7.22c,20,18,18,2.0,1.6,3.5,200,0.0,290.0
7,7.22b,20,18,18,2.0,1.6,3.5,200,0.0,290.0
8,7.22,20,18,18,2.0,1.6,3.5,200,0.0,290.0
9,7.21,20,18,18,2.0,1.6,3.5,200,0.0,290.0
10,7.20,20,18,18,2.0,1.6,3.0,200,0.0,295.0
11,7.19c,20,18,18,1.8,1.6,3.0,200,1.5,295.0
12,7.19b,20,18,18,1.8,1.6,3.0,200,1.5,295.0
13,7.18,20,18,18,1.8,1.6,3.0,200,1.5,295.0
14,7.17,20,18,18,1.8,1.6,3.0,200,1.5,295.0
15,7.16,20,18,18,1.8,1.6,3.0,200,1.5,295.0
16,7.15,20,18,18,1.8,1.6,3.0,200,1.5,295.0
17,7.14,20,18,18,1.8,1.6,3.0,200,1.5,295.0
18,7.13b,20,18,18,1.8,1.6,3.0,200,1.5,295.0
19,7.12,20,18,18,1.8,1.6,3.0,200,1.5,295.0
20,7.10,20,18,18,1.8,1.6,3.0,200,1.5,295.0
21,7.07b,20,18,18,1.8,1.6,3.0,200,1.5,295.0
22,7.07,20,18,18,1.8,1.6,3.0,200,1.5,295.0
