,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,24,11,15,3.7,0.9,2.1,150.0,0.0,285.0
1,7.26b,24,11,15,3.7,0.9,2.1,150.0,0.0,285.0
2,7.24,24,11,15,3.7,0.9,2.1,150.0,0.0,285.0
3,7.23f,24,11,15,4.0,0.9,2.1,150.0,0.0,285.0
4,7.23,24,11,15,4.0,0.9,2.1,150.0,0.0,285.0
5,7.22,24,11,15,4.0,0.9,2.1,150.0,0.0,285.0
6,7.21,24,11,15,4.0,0.9,2.1,150.0,0.0,285.0
7,7.20d,24,11,15,3.5,0.9,2.1,150.0,0.0,285.0
8,7.20c,24,11,15,3.5,0.9,2.1,150.0,0.0,280.0
9,7.20,24,11,15,3.5,0.9,2.1,150.0,0.0,280.0
10,7.18,24,11,15,3.5,0.9,2.1,150.0,1.5,280.0
11,7.16,24,11,15,3.5,0.9,2.1,150.0,1.5,285.0
12,7.13b,24,11,15,3.5,0.9,2.1,150.0,1.5,285.0
13,7.10,24,11,15,3.5,0.9,2.1,150.0,1.5,290.0
14,7.07,24,11,15,3.5,0.9,2.1,150.0,1.5,290.0
15,7.06d,24,11,15,3.5,0.9,2.1,150.0,0.0,290.0
16,7.06c,24,11,15,3.5,0.9,2.1,150.0,0.0,290.0
17,7.06,24,11,15,3.5,0.9,2.1,150.0,0.0,290.0
18,7.05,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
19,7.02,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
20,7.01,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
21,7.00,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
22,6.88,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
23,6.87d,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
24,6.87c,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
25,6.86b,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
26,6.86,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
27,6.85b,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
28,6.85,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
29,6.82,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
30,6.81b,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
31,6.81,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
32,6.79,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
33,6.78,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
34,6.77,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
35,6.76,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
36,6.75,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
37,6.74,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
38,6.73,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
39,6.72d,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
40,6.72c,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
41,6.72,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
42,6.70,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
43,6.69,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
44,6.68,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
45,6.67,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
46,6.66b,24,11,15,3.2,0.9,2.1,150.0,0.25,290.0
47,6.66,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
48,6.60,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
49,6.58,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
50,6.56,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
51,6.54,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
52,6.52,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
53,6.49b,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
54,6.44,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
55,6.41,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
56,6.39,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
57,6.36,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
58,6.35,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
59,6.24,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
60,6.13,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
61,6.12,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
62,6.06,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
63,6.05,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
64,6.04,24,11,15,3.2,0.9,2.1,150.0,0.25,300.0
65,6.00,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
66,5.80,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
67,5.79,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
68,5.78,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
69,5.72,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
70,5.71,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
71,5.59,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
72,5.57,24,11,15,3.2,0.9,2.1,150.0,0.25,280.0
73,5.55,24,11,15,3.6,1.0,2.3,150.0,0.25,280.0
74,5.54,24,11,15,4.25,1.0,2.3,150.0,0.25,280.0
75,5.52,24,11,15,4.25,1.0,2.3,150.0,0.25,280.0
76,5.50,24,11,15,4.0,1.0,2.3,150.0,0.25,280.0
77,5.40,24,11,15,4.0,1.0,2.3,100.0,0.25,280.0
78,5.36,24,11,15,4.0,1.0,2.3,100.0,0.25,280.0
79,5.35,24,11,15,4.0,1.0,2.3,100.0,0.25,280.0
80,5.31,24,11,15,4.0,1.0,2.3,100.0,0.25,280.0
81,5.10,24,11,15,4.0,1.25,1.45,100.0,0.25,280.0
82,4.0beta10,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
83,4.0beta9,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
84,4.0beta6,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
85,4.0beta5,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
86,4.0beta3,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
87,4.0beta2,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
88,3.2j,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
89,3.00a,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
90,2.60,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
91,0.96b,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
92,0.60,24,11,15,1.5,1.5,3.0,100.0,0.25,280.0
