,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,19,19,18,3.4,2.0,1.7,200,0.0,310.0
1,7.26b,19,19,18,3.4,2.0,1.7,200,0.0,310.0
2,7.26a,19,19,18,3.4,2.0,1.7,200,0.0,310.0
3,7.25,19,19,18,3.6,2.0,1.7,200,0.0,310.0
4,7.24,19,19,18,3.6,2.0,1.7,200,0.0,305.0
5,7.23,19,19,18,3.6,2.0,1.7,200,0.0,295.0
6,7.22f,19,19,18,3.6,2.0,1.7,200,0.0,295.0
7,7.22c,19,19,18,3.6,2.0,1.7,200,0.0,295.0
8,7.22,19,19,18,3.6,2.0,1.7,200,0.0,295.0
9,7.21d,19,19,18,3.6,2.0,1.7,200,0.0,295.0
10,7.21,19,19,18,3.6,2.0,1.7,200,0.0,295.0
11,7.20d,19,19,18,3.1,2.0,1.7,200,0.0,285.0
12,7.20,19,19,18,3.1,2.0,1.7,200,0.0,280.0
13,7.18,19,19,18,3.1,2.0,1.7,200,1.5,280.0
14,7.16,19,19,18,3.1,2.0,1.7,200,1.5,280.0
15,7.13b,19,19,18,3.1,2.0,1.7,200,1.5,285.0
16,7.10,19,19,18,3.1,2.0,1.7,200,1.5,290.0
17,7.07b,19,19,18,3.1,1.7,1.7,200,1.5,290.0
18,7.07,19,19,18,3.1,1.7,1.7,200,1.5,290.0
19,7.06,19,19,18,3.1,1.7,1.7,200,0.0,290.0
20,7.05,19,19,18,2.8,1.7,1.7,200,0.25,290.0
21,7.03,19,19,18,2.8,1.7,1.7,200,0.25,290.0
22,7.02,19,19,18,2.8,1.7,1.7,200,0.25,290.0
23,7.00,19,19,18,2.8,1.7,1.7,200,0.25,290.0
24,6.87,19,19,18,2.8,1.7,1.7,200,0.25,290.0
25,6.86,19,19,18,2.8,1.7,1.7,200,0.25,290.0
26,6.85,19,19,18,2.8,1.7,1.7,200,0.25,290.0
27,6.84,19,19,18,2.8,1.7,1.7,200,0.25,290.0
28,6.83,19,19,18,2.8,1.7,1.7,200,0.25,290.0
29,6.80,19,19,18,2.8,1.7,1.7,200,0.25,290.0
30,6.78,19,19,18,2.8,1.7,1.7,200,0.25,290.0
31,6.75,19,19,18,2.8,1.7,1.7,200,0.25,290.0
32,6.73,19,19,18,2.8,1.7,1.7,200,0.25,290.0
33,6.72d,19,19,18,2.8,1.7,1.7,200,0.25,290.0
34,6.72c,19,19,18,2.8,1.7,1.7,200,0.25,290.0
35,6.72,19,19,18,2.8,1.7,1.7,200,0.25,290.0
36,6.71,19,19,18,2.8,1.7,1.7,200,0.25,290.0
37,6.54,19,19,18,2.8,1.7,1.7,200,0.25,290.0
38,6.52,19,19,18,2.8,1.7,1.7,200,0.25,290.0
39,6.51,19,19,18,2.8,1.7,1.7,200,0.25,290.0
40,6.50,19,19,18,2.8,1.7,1.7,200,0.25,290.0
41,6.45,19,19,18,2.8,1.7,1.7,200,0.25,290.0
42,6.35,19,19,18,2.8,1.7,1.7,200,0.25,290.0
43,6.30,19,19,18,2.8,1.7,1.7,200,0.25,290.0
44,6.25,19,19,18,2.8,1.7,1.7,200,0.25,290.0
45,6.20,19,19,18,2.8,1.7,1.7,200,0.25,290.0
46,6.19b,19,19,18,2.8,1.7,1.7,200,0.25,290.0
47,6.19,19,19,18,2.8,1.7,1.7,200,0.25,290.0
48,6.17,19,19,18,2.8,1.7,1.7,200,0.25,290.0
49,6.11,19,19,18,2.8,1.7,1.7,200,0.25,300.0
50,6.09,19,19,18,2.8,1.7,1.7,200,0.25,300.0
51,6.04,19,19,18,2.8,1.7,1.7,200,0.25,300.0
52,6.03,19,19,18,2.8,1.7,1.7,200,0.25,300.0
53,6.00,19,19,18,2.8,1.7,1.7,200,0.25,300.0
54,5.84,19,19,18,2.8,1.7,1.7,200,0.25,300.0
55,5.78,19,19,18,2.8,1.7,1.7,200,0.25,300.0
56,5.72,19,19,18,2.8,1.7,1.7,200,0.25,300.0
57,5.58,19,19,18,2.8,1.7,1.7,200,0.25,300.0
58,5.57,19,19,18,2.8,1.75,1.8,200,0.25,300.0
59,5.55,19,19,18,2.8,1.75,1.8,200,0.25,300.0
60,5.50,19,19,18,2.8,1.75,1.8,200,0.25,300.0
61,5.40,19,19,18,2.8,1.75,1.8,200,0.25,300.0
62,5.35,19,19,18,2.8,1.75,1.8,200,0.25,300.0
63,5.31,19,19,18,2.75,1.75,1.25,200,0.25,300.0
64,5.10,19,19,18,2.75,1.75,1.25,200,0.25,300.0
65,4.0beta10,19,19,18,2.75,1.75,1.25,200,0.25,300.0
66,4.0beta6,19,19,18,2.75,1.75,1.25,200,0.25,300.0
67,4.0beta5,19,19,18,2.75,1.75,1.25,200,0.25,300.0
68,4.0beta2,19,19,18,2.75,1.75,1.25,200,0.25,300.0
69,3.2j,19,19,18,2.75,1.75,1.25,200,0.25,300.0
70,3.00d,19,19,18,2.75,1.75,1.25,200,0.25,300.0
71,2.60,19,19,18,2.75,1.75,1.25,200,0.25,300.0
