,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26b,22,12,16,3.7,1.4,1.8,200,1.0,310.0
1,7.23,22,12,16,3.7,1.4,1.8,200,1.0,310.0
2,7.21d,22,12,16,3.7,1.4,1.8,200,1.0,310.0
3,7.21,22,12,16,3.7,1.4,1.8,200,1.0,310.0
4,7.20,22,12,16,3.2,1.4,1.8,200,1.0,310.0
5,7.19d,22,12,16,3.2,1.4,1.8,200,2.0,310.0
6,7.19c,22,12,16,3.2,1.4,1.8,200,2.0,310.0
7,7.18,22,12,16,3.2,1.4,1.8,200,2.0,310.0
8,7.17,22,12,16,3.2,1.4,1.8,200,2.0,305.0
9,7.16,22,12,16,3.2,1.4,1.8,200,2.0,305.0
10,7.14,22,12,16,3.2,1.4,1.8,200,2.0,305.0
11,7.13b,22,12,16,3.2,1.4,1.8,200,2.0,305.0
12,7.07,22,12,16,3.2,1.4,1.8,200,2.0,310.0
13,7.06f,22,12,16,3.2,1.4,1.8,200,0.5,310.0
14,7.06,22,12,16,3.2,1.4,1.8,200,0.5,310.0
15,7.03,22,12,16,2.9,1.4,1.8,200,0.75,310.0
16,7.02,22,12,16,2.9,1.4,1.8,200,0.75,310.0
17,7.00,22,12,16,2.9,1.4,1.8,200,0.25,310.0
18,6.88,22,12,16,2.9,1.4,1.8,200,0.25,310.0
19,6.87,22,12,16,2.9,1.4,1.8,200,0.25,310.0
20,6.85,22,12,16,2.9,1.4,1.8,200,0.25,310.0
21,6.83,22,12,16,2.9,1.4,1.8,200,0.25,310.0
22,6.82,22,12,16,2.9,1.4,1.8,200,0.25,310.0
23,6.81b,22,12,16,2.9,1.4,1.8,200,0.25,310.0
24,6.81,22,12,16,2.9,1.4,1.8,200,0.25,310.0
25,6.80,22,12,16,2.9,1.4,1.8,200,0.25,310.0
26,6.79,22,12,16,2.5,1.4,1.8,200,0.25,300.0
27,6.78,22,12,16,2.5,1.4,1.8,200,0.25,300.0
28,6.77,22,12,16,2.5,1.4,1.8,200,0.25,300.0
29,6.75,22,12,16,2.5,1.4,1.8,200,0.25,300.0
30,6.72d,22,12,16,2.5,1.4,1.8,200,0.25,300.0
31,6.72c,22,12,16,2.5,1.4,1.8,200,0.25,300.0
32,6.72,22,12,16,2.5,1.4,1.8,200,0.25,300.0
33,6.71,22,12,16,2.5,1.4,1.8,200,0.25,300.0
34,6.66,22,12,16,2.5,1.4,1.8,200,0.25,300.0
35,6.63,22,12,16,2.5,1.4,1.8,200,0.25,300.0
36,6.50,22,12,16,2.5,1.4,1.8,200,0.25,300.0
37,6.49b,22,12,16,2.5,1.4,1.8,200,0.25,290.0
38,6.49,22,12,16,2.5,1.4,1.8,200,0.25,290.0
39,6.46,22,12,16,2.5,1.4,1.8,200,0.25,290.0
40,6.42,22,12,16,2.5,1.4,1.8,200,0.25,290.0
41,6.39,22,12,16,2.5,1.4,1.8,200,0.25,290.0
42,6.35,22,12,16,2.5,1.4,1.8,200,0.25,290.0
43,6.34,22,12,16,2.5,1.4,1.8,200,0.25,290.0
44,6.20,22,12,16,2.5,1.4,1.8,200,0.25,290.0
45,6.17,22,12,16,2.5,1.4,1.8,200,0.25,290.0
46,6.16b,22,12,16,2.5,1.4,1.8,200,0.25,290.0
47,6.13,22,12,16,2.5,1.4,1.8,200,0.25,290.0
48,6.11,22,12,16,2.5,1.4,1.8,200,0.25,290.0
49,6.10,22,12,16,2.5,1.4,1.8,200,0.25,290.0
50,6.06,22,12,16,2.5,1.4,1.8,200,0.25,290.0
51,6.04,22,12,16,2.5,1.4,1.8,200,0.25,290.0
52,6.03,22,12,16,2.5,1.4,1.8,200,0.25,290.0
53,6.00,22,12,16,2.5,1.4,1.8,200,0.25,290.0
