,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,22,20,2.4,2.6,1.8,200,0.5,305.0
1,7.26b,21,22,20,2.4,2.6,1.8,200,0.5,305.0
2,7.26a,21,22,20,2.4,2.6,1.8,200,0.5,305.0
3,7.25,21,22,20,2.4,2.6,1.8,200,0.5,305.0
4,7.23b,21,22,20,2.4,2.6,1.8,200,0.5,305.0
5,7.23,21,22,20,2.4,2.1,1.8,200,0.5,305.0
6,7.22f,21,22,20,2.4,2.1,1.8,200,0.5,305.0
7,7.22e,21,22,20,2.4,2.1,1.8,200,0.5,305.0
8,7.22d,21,22,20,2.4,2.1,1.8,200,0.5,305.0
9,7.22,21,22,20,2.4,2.1,1.8,200,0.5,305.0
10,7.21,21,22,20,2.4,2.1,1.8,200,0.5,305.0
11,7.20e,21,22,20,2.4,1.8,1.8,200,0.5,305.0
12,7.20d,21,22,20,2.4,1.8,1.8,200,0.5,305.0
13,7.20c,21,22,20,2.4,1.8,1.8,200,0.5,305.0
14,7.20b,21,22,20,2.4,1.8,1.8,200,0.5,305.0
15,7.20,21,22,20,2.4,1.8,1.8,200,0.5,305.0
16,7.18,21,22,20,2.4,1.8,1.8,200,2.0,305.0
17,7.15,21,22,20,2.4,1.8,1.8,200,2.0,305.0
18,7.14,21,22,20,2.4,1.8,1.8,200,2.0,305.0
19,7.13b,21,22,20,2.4,1.8,1.8,200,2.0,305.0
20,7.12,21,22,20,2.1,1.8,1.8,200,2.0,305.0
21,7.10,21,22,20,2.1,1.8,1.8,200,2.0,305.0
22,7.08,21,22,20,2.1,1.8,1.8,200,2.0,305.0
23,7.07c,21,22,20,2.1,1.8,1.8,200,2.0,305.0
24,7.07,21,22,20,2.1,1.8,1.8,200,2.0,305.0
25,7.06c,21,22,20,2.1,1.8,1.8,200,0.5,310.0
26,7.06,21,22,20,2.1,1.8,1.8,200,0.5,310.0
27,7.05,21,22,20,1.8,1.8,1.8,200,0.75,310.0
28,7.03,21,22,20,2.0,1.8,1.8,200,0.75,310.0
29,7.02,21,22,20,2.0,1.8,1.8,200,0.75,310.0
30,7.00,21,22,20,2.0,1.8,1.8,200,0.75,310.0
31,6.87,21,22,20,2.0,1.8,1.8,200,0.75,310.0
32,6.86,21,22,20,2.0,1.8,1.8,200,0.75,310.0
33,6.81,21,22,20,2.0,1.8,1.8,200,0.75,310.0
34,6.79,21,22,20,2.0,1.8,1.8,200,0.75,310.0
35,6.78,21,22,20,2.0,1.8,1.8,200,0.75,310.0
36,6.75,21,22,20,2.0,1.8,1.8,200,0.75,310.0
37,6.74,21,22,20,2.0,1.8,1.8,200,0.75,310.0
38,6.73c,21,22,20,2.0,1.8,1.8,200,0.75,310.0
39,6.73,21,22,20,2.0,1.8,1.8,200,0.75,310.0
