,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,21,14,19,2.5,1,3.6,200,0.0,290.0
1,7.26b,21,14,19,2.5,1,3.6,200,0.0,290.0
2,7.25,21,14,19,2.5,1,3.6,200,0.0,290.0
3,7.24,21,14,19,2.5,1,3.6,200,0.0,290.0
4,7.23,21,14,19,2.5,1,3.6,200,0.0,290.0
5,7.22f,21,14,19,2.5,1,3.6,200,0.0,290.0
6,7.22e,21,14,19,2.5,1,3.6,200,0.0,290.0
7,7.22d,21,14,19,2.5,1,3.6,200,0.0,290.0
8,7.22c,21,14,19,2.5,1,3.6,200,0.0,290.0
9,7.21,21,14,19,2.5,1,3.9,200,0.0,290.0
10,7.20,21,14,19,2.5,1,3.4,200,0.0,290.0
11,7.18,21,14,19,2.3,1,3.4,200,1.5,300.0
12,7.17,21,14,19,2.3,1,3.4,200,1.5,300.0
13,7.16,21,14,19,2.3,1,3.4,200,1.5,300.0
14,7.15,21,14,19,2.3,1,3.4,200,1.5,300.0
15,7.14,21,14,19,2.4,1,3.4,200,1.5,300.0
16,7.13b,21,14,19,2.4,1,3.4,200,1.5,300.0
17,7.07d,21,14,19,2.4,1,3.4,200,1.5,300.0
18,7.07,21,14,19,2.4,1,3.4,200,1.5,300.0
19,7.06,21,14,19,2.4,1,3.4,200,0.0,300.0
20,7.02,21,14,19,2.1,1,3.4,200,0.25,300.0
21,7.00,21,14,19,2.1,1,3.4,200,0.25,300.0
22,6.88,21,14,19,2.1,1,3.4,200,0.25,300.0
23,6.87,21,14,19,2.1,1,3.4,200,0.25,300.0
24,6.86,21,14,19,2.1,1,3.4,200,0.25,300.0
25,6.85,21,14,19,2.1,1,3.4,200,0.25,300.0
26,6.84,21,14,19,2.1,1,3.4,200,0.25,300.0
27,6.82,21,14,19,2.1,1,3.4,200,0.25,300.0
28,6.81b,21,14,19,2.1,1,3.4,200,0.25,300.0
29,6.81,21,14,19,2.1,1,3.4,200,0.25,300.0
30,6.80,21,14,19,2.1,1,3.4,200,0.25,300.0
31,6.79,21,14,19,2.1,1,3.4,200,0.25,300.0
32,6.78,21,14,19,2.1,1,3.4,200,0.25,300.0
33,6.75,21,14,19,2.1,1,3.4,200,0.25,300.0
34,6.74,21,14,19,2.1,1,3.4,200,0.25,300.0
35,6.71,21,14,19,2.1,1,3.4,200,0.25,300.0
36,6.69,21,14,19,2.1,1,3.4,200,0.25,300.0
37,6.67,21,14,19,2.1,1,3.4,200,0.25,300.0
38,6.66,21,14,19,2.1,1,3.4,200,0.25,300.0
39,6.60,21,14,19,2.1,1,3.4,200,0.25,300.0
40,6.59,21,14,19,2.1,1,3.4,200,0.25,300.0
41,6.58,21,14,19,2.1,1,3.4,200,0.25,300.0
42,6.57,21,14,19,2.1,1,3.4,200,0.25,300.0
43,6.55,21,14,19,2.1,1,3.4,200,0.25,300.0
44,6.50,21,14,19,2.1,1,3.4,200,0.25,300.0
45,6.48b,21,14,19,2.1,1,3.4,200,0.25,290.0
46,6.46,21,14,19,2.1,1,3.4,200,0.25,290.0
47,6.44,21,14,19,2.1,1,3.4,200,0.25,290.0
48,6.35,21,14,19,2.1,1,3.4,200,0.25,290.0
49,6.34,21,14,19,2.1,1,3.4,200,0.25,290.0
50,6.20,21,14,19,2.1,1,3.4,200,0.25,290.0
51,6.19b,21,14,19,2.1,1,3.4,200,0.25,290.0
52,6.17,21,14,19,2.1,1,3.4,200,0.25,290.0
53,6.10,21,14,19,2.1,1,3.4,200,0.25,290.0
54,6.09b,21,14,19,2.1,1,3.4,200,0.25,290.0
55,6.07,21,14,19,2.1,1,3.4,200,0.25,290.0
56,6.06,21,14,19,2.1,1,3.4,200,0.25,290.0
57,6.05,21,14,19,2.1,1,3.4,200,0.25,290.0
58,6.03,21,14,19,2.1,1,3.4,200,0.25,290.0
59,6.02,21,14,19,2.1,1,3.4,200,0.25,290.0
60,6.01,21,14,19,2.1,1,3.4,200,0.25,290.0
61,6.00,21,14,19,2.1,1,3.4,200,0.25,290.0
