,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,24,23,15,2.4,3.0,1.5,200,0.5,300.0
1,7.26b,24,23,15,2.4,3.0,1.5,200,0.5,300.0
2,7.23,24,23,15,2.4,3.0,1.5,200,0.5,300.0
3,7.22g,24,23,15,2.4,3.0,1.5,200,0.5,300.0
4,7.22c,24,23,15,2.4,3.2,1.5,200,0.5,300.0
5,7.22,24,23,15,2.4,3.2,1.5,200,0.5,300.0
6,7.21,24,23,15,2.1,3.2,1.5,200,0.5,300.0
7,7.20d,24,23,15,2.1,2.8,1.5,200,0.5,300.0
8,7.20c,24,23,15,2.1,2.8,1.5,200,0.5,295.0
9,7.20,24,23,15,2.1,2.8,1.5,200,0.5,295.0
10,7.15,24,23,15,2.1,2.8,1.5,200,2.0,295.0
11,7.14,24,23,15,2.1,2.8,1.5,200,2.0,295.0
12,7.07,24,23,15,2.1,2.8,1.5,200,2.0,295.0
13,7.06,24,23,15,2.1,2.8,1.5,200,0.5,300.0
14,7.05,24,23,15,1.8,2.8,1.5,200,0.75,300.0
15,7.03,24,23,15,1.8,2.65,1.5,200,0.75,300.0
16,7.02,24,23,15,1.8,2.65,1.5,200,0.75,300.0
17,7.00,24,23,15,1.8,2.65,1.5,200,0.75,300.0
18,6.88f,24,23,15,1.8,2.65,1.5,200,0.75,300.0
19,6.88e,24,23,15,1.8,2.65,1.5,200,0.75,300.0
20,6.88d,24,23,15,1.8,2.65,1.5,200,0.75,300.0
21,6.88c,24,23,15,1.8,2.65,1.5,200,0.75,300.0
22,6.88b,24,23,15,1.8,2.65,1.5,200,0.75,300.0
23,6.87,24,23,15,1.8,2.65,1.5,200,0.75,300.0
24,6.86c,24,23,15,1.8,2.65,1.5,200,0.75,300.0
25,6.86b,24,23,15,1.6,2.65,1.5,200,0.75,300.0
26,6.86,24,23,15,1.6,2.65,1.5,200,0.75,300.0
