,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,18,14,15,2.4,1.9,4.6,200,0.0,
1,7.26b,18,14,15,2.4,1.9,4.6,200,0.0,
2,7.23,18,14,15,2.4,1.9,4.6,200,0.0,
3,7.22f,18,14,15,2.4,1.9,4.6,200,0.0,
4,7.22d,18,14,15,2.4,1.9,4.6,200,0.0,
5,7.22c,18,14,15,2.4,1.9,4.6,200,0.0,
6,7.22,18,14,15,2.4,1.9,4.6,200,0.0,
7,7.21,18,14,15,2.4,1.9,4.6,200,0.0,
8,7.20,18,14,15,2.4,1.9,4.0,200,0.0,
9,7.18,18,14,15,2.2,1.9,4.0,200,1.5,
10,7.17,18,14,15,2.2,1.9,4.0,200,1.5,
11,7.16,18,14,15,2.2,1.9,4.0,200,1.5,
12,7.15,18,14,15,2.2,1.9,4.0,200,1.5,
13,7.14,18,14,15,2.2,1.9,4.0,200,1.5,
14,7.13b,18,14,15,2.2,1.9,4.0,200,1.5,
15,7.10,18,14,15,2.2,1.9,4.0,200,1.5,
16,7.07,18,14,15,2.2,1.9,4.0,200,1.5,
17,7.06d,18,14,15,2.2,1.9,4.0,200,0.0,
18,7.06,18,14,15,2.2,1.9,4.0,200,0.0,
19,7.05,18,14,15,1.9,1.9,4.0,200,0.25,
20,7.03,18,14,15,1.9,1.9,4.0,200,0.25,
21,7.02,18,14,15,1.9,1.9,4.0,200,0.25,
22,7.01,18,14,15,1.9,1.9,4.0,200,0.25,
23,7.00,18,14,15,1.7,1.9,4.0,200,0.25,
24,6.88,18,14,15,1.7,1.9,4.0,200,0.25,
25,6.87,18,14,15,1.7,1.9,4.0,200,0.25,
26,6.86f,18,14,15,1.7,1.9,4.0,200,0.25,
27,6.86d,18,14,15,1.7,1.9,4.0,200,0.25,
28,6.86c,18,14,15,1.7,1.9,4.0,200,0.25,
29,6.86,18,14,15,1.7,1.9,4.0,200,0.25,
30,6.85,18,14,15,1.7,1.9,4.0,200,0.25,
31,6.84,18,14,15,1.7,1.9,3.2,200,0.25,
32,6.82b,18,14,15,1.7,1.9,2.5,200,0.25,
33,6.82,18,14,15,1.7,1.9,2.5,200,0.25,
34,6.81b,18,14,15,1.7,1.9,2.5,200,0.25,
35,6.81,18,14,15,1.7,1.9,2.5,200,0.25,
36,6.80,18,14,15,1.7,1.9,2.5,200,0.25,
37,6.79,18,14,15,1.7,1.9,2.5,200,0.25,
38,6.78,18,14,15,1.7,1.9,2.5,200,0.25,
39,6.75,18,14,15,1.7,1.9,2.5,200,0.25,
40,6.74,18,14,15,1.7,1.9,2.5,200,0.25,
41,6.72c,18,14,15,1.7,1.9,2.5,200,0.25,
42,6.72,18,14,15,1.7,1.9,2.5,200,0.25,
43,6.71,18,14,15,1.7,1.9,2.5,200,0.25,
44,6.70,18,14,15,1.7,1.9,2.5,200,0.25,
45,6.69,18,14,15,1.7,1.9,2.5,200,0.25,
46,6.68,18,14,15,1.7,1.9,2.5,200,0.25,
47,6.66,18,14,15,1.4,1.9,2.5,200,0.25,
48,6.65,18,14,15,1.4,1.9,2.5,200,0.25,
49,6.60,18,14,15,1.4,1.9,2.5,200,0.25,
50,6.55,18,14,15,1.4,1.9,2.5,200,0.25,
51,6.54,18,14,15,1.4,1.9,2.5,200,0.25,
52,6.53,18,14,15,1.4,1.9,2.5,200,0.25,
53,6.52,18,14,15,1.4,1.9,2.5,200,0.25,
54,6.51,18,14,15,1.4,1.9,2.5,200,0.25,
55,6.50,18,14,15,1.4,1.9,2.5,200,0.25,
56,6.18,18,14,15,1.4,1.9,2.5,200,0.25,
57,6.10,18,14,15,1.4,1.9,2.5,200,0.25,
