,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,17,14,23,3.0,1.6,1.7,200,0.0,280.0
1,7.26b,17,14,23,3.0,1.6,1.7,200,0.0,280.0
2,7.24b,17,14,23,3.0,1.6,1.7,200,0.0,280.0
3,7.24,17,14,23,3.0,1.6,1.7,200,0.0,280.0
4,7.23,17,14,23,3.0,1.6,1.7,200,0.0,280.0
5,7.22g,17,14,23,3.0,1.6,1.7,200,0.0,280.0
6,7.22e,17,14,23,3.0,1.6,1.7,200,0.0,280.0
7,7.22d,17,14,23,3.0,1.6,1.7,200,0.0,280.0
8,7.22c,17,14,23,3.0,1.6,1.7,200,0.0,280.0
9,7.22,17,14,23,2.5,1.6,1.7,200,0.0,280.0
10,7.21b,17,14,23,2.5,1.6,1.7,200,0.0,280.0
11,7.21,17,14,23,2.5,1.6,1.7,200,0.0,280.0
12,7.20d,17,14,23,2.2,1.6,1.7,200,0.0,280.0
13,7.20,17,14,23,2.2,1.6,1.7,200,0.0,280.0
14,7.19b,17,14,23,2.2,1.6,1.7,200,1.5,280.0
15,7.18,17,14,23,2.2,1.6,1.7,200,1.5,280.0
16,7.17,17,14,23,2.2,1.6,1.7,200,1.5,280.0
17,7.16,17,14,23,2.2,1.6,1.7,200,1.5,280.0
18,7.14,17,14,23,2.2,1.6,1.7,200,1.5,290.0
19,7.13b,17,14,23,2.2,1.6,1.7,200,1.5,290.0
20,7.12,17,14,23,2.2,1.6,1.7,200,1.5,295.0
21,7.10,17,14,23,2.2,1.6,1.7,200,1.5,295.0
22,7.07,17,14,23,2.2,1.6,1.7,200,1.5,295.0
23,7.06e,17,14,23,2.2,1.6,1.7,200,0.0,295.0
24,7.06d,17,14,23,2.2,1.6,1.7,200,0.0,295.0
25,7.06c,17,14,23,2.2,1.6,1.7,200,0.0,295.0
26,7.06,17,14,23,2.2,1.6,1.7,200,0.0,295.0
27,7.03,17,14,23,1.9,1.6,1.7,200,0.25,295.0
28,7.02,17,14,23,1.9,1.6,1.7,200,0.25,295.0
29,7.00,17,14,23,1.9,1.6,1.7,200,0.25,295.0
30,6.88e,17,14,23,1.9,1.6,1.7,200,0.25,295.0
31,6.88,17,14,23,1.9,1.6,1.7,200,0.25,295.0
32,6.84c,17,14,23,1.9,1.6,1.7,200,0.25,295.0
33,6.84,17,14,23,1.9,1.6,1.7,200,0.25,295.0
34,6.83,17,14,23,1.9,1.6,1.7,200,0.25,295.0
35,6.79,17,14,23,1.9,1.6,1.7,200,0.25,295.0
36,6.78c,17,14,23,1.9,1.6,1.7,200,0.25,295.0
37,6.78,17,14,23,1.9,1.6,1.7,200,0.25,295.0
38,6.75,17,14,23,1.9,1.6,1.7,200,0.25,295.0
39,6.74,17,14,23,1.9,1.6,1.7,200,0.25,295.0
40,6.72,17,14,23,1.9,1.6,1.7,200,0.25,295.0
41,6.71,17,14,23,1.9,1.6,1.7,200,0.25,295.0
42,6.69,17,14,23,1.9,1.6,1.7,200,0.25,295.0
43,6.68b,17,14,23,1.9,1.6,1.7,200,0.25,295.0
44,6.68,17,14,23,1.9,1.6,1.7,200,0.25,295.0
