,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,20,34,14,2.2,2.8,1.4,150.0,0.5,305.0
1,7.26b,20,34,14,2.2,2.8,1.4,150.0,0.5,305.0
2,7.25,20,34,14,2.2,2.8,1.4,150.0,0.5,305.0
3,7.24,20,34,14,2.2,2.8,1.4,150.0,0.5,305.0
4,7.23c,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
5,7.23b,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
6,7.23,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
7,7.22f,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
8,7.22e,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
9,7.21d,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
10,7.21c,20,34,14,2.2,2.8,1.4,150.0,0.5,350.0
11,7.21b,20,34,14,2.2,2.8,1.4,150.0,0.5,400.0
12,7.21,20,34,14,2.2,2.8,1.4,150.0,0.5,400.0
13,7.20e,20,34,14,2.2,2.4,1.4,150.0,0.5,300.0
14,7.20d,20,34,14,2.2,2.4,1.4,150.0,0.5,300.0
15,7.20,20,34,14,2.2,2.4,1.4,150.0,0.5,295.0
16,7.19,20,34,14,2.2,2.4,1.4,150.0,2.0,295.0
17,7.17,20,34,14,2.2,2.4,1.4,150.0,2.0,295.0
18,7.15,20,34,14,2.2,2.4,1.4,150.0,2.0,295.0
19,7.08,20,34,14,2.2,2.4,1.4,150.0,2.0,295.0
20,7.07,20,34,14,2.2,2.4,1.4,150.0,2.0,295.0
21,7.06,20,34,14,2.2,2.4,1.4,150.0,0.5,300.0
22,7.05,20,34,14,2.2,2.4,1.4,150.0,0.75,300.0
23,7.03,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
24,7.02,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
25,7.00,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
26,6.88f,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
27,6.88e,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
28,6.87,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
29,6.85,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
30,6.84,20,34,14,2.2,2.4,1.4,150.0,0.75,420.0
31,6.83c,20,34,14,2.2,2.4,1.4,150.0,0.75,450.0
32,6.83b,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
33,6.83,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
34,6.82,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
35,6.81b,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
36,6.81,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
37,6.80,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
38,6.79,20,34,14,2.2,2.85,1.4,150.0,0.75,450.0
39,6.78,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
40,6.75,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
41,6.74,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
42,6.73,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
43,6.72d,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
44,6.72c,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
45,6.72,20,34,14,2.2,2.85,1.4,150.0,0.75,300.0
46,6.71,20,34,14,2.2,2.85,1.4,150.0,0.25,300.0
47,6.70,20,34,14,2.2,2.85,1.4,150.0,0.25,300.0
48,6.69,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
49,6.68,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
50,6.66,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
51,6.63,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
52,6.60,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
53,6.51,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
54,6.50,20,34,14,2.2,2.85,1.4,150.0,0.25,305.0
55,6.49,20,34,14,2.2,2.85,1.4,150.0,0.25,295.0
56,6.48b,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
57,6.35,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
58,6.21,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
59,6.20,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
60,6.17,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
61,6.10,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
62,6.07,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
63,6.04,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
64,6.02,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
65,6.00,20,34,14,2.2,2.85,1.4,150.0,0.25,150.0
66,5.84,20,34,14,1.75,2.85,1.6,150.0,0.25,150.0
67,5.65,20,34,14,1.75,2.85,1.6,150.0,0.25,150.0
68,5.62,20,34,14,1.75,2.85,1.6,150.0,0.25,150.0
69,5.60,20,34,14,1.95,2.75,1.5,150.0,0.25,150.0
