,version,base_strength,base_agility,base_intelligence,strength_gain,agility_gain,intelligence_gain,base_health,base_health_regeneration,move_speed
0,7.26c,16,15,23,2.3,1.6,3.2,200,0.0,35.0
1,7.26b,16,15,23,2.3,1.6,3.2,200,0.0,35.0
2,7.26a,16,15,23,2.3,1.6,3.2,200,0.0,35.0
3,7.25c,16,15,23,2.3,1.6,3.2,200,0.0,35.0
4,7.25,16,15,23,2.3,1.6,3.2,200,0.0,35.0
5,7.23e,16,15,23,2.3,1.6,3.2,200,0.0,35.0
6,7.23c,16,15,23,2.3,1.6,3.2,200,0.0,35.0
7,7.23,16,15,23,2.3,1.6,3.2,200,0.0,35.0
8,7.22g,16,15,23,2.3,1.6,3.2,200,0.0,35.0
9,7.22f,16,15,23,2.3,1.6,3.2,200,0.0,35.0
10,7.22e,16,15,23,2.3,1.6,3.2,200,0.0,35.0
11,7.22d,16,15,23,2.3,1.6,3.2,200,0.0,35.0
12,7.22c,16,15,23,2.3,1.6,3.2,200,0.0,330.0
13,7.22,16,15,23,2.3,1.6,3.2,200,0.0,330.0
14,7.21b,16,15,23,2.3,1.6,3.2,200,0.0,330.0
15,7.21,16,15,23,2.3,1.6,3.2,200,0.0,330.0
16,7.20e,16,15,23,2.3,1.6,2.8,200,0.0,335.0
17,7.20d,16,15,23,2.3,1.6,2.8,200,0.0,335.0
18,7.20,16,15,23,2.3,1.6,2.8,200,0.0,335.0
19,7.17,16,15,23,2.1,1.6,2.8,200,1.5,335.0
20,7.15,16,15,23,2.1,1.6,2.8,200,1.5,335.0
21,7.13b,16,15,23,2.1,1.6,2.8,200,1.5,335.0
22,7.07,16,15,23,2.1,1.6,2.8,200,1.5,335.0
23,7.06,16,15,23,2.1,1.6,2.8,200,0.0,335.0
24,7.04,16,15,23,1.8,1.6,2.8,200,0.25,335.0
25,7.03,16,15,23,1.8,1.6,2.8,200,0.25,335.0
26,7.02,16,15,23,1.8,1.6,2.8,200,0.25,335.0
27,7.00,16,15,23,1.8,1.6,2.8,200,0.25,335.0
28,6.88e,16,15,23,1.8,1.6,2.8,200,0.25,335.0
29,6.88,16,15,23,1.8,1.6,2.8,200,0.25,335.0
30,6.87,16,15,23,1.8,1.6,2.8,200,0.25,335.0
31,6.86,16,15,23,1.8,1.6,2.8,200,0.25,315.0
32,6.85,16,15,23,1.8,1.6,2.8,200,0.25,315.0
33,6.84,16,15,23,1.8,1.6,2.8,200,0.25,315.0
34,6.83,16,15,23,1.8,1.6,2.8,200,0.25,315.0
35,6.82,16,15,23,1.8,1.6,2.8,200,0.25,315.0
36,6.81,16,15,23,1.8,1.6,2.8,200,0.25,315.0
37,6.80,16,15,23,1.8,1.6,2.8,200,0.25,315.0
38,6.79,16,15,23,1.8,1.6,2.8,200,0.25,315.0
39,6.78,16,15,23,1.8,1.6,2.8,200,0.25,315.0
40,6.77c,16,15,23,1.8,1.6,2.8,200,0.25,315.0
41,6.75,16,15,23,1.8,1.6,2.8,200,0.25,315.0
42,6.74,16,15,23,1.8,1.6,2.8,200,0.25,315.0
43,6.73,16,15,23,1.8,1.6,2.8,200,0.25,315.0
44,6.71,16,15,23,1.8,1.6,2.8,200,0.25,315.0
45,6.70,16,15,23,1.8,1.6,2.8,200,0.25,315.0
46,6.69,16,15,23,1.8,1.6,2.8,200,0.25,315.0
47,6.63,16,15,23,1.8,1.6,2.8,200,0.25,315.0
48,6.60,16,15,23,1.8,1.6,2.8,200,0.25,315.0
49,6.58,16,15,23,1.8,1.6,2.8,200,0.25,315.0
50,6.57,16,15,23,1.8,1.6,2.8,200,0.25,315.0
51,6.55,16,15,23,1.8,1.6,2.8,200,0.25,315.0
52,6.54,16,15,23,1.8,1.6,2.8,200,0.25,315.0
53,6.53,16,15,23,1.8,1.6,2.8,200,0.25,315.0
54,6.52,16,15,23,1.8,1.6,2.8,200,0.25,315.0
55,6.50,16,15,23,1.8,1.6,2.8,200,0.25,315.0
56,6.44,16,15,23,1.8,1.6,2.8,200,0.25,305.0
57,6.42,16,15,23,1.8,1.6,2.8,200,0.25,305.0
58,6.39,16,15,23,1.8,1.6,2.8,200,0.25,305.0
59,6.36,16,15,23,1.8,1.6,2.8,200,0.25,305.0
60,6.35,16,15,23,1.8,1.6,2.8,200,0.25,305.0
61,6.31,16,15,23,1.8,1.6,2.8,200,0.25,305.0
62,6.28,16,15,23,1.8,1.6,2.8,200,0.25,305.0
63,6.22,16,15,23,1.8,1.6,2.8,200,0.25,305.0
64,6.20,16,15,23,1.8,1.6,2.8,200,0.25,305.0
65,6.19b,16,15,23,1.8,1.6,2.8,200,0.25,305.0
66,6.18,16,15,23,1.8,1.6,2.8,200,0.25,305.0
67,6.17,16,15,23,1.8,1.6,2.8,200,0.25,305.0
68,6.13,16,15,23,1.8,1.6,2.8,200,0.25,305.0
69,6.06,16,15,23,1.8,1.6,2.8,200,0.25,305.0
70,6.05,16,15,23,1.8,1.6,2.8,200,0.25,305.0
71,6.04b,16,15,23,1.8,1.6,2.8,200,0.25,305.0
72,6.04,16,15,23,1.8,1.6,2.8,200,0.25,305.0
73,6.00,16,15,23,1.8,1.6,2.8,200,0.25,305.0
74,5.80,16,15,23,1.8,1.6,2.8,200,0.25,305.0
75,5.79,16,15,23,1.8,1.6,2.8,200,0.25,305.0
76,5.78,16,15,23,1.8,1.6,2.8,200,0.25,305.0
77,5.77,16,15,23,1.8,1.6,2.8,200,0.25,305.0
78,5.76,16,15,23,1.8,1.6,2.8,200,0.25,305.0
